SURVEY: SNLS3_LC(SNLS3_LC)   
SNID:   835   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SNLS3_WITHSPEC 
SNTYPE:  1 
FILTERS: griz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.917301 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.915000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53312.414 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  53  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.91730  
SIM_REDSHIFT_CMB:    0.91500  
SIM_REDSHIFT_HOST:   0.91730  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      43.8466  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0297   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.070  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  (griz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  27.14  25.43  25.08  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   53311.968750  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   9.9648e-07   
SIM_SALT2x1:    0.5911   
SIM_SALT2c:     0.4000   
SIM_SALT2mB:   25.6388   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -15.39   days 
SIM_TRESTMAX:    40.84   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 51 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53282.460  i NULL   2.6785e-01   1.129e+00    0  36.338   0.85  28.4109 
OBS:  53282.500  r NULL  -2.6508e-01   1.055e+00    0  35.405   0.85  30.7204 
OBS:  53282.540  z NULL  -8.7573e-02   2.260e+00    0  36.041   0.85  27.9438 
OBS:  53286.540  z NULL   1.9204e+00   2.288e+00    0  36.015   0.85  26.7931 
OBS:  53287.430  i NULL   2.3281e+00   1.124e+00    0  36.348   0.85  26.9313 
OBS:  53287.460  r NULL  -2.0391e-01   8.790e-01    0  35.801   0.85  28.8518 
OBS:  53292.430  i NULL   7.1143e+00   6.628e+00    0  32.497   0.85  26.2169 
OBS:  53293.390  i NULL   4.1924e+00   1.469e+00    0  35.767   0.85  26.1182 
OBS:  53293.430  r NULL   1.5828e+00   1.383e+00    0  34.817   0.85  27.7935 
OBS:  53296.500  i NULL  -2.8517e+00   7.384e+00    0  32.260   0.85  25.8392 
OBS:  53297.360  r NULL   2.1468e+00   1.152e+00    0  35.215   0.85  27.3104 
OBS:  53297.380  i NULL   5.0852e+00   1.897e+00    0  35.213   0.85  25.7742 
OBS:  53299.370  z NULL   5.8415e+00   2.606e+00    0  35.733   0.85  25.3446 
OBS:  53300.350  i NULL   5.4948e+00   1.357e+00    0  35.940   0.85  25.6016 
OBS:  53300.390  r NULL  -8.3088e-01   1.287e+00    0  34.974   0.85  27.0945 
OBS:  53311.380  r NULL  -5.3460e-01   1.634e+00    0  34.455   0.85  27.1200 
OBS:  53311.410  i NULL   6.4519e+00   1.297e+00    0  36.039   0.85  25.4261 
OBS:  53315.460  i NULL   9.0224e+00   5.959e+00    0  32.728   0.85  25.4807 
OBS:  53316.380  i NULL   4.0925e+00   1.576e+00    0  35.616   0.85  25.4991 
OBS:  53316.410  r NULL   3.2370e-01   8.021e-01    0  36.000   0.85  27.3411 
OBS:  53322.340  i NULL   8.3027e+00   1.406e+00    0  35.864   0.85  25.6640 
OBS:  53322.380  r NULL   1.5433e+00   1.172e+00    0  35.178   0.85  27.7051 
OBS:  53322.420  z NULL   6.0325e+00   2.680e+00    0  35.672   0.85  25.2449 
OBS:  53328.330  i NULL   5.3299e+00   1.500e+00    0  35.722   0.85  25.8908 
OBS:  53328.350  r NULL   1.4084e+00   1.266e+00    0  35.009   0.85  28.0853 
OBS:  53328.410  z NULL   1.0330e+01   2.027e+00    0  36.279   0.85  25.4400 
OBS:  53330.420  i NULL   4.1511e+00   1.503e+00    0  35.718   0.85  25.9850 
OBS:  53330.450  z NULL   4.6556e+00   4.263e+00    0  34.664   0.85  25.5181 
OBS:  53342.430  i NULL   1.6548e+01   8.791e+00    0  31.886   0.85  26.7274 
OBS:  53343.320  i NULL   3.5789e+00   2.420e+00    0  34.684   0.85  26.7882 
OBS:  53343.380  r NULL  -1.9673e-01   1.787e+00    0  34.260   0.85  29.1775 
OBS:  53343.420  z NULL   9.4335e+00   8.148e+00    0  33.258   0.85  26.1097 
OBS:  53344.350  z NULL   4.1357e+00   4.453e+00    0  34.569   0.85  26.1523 
