Parameter Name                 Value
m0                             -2.826865504629083e-06
m0                             -2.301744353895789e-06
m0                             -1.250357136032228e-06
m0                             -1.075679878162865e-06
m0                             -1.383394192460314e-05
m0                             3.749436989914037e-05
m0                             5.663375832819811e-05
m0                             -4.958602881242592e-05
m0                             -2.693940565366691e-04
m0                             2.488534001687567e-04
m0                             4.012610698537928e-04
m0                             2.366581823015608e-04
m0                             6.944320098167784e-06
m0                             1.852835555380663e-04
m0                             4.206773957607713e-04
m0                             1.627348739684750e-04
m0                             2.919644158449424e-04
m0                             1.725110672662126e-03
m0                             5.885022318459184e-04
m0                             1.778225331167578e-03
m0                             3.753702945053597e-04
m0                             2.512901489200890e-03
m0                             -3.241673487612751e-04
m0                             2.206805658983785e-03
m0                             -2.563237683051623e-04
m0                             2.373832049973496e-03
m0                             1.257289077938216e-03
m0                             1.468240402079509e-03
m0                             9.758895947624189e-04
m0                             1.266118510857733e-03
m0                             8.486573320897898e-04
m0                             2.332433800837955e-03
m0                             -2.808264267843442e-04
m0                             6.949162975697633e-04
m0                             5.562146978041773e-04
m0                             1.049059496658786e-03
m0                             7.061120872532987e-04
m0                             1.257873712937988e-03
m0                             9.516207542001061e-04
m0                             6.708878746084522e-04
m0                             7.019657518352294e-04
m0                             6.860175302522243e-04
m0                             1.887256078212742e-04
m0                             6.259472539215374e-04
m0                             -1.169708733147171e-04
m0                             8.192569020545801e-04
m0                             3.756721100899008e-04
m0                             3.630614367561802e-04
m0                             6.623348322162914e-04
m0                             3.948154385662410e-04
m0                             4.992741658360054e-04
m0                             5.308244192540731e-04
m0                             6.084243940077981e-04
m0                             5.489673439270523e-04
m0                             1.046001528790607e-03
m0                             5.205548085622589e-04
m0                             3.784897524455178e-04
m0                             8.792957063794882e-04
m0                             3.652307639147990e-04
m0                             7.866815164905380e-04
m0                             2.810029297883465e-04
m0                             4.540224035137914e-04
m0                             2.406095703311602e-04
m0                             6.737454984841965e-04
m0                             4.831008862707223e-04
m0                             5.190114269926754e-04
m0                             6.820553033030799e-04
m0                             4.818186194044144e-04
m0                             5.069057135306279e-04
m0                             4.636619064030592e-04
m0                             4.816578421166799e-04
m0                             3.619963396554059e-04
m0                             3.952058071463689e-04
m0                             5.624412583808618e-04
m0                             4.867265648628483e-04
m0                             3.833200903648576e-04
m0                             3.531233688231620e-04
m0                             3.746953235138914e-04
m0                             3.983210261862011e-04
m0                             1.849835675717787e-04
m0                             5.207854214535745e-04
m0                             2.107309885476870e-04
m0                             4.382764454453236e-04
m0                             2.990456243909807e-04
m0                             5.538089077886846e-04
m0                             3.782158163863914e-04
m0                             3.170474327510016e-04
m0                             3.661201903153714e-04
m0                             2.774122774532879e-04
m0                             2.850660680450746e-04
m0                             4.970905183611360e-05
m0                             3.713171115159790e-04
m0                             4.163172176335394e-04
m0                             4.698024443230372e-04
m0                             4.413271562428149e-04
m0                             3.255680877476932e-04
m0                             7.076391906015548e-04
m0                             -5.053450377047456e-04
m0                             -1.832945208834519e-03
m0                             -1.403061192899123e-05
m0                             -1.356408360608540e-03
m0                             -1.385546062060367e-03
m0                             -1.420762524385104e-03
m0                             -1.478572587371850e-03
m0                             -8.836551515105620e-04
m0                             -3.343717492002045e-03
m0                             -3.643529864463464e-03
m0                             4.878121442625237e-04
m0                             1.135904521936507e-02
m0                             -1.139120203994793e-02
m0                             -1.436545907563784e-02
m0                             -5.947646072898346e-03
m0                             -1.577969629680169e-03
m0                             -8.766855399927541e-03
m0                             -1.847921813784806e-02
m0                             -6.705372239223947e-03
m0                             -1.129132294874890e-02
m0                             -6.857001163918167e-02
m0                             -2.086446964288170e-02
m0                             -6.412423114940706e-02
m0                             -4.542263549005968e-03
m0                             -9.519310606794187e-02
m0                             1.692809857373558e-02
m0                             -8.970377969099194e-02
m0                             1.851153808588942e-02
m0                             -9.608241638913875e-02
m0                             -4.699449228716505e-02
m0                             -5.571178628604283e-02
m0                             -3.312934907133024e-02
m0                             -4.463449665144063e-02
m0                             -2.905614196505424e-02
m0                             -8.683276415692678e-02
m0                             2.209263463018412e-02
m0                             -1.587126982307091e-02
m0                             -9.027816366219073e-03
m0                             -3.500697222349389e-02
m0                             -1.963907603381353e-02
m0                             -4.600908419180116e-02
m0                             -2.606380329268517e-02
m0                             -1.692584262964160e-02
m0                             -2.656902916470302e-02
m0                             -2.303861300657575e-02
m0                             -3.510117967531813e-03
m0                             -2.326379977292366e-02
m0                             1.139557400521083e-02
m0                             -2.412839127165570e-02
m0                             -5.728836437464850e-03
m0                             -8.414721096229091e-03
m0                             -1.306768797136598e-02
m0                             -8.952954995630756e-03
m0                             -2.032084809969577e-02
m0                             -1.273235460078472e-02
m0                             -8.592158763840318e-03
m0                             -1.286834197417950e-02
m0                             -2.560343463599286e-02
m0                             -1.130114338665116e-02
m0                             5.445898633964201e-03
m0                             -2.025945490297342e-02
m0                             -8.603515619729744e-03
m0                             -1.521269723742476e-02
m0                             -8.105026233430512e-03
m0                             -9.872593802604687e-03
m0                             -1.071644242860869e-02
m0                             -1.436413520857211e-02
m0                             -1.213919761848768e-02
m0                             -1.290040053068672e-02
m0                             -1.302307908663377e-02
m0                             -1.185831248959011e-02
m0                             -1.340973365191699e-02
m0                             -9.076937454554859e-03
m0                             -1.035952914015192e-02
m0                             -7.485640141049239e-03
m0                             -8.849417763605684e-03
m0                             -1.568036741563898e-02
m0                             -1.368382344935848e-02
m0                             -9.939567441285622e-03
m0                             -1.146748611765860e-02
m0                             -1.043390674001817e-02
m0                             -1.348168194229042e-02
m0                             -3.317931894106130e-03
m0                             -1.981402086044990e-02
m0                             -8.163060006850728e-03
m0                             -1.712535928095893e-02
m0                             -1.137655445281543e-02
m0                             -2.234738722380589e-02
m0                             -1.510351440638067e-02
m0                             -1.286192844613057e-02
m0                             -1.538720115417292e-02
m0                             -1.181349031766110e-02
m0                             -1.178764903982972e-02
m0                             -2.113753890088090e-03
m0                             -1.456443832881973e-02
m0                             -1.673375912656090e-02
m0                             -1.902476458045802e-02
m0                             -1.727070145997730e-02
m0                             -1.218776938510933e-02
m0                             -3.021242485740157e-02
m0                             2.172880820911634e-02
m0                             7.680073098419471e-02
m0                             5.322580062830899e-04
m0                             1.102680440501724e-01
m0                             1.105214817613295e-01
m0                             1.108759309548499e-01
m0                             1.128332898869265e-01
m0                             1.115664926723872e-01
m0                             1.198789805901910e-01
m0                             1.055020158925960e-01
m0                             8.695193452539940e-02
m0                             -3.340654708140253e-02
m0                             9.949561237989873e-03
m0                             3.106692803033335e-02
m0                             -3.368995821831477e-02
m0                             2.546371888044675e-02
m0                             -6.771555094648680e-04
m0                             3.318004461063057e-02
m0                             1.164101532624924e-02
m0                             3.390094287313050e-02
m0                             1.077016312552618e-01
m0                             3.502978866886847e-02
m0                             1.218511294248205e-01
m0                             -5.427022079656035e-02
m0                             1.225880925746475e-01
m0                             5.392495635769938e-02
m0                             1.265481170699812e-01
m0                             1.595301703851890e-01
m0                             1.682684307733260e-01
m0                             1.509788644769776e-01
m0                             1.875448699284886e-01
m0                             1.327393592531899e-01
m0                             1.247676214837825e-01
m0                             8.146801922179547e-02
m0                             1.519180935098123e-01
m0                             7.583594232516350e-02
m0                             1.244441783700024e-01
m0                             9.458781741359365e-02
m0                             1.092554464979342e-01
m0                             8.026641553002362e-02
