Parameter Name                 Value
m0                             1.311091882667641e-04
m0                             1.252385958897531e-04
m0                             1.643549953972712e-04
m0                             3.266738423606877e-04
m0                             4.014843909073937e-04
m0                             7.765637271717349e-04
m0                             1.211076623004058e-03
m0                             1.847885370981142e-03
m0                             -4.194880143654419e-03
m0                             -1.273844533418601e-04
m0                             3.000714887098448e-03
m0                             5.020977944129074e-04
m0                             1.330608561405382e-04
m0                             2.992946456900688e-03
m0                             3.170083036214166e-03
m0                             2.796330250933823e-03
m0                             1.425381752392116e-03
m0                             1.010915607863007e-02
m0                             4.126891734714154e-03
m0                             1.280856234847191e-02
m0                             7.359071634988147e-04
m0                             1.287389797794592e-02
m0                             -4.748013634299629e-03
m0                             9.420176540064889e-03
m0                             5.359385889234831e-03
m0                             9.809714756266286e-03
m0                             1.118120478799991e-02
m0                             8.651860104054374e-03
m0                             1.052281566620930e-02
m0                             5.942709774211908e-04
m0                             1.122579803233366e-02
m0                             1.137368777877832e-02
m0                             1.071846578426243e-03
m0                             7.515839140728105e-03
m0                             8.640024098182826e-03
m0                             4.831833190847390e-03
m0                             3.963320141518820e-03
m0                             5.708505162519591e-03
m0                             8.046330982102428e-03
m0                             7.200199097312578e-03
m0                             2.820266132555819e-03
m0                             3.096817362475840e-03
m0                             1.015528800330585e-03
m0                             2.288429517334656e-03
m0                             -1.447742242864923e-03
m0                             8.064947486829378e-03
m0                             2.752964121272539e-03
m0                             4.888482332428161e-04
m0                             9.423556943517894e-03
m0                             -1.919415791139774e-03
m0                             -9.842056477005923e-04
m0                             -2.529165003217329e-04
m0                             5.862637367882379e-03
m0                             1.160570642250252e-03
m0                             9.668434210337154e-03
m0                             2.080290355016182e-03
m0                             7.521386833843030e-03
m0                             1.338232941194197e-02
m0                             -3.471978527981224e-03
m0                             9.095545871753413e-03
m0                             -3.121614219600045e-03
m0                             1.300145429314856e-03
m0                             -1.871685854756564e-03
m0                             5.562539128186238e-03
m0                             1.894305387303668e-03
m0                             2.641488502910664e-03
m0                             8.058686287920730e-03
m0                             3.230180721859071e-03
m0                             5.250729649509225e-04
m0                             4.360695747923016e-03
m0                             5.694085170590499e-03
m0                             -3.990995097422655e-04
m0                             4.619697667704746e-03
m0                             2.437493944862533e-03
m0                             3.752908024585218e-03
m0                             2.751256363238468e-03
m0                             6.676106154000953e-04
m0                             3.643144714732591e-03
m0                             1.883690489780253e-03
m0                             3.581659055302006e-04
m0                             4.939008860079978e-03
m0                             8.520877773409653e-04
m0                             4.061714589182546e-03
m0                             2.276998164661155e-03
m0                             3.568738293953372e-03
m0                             2.384858342507773e-03
m0                             1.636918189573409e-03
m0                             1.569739985403320e-03
m0                             4.071488691437603e-04
m0                             2.016829279302458e-03
m0                             -3.968914767460485e-04
m0                             3.088488841218206e-03
