SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-17at
RA: 174.6403468
DEC: 25.3971276
MWEBV: 0.024 # MW E(B-V)
FILTERS: griz
REDSHIFT_HELIO: 0.02537 +- 0.00001
REDSHIFT_CMB: 0.02641 +- 0.00001
VPEC: -304.513
VPEC_ERR: 250.000
SEARCH_PEAKMJD: 57778.66089
HOSTGAL_LOGMASS: 10.283 +- 0.000
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
#==============================
NOBS: 27
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS: 57776.65805 PS1-g VOID 26194.508 426.010 16.4540 0.0180 3.02
OBS: 57778.66089 PS1-g VOID 27520.849 440.369 16.4010 0.0170 2.61
OBS: 57783.52378 PS1-g VOID 21845.441 365.785 16.6520 0.0180 2.43
OBS: 57789.64455 PS1-g VOID 13938.817 256.392 17.1390 0.0200 2.51
OBS: 57800.47071 PS1-g VOID 4449.850 154.966 18.3790 0.0380 1.96
OBS: 57776.65845 PS1-r VOID 25875.913 409.862 16.4680 0.0170 2.83
OBS: 57778.66129 PS1-r VOID 26946.178 422.876 16.4240 0.0170 2.44
OBS: 57783.52416 PS1-r VOID 21217.946 350.958 16.6830 0.0180 2.09
OBS: 57789.64494 PS1-r VOID 14950.079 255.415 17.0630 0.0190 2.34
OBS: 57800.47110 PS1-r VOID 11083.073 212.709 17.3880 0.0210 2.06
OBS: 57776.65881 PS1-i VOID 15546.438 283.803 17.0210 0.0200 2.54
OBS: 57778.66164 PS1-i VOID 15489.735 278.074 17.0250 0.0190 2.21
OBS: 57783.52453 PS1-i VOID 12698.172 241.029 17.2410 0.0210 2.07
OBS: 57789.64530 PS1-i VOID 8554.338 183.086 17.6700 0.0230 2.21
OBS: 57800.47146 PS1-i VOID 10402.083 210.369 17.4570 0.0220 1.74
OBS: 57801.57298 PS1-i VOID 9958.513 159.437 17.5050 0.0170 1.44
OBS: 57801.58456 PS1-i VOID 9847.781 156.628 17.5170 0.0170 1.40
OBS: 57801.59623 PS1-i VOID 9897.403 158.335 17.5110 0.0170 1.35
OBS: 57801.60784 PS1-i VOID 9956.262 161.077 17.5050 0.0180 1.59
OBS: 57818.39628 PS1-i VOID 3287.245 78.890 18.7080 0.0260 1.84
OBS: 57818.40772 PS1-i VOID 3207.330 75.329 18.7350 0.0250 1.75
OBS: 57818.41920 PS1-i VOID 3155.873 77.133 18.7520 0.0260 1.79
OBS: 57818.43017 PS1-i VOID 3615.909 84.166 18.6040 0.0250 1.84
OBS: 57776.65917 PS1-z VOID 14422.112 303.547 17.1020 0.0230 2.22
OBS: 57783.52490 PS1-z VOID 10430.127 240.173 17.4540 0.0250 1.78
OBS: 57789.64566 PS1-z VOID 9403.669 221.905 17.5670 0.0260 1.95
OBS: 57800.47182 PS1-z VOID 9593.439 248.962 17.5450 0.0280 2.03
END_PHOTOMETRY:

# =============================================
NSPECTRA: 1 


NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR SPECFLAG

SPECTRUM_ID: 1
SPECTRUM_NLAM: 1013
SPECTRUM_MJD:  57773.00
SPEC:   3642.35   3647.85 9.80537e-16 2.81374e-17 1
SPEC:   3647.85   3653.35 9.99021e-16 2.79547e-17 1
SPEC:   3653.35   3658.85 9.50212e-16 2.77265e-17 1
SPEC:   3658.85   3664.35 9.54920e-16 2.74545e-17 1
SPEC:   3664.45   3669.95 8.25656e-16 2.71413e-17 1
SPEC:   3669.95   3675.45 8.06324e-16 2.67902e-17 1
SPEC:   3675.45   3680.95 8.21004e-16 2.64055e-17 1
SPEC:   3680.95   3686.45 6.67743e-16 2.59921e-17 1
SPEC:   3686.45   3691.95 6.28471e-16 2.55559e-17 1
SPEC:   3692.05   3697.55 5.84832e-16 2.51031e-17 1
SPEC:   3697.55   3703.05 5.58932e-16 2.46404e-17 1
SPEC:   3703.05   3708.55 5.57791e-16 2.41747e-17 1
SPEC:   3708.55   3714.05 4.99451e-16 2.37130e-17 1
SPEC:   3714.05   3719.55 4.42874e-16 2.32617e-17 1
SPEC:   3719.55   3725.05 4.40818e-16 2.28270e-17 1
SPEC:   3725.05   3730.55 4.24699e-16 2.24142e-17 1
SPEC:   3730.65   3736.15 3.86133e-16 2.20276e-17 1
SPEC:   3736.15   3741.65 3.90516e-16 2.16703e-17 1
SPEC:   3741.65   3747.15 3.94963e-16 2.13444e-17 1
SPEC:   3747.15   3752.65 3.54633e-16 2.10506e-17 1
SPEC:   3752.65   3758.15 3.68943e-16 2.07882e-17 1
SPEC:   3758.25   3763.75 3.43097e-16 2.05556e-17 1
SPEC:   3763.75   3769.25 3.64599e-16 2.03501e-17 1
SPEC:   3769.25   3774.75 3.52976e-16 2.01684e-17 1
SPEC:   3774.75   3780.25 3.89997e-16 2.00065e-17 1
SPEC:   3780.25   3785.75 3.56113e-16 1.98604e-17 1
SPEC:   3785.85   3791.35 3.89783e-16 1.97259e-17 1
SPEC:   3791.35   3796.85 3.80927e-16 1.95993e-17 1
SPEC:   3796.85   3802.35 4.02072e-16 1.94775e-17 1
SPEC:   3802.35   3807.85 4.22997e-16 1.93579e-17 1
SPEC:   3807.85   3813.35 5.07294e-16 1.92389e-17 1
SPEC:   3813.35   3818.85 5.02446e-16 1.91197e-17 1
SPEC:   3818.95   3824.45 5.90177e-16 1.90008e-17 1
SPEC:   3824.45   3829.95 6.35546e-16 1.88833e-17 1
SPEC:   3829.95   3835.45 6.66862e-16 1.87692e-17 1
SPEC:   3835.45   3840.95 7.12623e-16 1.86614e-17 1
SPEC:   3840.95   3846.45 7.23039e-16 1.85632e-17 1
SPEC:   3846.45   3851.95 7.27912e-16 1.84786e-17 1
SPEC:   3852.05   3857.55 7.56085e-16 1.84116e-17 1
SPEC:   3857.55   3863.05 8.01788e-16 1.83666e-17 1
SPEC:   3863.05   3868.55 8.04190e-16 1.83480e-17 1
SPEC:   3868.55   3874.05 7.93173e-16 1.83597e-17 1
SPEC:   3874.05   3879.55 8.42519e-16 1.84057e-17 1
SPEC:   3879.65   3885.15 8.80524e-16 1.84896e-17 1
