SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS16fa
RA: 154.8192823
DEC: 4.7617065
MWEBV: 0.022 # MW E(B-V)
FILTERS: griz
REDSHIFT_HELIO: 0.04611 +- 0.00001
REDSHIFT_CMB: 0.04729 +- 0.00001
VPEC: -55.963
VPEC_ERR: 250.000
SEARCH_PEAKMJD: 57400.53093
HOSTGAL_LOGMASS: 10.834 +- 0.013
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
#==============================
NOBS: 39
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS: 57396.53062 PS1-g VOID 8034.296 188.141 17.7380 0.0250 2.29
OBS: 57400.53093 PS1-g VOID 8941.134 185.132 17.6220 0.0220 2.24
OBS: 57405.49573 PS1-g VOID 7901.227 171.883 17.7560 0.0240 2.05
OBS: 57405.49919 PS1-g VOID 7630.168 164.901 17.7940 0.0230 1.55
OBS: 57410.54780 PS1-g VOID 4938.383 269.781 18.2660 0.0590 2.73
OBS: 57417.48004 PS1-g VOID 2832.016 125.875 18.8700 0.0480 2.05
OBS: 57427.43040 PS1-g VOID 994.228 92.882 20.0060 0.1010 2.03
OBS: 57437.44881 PS1-g VOID 639.116 201.452 20.4860 0.3400 2.50
OBS: 57396.53101 PS1-r VOID 7603.126 158.351 17.7980 0.0230 1.92
OBS: 57400.53132 PS1-r VOID 8058.067 166.521 17.7340 0.0220 2.39
OBS: 57405.49612 PS1-r VOID 8029.157 155.091 17.7380 0.0210 1.48
OBS: 57410.54819 PS1-r VOID 5866.125 210.877 18.0790 0.0390 2.43
OBS: 57417.48043 PS1-r VOID 4636.471 123.058 18.3350 0.0290 1.94
OBS: 57427.43079 PS1-r VOID 3218.036 98.980 18.7310 0.0330 1.72
OBS: 57437.44920 PS1-r VOID 1945.352 146.096 19.2780 0.0810 2.27
OBS: 57420.46977 PS1-r VOID 4333.641 87.788 18.4080 0.0220 3.22
OBS: 57420.48090 PS1-r VOID 4370.924 81.572 18.3990 0.0200 2.46
OBS: 57420.49242 PS1-r VOID 4285.125 85.161 18.4200 0.0220 2.99
OBS: 57420.50348 PS1-r VOID 4402.155 84.861 18.3910 0.0210 2.44
OBS: 57433.39693 PS1-r VOID 2282.466 65.933 19.1040 0.0310 2.34
OBS: 57433.41007 PS1-r VOID 2336.575 63.579 19.0790 0.0290 2.21
OBS: 57433.42324 PS1-r VOID 2371.359 62.653 19.0630 0.0290 2.08
OBS: 57396.53137 PS1-i VOID 5721.435 144.127 18.1060 0.0270 2.04
OBS: 57400.53168 PS1-i VOID 5224.667 131.497 18.2050 0.0270 2.22
OBS: 57405.49648 PS1-i VOID 4740.963 116.981 18.3100 0.0270 1.38
OBS: 57410.54855 PS1-i VOID 3242.893 169.248 18.7230 0.0560 2.16
OBS: 57417.48079 PS1-i VOID 2896.745 100.651 18.8450 0.0380 1.70
OBS: 57427.43115 PS1-i VOID 3108.368 106.946 18.7690 0.0370 1.75
OBS: 57437.44957 PS1-i VOID 1937.170 143.005 19.2820 0.0800 2.24
OBS: 57379.53939 PS1-i VOID -14.092 61.395 -99 4.7050 2.25
OBS: 57379.55158 PS1-i VOID 236.354 73.696 21.5660 0.3370 2.59
OBS: 57379.56367 PS1-i VOID -41.058 58.992 -99 1.5520 2.25
OBS: 57379.57567 PS1-i VOID -78.105 59.208 -99 0.8190 2.20
OBS: 57400.53205 PS1-z VOID 4480.561 196.580 18.3720 0.0470 2.23
OBS: 57405.49685 PS1-z VOID 3947.155 144.228 18.5090 0.0390 1.41
OBS: 57410.54891 PS1-z VOID 3568.937 207.872 18.6190 0.0630 2.08
OBS: 57417.48115 PS1-z VOID 2691.862 153.145 18.9250 0.0610 1.61
OBS: 57427.43152 PS1-z VOID 2897.993 159.924 18.8450 0.0600 1.84
OBS: 57437.44995 PS1-z VOID 1638.073 225.268 19.4640 0.1490 2.45
END_PHOTOMETRY:

# =============================================
NSPECTRA: 1 


NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR SPECFLAG

SPECTRUM_ID: 1
SPECTRUM_NLAM: 989
SPECTRUM_MJD:  57398.00
SPEC:   3496.05   3501.75 3.70844e-16 9.28813e-17 1
SPEC:   3501.75   3507.45 4.92434e-16 9.14117e-17 1
SPEC:   3507.45   3513.15 3.61980e-16 8.99268e-17 1
SPEC:   3513.25   3518.95 2.07850e-16 8.84343e-17 1
SPEC:   3518.95   3524.65 3.84579e-16 8.69430e-17 1
SPEC:   3524.65   3530.35 3.94682e-16 8.54635e-17 1
SPEC:   3530.45   3536.15 3.46614e-16 8.40076e-17 1
SPEC:   3536.15   3541.85 4.10057e-16 8.25884e-17 1
SPEC:   3541.85   3547.55 5.33589e-16 8.12204e-17 1
SPEC:   3547.65   3553.35 3.69031e-16 7.99188e-17 1
SPEC:   3553.35   3559.05 5.14157e-16 7.86995e-17 1
SPEC:   3559.05   3564.75 5.37343e-16 7.75784e-17 1
SPEC:   3564.85   3570.55 4.03676e-16 7.65708e-17 1
SPEC:   3570.55   3576.25 4.06100e-16 7.56906e-17 1
SPEC:   3576.25   3581.95 3.96310e-16 7.49498e-17 1
SPEC:   3582.05   3587.75 4.75771e-16 7.43574e-17 1
SPEC:   3587.75   3593.45 4.94492e-16 7.39190e-17 1
SPEC:   3593.45   3599.15 4.60436e-16 7.36360e-17 1
SPEC:   3599.25   3604.95 5.07046e-16 7.35052e-17 1
SPEC:   3604.95   3610.65 5.89894e-16 7.35186e-17 1
SPEC:   3610.65   3616.35 4.12996e-16 7.36633e-17 1
SPEC:   3616.45   3622.15 6.03233e-16 7.39219e-17 1
SPEC:   3622.15   3627.85 5.95140e-16 7.42731e-17 1
SPEC:   3627.85   3633.55 5.64583e-16 7.46924e-17 1
SPEC:   3633.65   3639.35 6.69708e-16 7.51530e-17 1
SPEC:   3639.35   3645.05 6.83839e-16 7.56271e-17 1
SPEC:   3645.05   3650.75 6.92078e-16 7.60867e-17 1
SPEC:   3650.85   3656.55 7.82492e-16 7.65052e-17 1
SPEC:   3656.55   3662.25 6.42743e-16 7.68581e-17 1
SPEC:   3662.25   3667.95 6.91343e-16 7.71240e-17 1
SPEC:   3668.05   3673.75 9.24737e-16 7.72851e-17 1
SPEC:   3673.75   3679.45 7.22073e-16 7.73280e-17 1
SPEC:   3679.45   3685.15 9.53142e-16 7.72436e-17 1
SPEC:   3685.25   3690.95 8.28691e-16 7.70273e-17 1
SPEC:   3690.95   3696.65 8.45780e-16 7.66784e-17 1
SPEC:   3696.65   3702.35 9.47561e-16 7.62003e-17 1
SPEC:   3702.45   3708.15 8.47717e-16 7.55995e-17 1
SPEC:   3708.15   3713.85 9.28920e-16 7.48850e-17 1
SPEC:   3713.85   3719.55 9.03538e-16 7.40679e-17 1
SPEC:   3719.65   3725.35 8.42357e-16 7.31609e-17 1
SPEC:   3725.35   3731.05 8.53379e-16 7.21771e-17 1
SPEC:   3731.05   3736.75 8.84936e-16 7.11300e-17 1
SPEC:   3736.85   3742.55 6.83561e-16 7.00327e-17 1
SPEC:   3742.55   3748.25 9.38447e-16 6.88978e-17 1
SPEC:   3748.25   3753.95 8.64259e-16 6.77367e-17 1
SPEC:   3754.05   3759.75 8.62591e-16 6.65595e-17 1
SPEC:   3759.75   3765.45 8.16947e-16 6.53750e-17 1
SPEC:   3765.45   3771.15 7.22663e-16 6.41904e-17 1
SPEC:   3771.25   3776.95 7.40865e-16 6.30113e-17 1
SPEC:   3776.95   3782.65 8.03637e-16 6.18420e-17 1
SPEC:   3782.65   3788.35 8.49476e-16 6.06852e-17 1
SPEC:   3788.45   3794.15 7.82442e-16 5.95427e-17 1
SPEC:   3794.15   3799.85 8.40321e-16 5.84152e-17 1
SPEC:   3799.85   3805.55 8.68802e-16 5.73029e-17 1
SPEC:   3805.65   3811.35 8.15332e-16 5.62058e-17 1
SPEC:   3811.35   3817.05 9.00046e-16 5.51235e-17 1
SPEC:   3817.05   3822.75 8.32091e-16 5.40564e-17 1
SPEC:   3822.85   3828.55 7.66373e-16 5.30052e-17 1
SPEC:   3828.55   3834.25 8.93288e-16 5.19712e-17 1
