SURVEY: CFA3
SNID: 2001ep
IAUC: UNKNOWN
RA: 74.2510800
DEC: -4.7611700
MWEBV: 0.041 # MW E(B-V)
REDSHIFT_HELIO: 0.01301 +- 0.00100
REDSHIFT_CMB: 0.01294 +- 0.00099
VPEC: 143.081
VPEC_ERR: 250.000
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 52200.075
FILTERS: UBVRIfhjklabcdetuvwxyzA

#==============================
NOBS: 72
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 52196.457 CFA3S-B/b VOID 86616.3550 1276.3786
OBS: 52197.459 CFA3S-B/b VOID 86696.1696 4391.5943
OBS: 52198.310 CFA3S-B/b VOID 92896.6178 1540.0401
OBS: 52199.317 CFA3S-B/b VOID 95587.2359 2817.1470
OBS: 52203.343 CFA3S-B/b VOID 85035.4242 1253.0820
OBS: 52221.522 CFA3S-B/b VOID 13477.2068 198.6001
OBS: 52226.351 CFA3S-B/b VOID 8757.8981 362.9711
OBS: 52230.386 CFA3S-B/b VOID 7592.7642 125.8728
OBS: 52266.298 CFA3S-B/b VOID 3865.4486 395.1687
OBS: 52195.441 CFA3S-I/e VOID 97185.1611 1074.0904
OBS: 52196.461 CFA3S-I/e VOID 101297.7877 1865.9053
OBS: 52197.463 CFA3S-I/e VOID 103371.2949 1999.3042
OBS: 52198.316 CFA3S-I/e VOID 100925.2792 1208.3784
OBS: 52199.323 CFA3S-I/e VOID 99174.4868 2192.1529
OBS: 52203.349 CFA3S-I/e VOID 89866.9414 1158.7443
OBS: 52205.315 CFA3S-I/e VOID 83483.3672 1153.3227
OBS: 52206.388 CFA3S-I/e VOID 79359.6889 1534.8957
OBS: 52206.399 CFA3S-I/e VOID 79725.9971 954.5594
OBS: 52221.528 CFA3S-I/e VOID 69183.0912 1146.9173
OBS: 52227.410 CFA3S-I/e VOID 61432.7505 678.9548
OBS: 52230.391 CFA3S-I/e VOID 52966.3390 780.5120
OBS: 52234.311 CFA3S-I/e VOID 39409.4128 471.8489
OBS: 52257.313 CFA3S-I/e VOID 14668.9815 283.7128
OBS: 52266.305 CFA3S-I/e VOID 10864.2552 360.2152
OBS: 52320.178 CFA3S-I/e VOID 2075.8692 231.3369
OBS: 52195.440 CFA3S-R/d VOID 101484.5237 1028.1397
OBS: 52196.460 CFA3S-R/d VOID 104712.8105 1446.6075
OBS: 52197.462 CFA3S-R/d VOID 109748.8049 1516.1798
OBS: 52198.314 CFA3S-R/d VOID 110356.9785 2032.7755
OBS: 52199.321 CFA3S-R/d VOID 113867.5080 2726.6713
OBS: 52203.348 CFA3S-R/d VOID 111789.1898 1544.3677
OBS: 52205.314 CFA3S-R/d VOID 106757.8502 1671.5076
OBS: 52206.387 CFA3S-R/d VOID 103371.2572 1523.2789
OBS: 52206.398 CFA3S-R/d VOID 102329.2583 1413.6786
OBS: 52221.520 CFA3S-R/d VOID 56441.6643 831.7244
OBS: 52221.526 CFA3S-R/d VOID 57016.4023 682.6574
OBS: 52227.408 CFA3S-R/d VOID 45962.0942 465.6420
OBS: 52230.390 CFA3S-R/d VOID 37256.3079 514.6959
OBS: 52234.310 CFA3S-R/d VOID 28707.7932 555.2374
OBS: 52257.311 CFA3S-R/d VOID 13292.2902 208.1174
OBS: 52266.304 CFA3S-R/d VOID 9999.9954 313.1399
OBS: 52267.330 CFA3S-R/d VOID 10176.5318 299.9228
OBS: 52320.176 CFA3S-R/d VOID 2257.3547 101.8722
OBS: 52195.432 CFA3S-U/a VOID 110560.5015 2342.0897
OBS: 52197.464 CFA3S-U/a VOID 116734.7076 2580.3993
OBS: 52198.307 CFA3S-U/a VOID 116734.7076 2257.8494
OBS: 52199.314 CFA3S-U/a VOID 117273.5306 3348.4003
OBS: 52205.306 CFA3S-U/a VOID 67297.6656 1487.6026
OBS: 52206.379 CFA3S-U/a VOID 59210.6734 1963.2616
OBS: 52206.390 CFA3S-U/a VOID 59429.2159 1149.4629
OBS: 52221.529 CFA3S-U/a VOID 11313.5786 1458.8267
OBS: 52226.348 CFA3S-U/a VOID 9036.4947 1797.7506
OBS: 52230.382 CFA3S-U/a VOID 5638.9728 280.4590
OBS: 52234.302 CFA3S-U/a VOID 4566.6739 264.9819
OBS: 52257.315 CFA3S-U/a VOID 3067.6090 240.1566
OBS: 52267.320 CFA3S-U/a VOID 2530.4630 284.3384
OBS: 52195.438 CFA3S-V/c VOID 84566.8537 778.8607
OBS: 52196.459 CFA3S-V/c VOID 90865.7416 1087.9355
OBS: 52197.461 CFA3S-V/c VOID 96649.6253 1335.2146
OBS: 52198.312 CFA3S-V/c VOID 97633.7956 989.1280
OBS: 52199.319 CFA3S-V/c VOID 101859.1797 1219.5600
OBS: 52203.346 CFA3S-V/c VOID 101953.0381 1220.6837
OBS: 52205.312 CFA3S-V/c VOID 96649.6253 1157.1859
OBS: 52206.396 CFA3S-V/c VOID 93756.2378 1122.5434
OBS: 52221.524 CFA3S-V/c VOID 38370.7397 600.7707
OBS: 52227.407 CFA3S-V/c VOID 27390.5131 252.2666
OBS: 52230.388 CFA3S-V/c VOID 22511.2789 352.4591
OBS: 52234.308 CFA3S-V/c VOID 18365.3911 219.8888
OBS: 52257.309 CFA3S-V/c VOID 9306.7955 265.7183
OBS: 52266.301 CFA3S-V/c VOID 7805.4900 280.3654
OBS: 52267.327 CFA3S-V/c VOID 7762.4742 257.3726
OBS: 52320.173 CFA3S-V/c VOID 2565.6663 111.0600
END_PHOTOMETRY:

# =============================================
# =============================================
NSPECTRA: 21

NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR SPECFLAG


SPECTRUM_ID: 1
SPECTRUM_MJD:  52192.49
SPECTRUM_NLAM:      1834
SPEC:   3771.88   3773.91 2.34329e-01 1.55903e-02 1
SPEC:   3773.91   3775.93 2.38504e-01 1.58438e-02 1
SPEC:   3775.93   3777.96 2.02873e-01 1.55656e-02 1
SPEC:   3777.96   3779.98 2.15475e-01 1.56932e-02 1
SPEC:   3779.98   3782.01 1.60436e-01 1.52405e-02 1
SPEC:   3782.01   3784.04 1.32913e-01 1.51097e-02 1
SPEC:   3784.04   3786.06 1.58691e-01 1.51408e-02 1
SPEC:   3786.06   3788.09 1.84684e-01 1.48300e-02 1
SPEC:   3788.09   3790.12 2.37408e-01 1.52481e-02 1
SPEC:   3790.12   3792.14 2.31021e-01 1.48364e-02 1
SPEC:   3792.14   3794.17 1.67403e-01 1.42057e-02 1
SPEC:   3794.17   3796.19 1.73118e-01 1.44107e-02 1
SPEC:   3796.19   3798.22 2.05801e-01 1.44608e-02 1
SPEC:   3798.22   3800.25 1.99284e-01 1.40964e-02 1
SPEC:   3800.25   3802.27 1.97466e-01 1.40879e-02 1
SPEC:   3802.27   3804.30 2.36306e-01 1.46142e-02 1
SPEC:   3804.30   3806.33 2.39358e-01 1.45348e-02 1
SPEC:   3806.33   3808.35 2.42607e-01 1.44216e-02 1
SPEC:   3808.35   3810.38 2.33153e-01 1.43295e-02 1
SPEC:   3810.38   3812.40 2.05941e-01 1.41349e-02 1
SPEC:   3812.40   3814.43 2.12929e-01 1.43176e-02 1
SPEC:   3814.43   3816.46 2.41227e-01 1.41989e-02 1
SPEC:   3816.46   3818.48 2.15306e-01 1.39611e-02 1
SPEC:   3818.48   3820.51 1.81449e-01 1.34969e-02 1
SPEC:   3820.51   3822.54 2.18949e-01 1.35191e-02 1
SPEC:   3822.54   3824.56 2.37183e-01 1.36162e-02 1
SPEC:   3824.56   3826.59 2.42760e-01 1.36679e-02 1
SPEC:   3826.59   3828.61 2.30192e-01 1.33759e-02 1
SPEC:   3828.61   3830.64 2.52943e-01 1.37134e-02 1
SPEC:   3830.64   3832.67 2.78969e-01 1.38836e-02 1
SPEC:   3832.67   3834.69 2.56025e-01 1.33670e-02 1
SPEC:   3834.69   3836.72 2.84518e-01 1.37048e-02 1
SPEC:   3836.72   3838.75 3.01195e-01 1.35372e-02 1
SPEC:   3838.75   3840.77 2.89023e-01 1.37070e-02 1
SPEC:   3840.77   3842.80 2.95179e-01 1.37571e-02 1
SPEC:   3842.80   3844.82 2.77361e-01 1.36793e-02 1
SPEC:   3844.82   3846.85 3.10676e-01 1.40834e-02 1
SPEC:   3846.85   3848.88 2.97195e-01 1.40498e-02 1
SPEC:   3848.88   3850.90 3.16769e-01 1.39287e-02 1
SPEC:   3850.90   3852.93 3.46532e-01 1.40568e-02 1
SPEC:   3852.93   3854.96 3.22392e-01 1.37506e-02 1
SPEC:   3854.96   3856.98 3.28968e-01 1.38355e-02 1
SPEC:   3856.98   3859.01 3.38598e-01 1.38357e-02 1
SPEC:   3859.01   3861.03 3.45575e-01 1.37239e-02 1
SPEC:   3861.03   3863.06 3.75790e-01 1.40970e-02 1
SPEC:   3863.06   3865.09 3.40567e-01 1.38283e-02 1
SPEC:   3865.09   3867.11 3.39891e-01 1.38221e-02 1
SPEC:   3867.11   3869.14 3.82836e-01 1.38496e-02 1
SPEC:   3869.14   3871.17 3.97271e-01 1.40186e-02 1
SPEC:   3871.17   3873.19 3.96204e-01 1.39783e-02 1
SPEC:   3873.19   3875.22 4.07565e-01 1.39910e-02 1
SPEC:   3875.22   3877.24 4.49787e-01 1.43492e-02 1
SPEC:   3877.24   3879.27 4.48181e-01 1.42326e-02 1
SPEC:   3879.27   3881.30 4.64028e-01 1.42800e-02 1
SPEC:   3881.30   3883.32 4.59245e-01 1.40772e-02 1
SPEC:   3883.32   3885.35 4.61398e-01 1.40336e-02 1
SPEC:   3885.35   3887.38 5.00502e-01 1.43054e-02 1
SPEC:   3887.38   3889.40 5.20700e-01 1.44994e-02 1
SPEC:   3889.40   3891.43 4.94936e-01 1.43384e-02 1
SPEC:   3891.43   3893.45 4.96689e-01 1.44448e-02 1
SPEC:   3893.45   3895.48 5.39676e-01 1.48395e-02 1
SPEC:   3895.48   3897.51 5.58976e-01 1.48466e-02 1
SPEC:   3897.51   3899.53 5.44317e-01 1.46318e-02 1
SPEC:   3899.53   3901.56 5.85634e-01 1.50537e-02 1
SPEC:   3901.56   3903.59 5.74576e-01 1.48559e-02 1
SPEC:   3903.59   3905.61 5.78570e-01 1.49283e-02 1
SPEC:   3905.61   3907.64 6.06904e-01 1.51693e-02 1
SPEC:   3907.64   3909.66 5.94248e-01 1.51220e-02 1
SPEC:   3909.66   3911.69 6.15125e-01 1.54323e-02 1
SPEC:   3911.69   3913.72 6.19563e-01 1.51333e-02 1
SPEC:   3913.72   3915.74 6.60901e-01 1.55512e-02 1
SPEC:   3915.74   3917.77 6.26659e-01 1.50182e-02 1
SPEC:   3917.77   3919.80 6.55255e-01 1.52523e-02 1
SPEC:   3919.80   3921.82 6.84861e-01 1.51309e-02 1
SPEC:   3921.82   3923.85 7.05473e-01 1.50883e-02 1
SPEC:   3923.85   3925.87 7.04843e-01 1.50494e-02 1
SPEC:   3925.87   3927.90 6.78367e-01 1.47848e-02 1
SPEC:   3927.90   3929.93 6.71876e-01 1.45255e-02 1
SPEC:   3929.93   3931.95 6.70836e-01 1.43806e-02 1
SPEC:   3931.95   3933.98 6.75219e-01 1.41779e-02 1
SPEC:   3933.98   3936.01 6.92403e-01 1.40784e-02 1
SPEC:   3936.01   3938.03 7.32795e-01 1.44541e-02 1
SPEC:   3938.03   3940.06 7.57352e-01 1.48784e-02 1
SPEC:   3940.06   3942.08 7.38545e-01 1.48746e-02 1
