SURVEY: CFA2
SNID: 1999gp
IAUC: UNKNOWN
RA: 37.9131300
DEC: 39.3811900
MWEBV: 0.048 # MW E(B-V)
REDSHIFT_HELIO: 0.02675 +- 0.00100
REDSHIFT_CMB: 0.02604 +- 0.00097
VPEC: -277.274
VPEC_ERR: 250.000
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 51550.857
FILTERS: UBVRI

#==============================
NOBS: 190
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 51536.310 Bessell-B/B VOID 6854.8803 411.1160
OBS: 51537.240 Bessell-B/B VOID 9549.9232 490.3298
OBS: 51538.260 Bessell-B/B VOID 11481.5330 540.9018
OBS: 51539.200 Bessell-B/B VOID 14190.5714 655.5555
OBS: 51540.230 Bessell-B/B VOID 17701.0846 787.7544
OBS: 51541.270 Bessell-B/B VOID 20701.4073 910.4197
OBS: 51542.066 Bessell-B/B VOID 22243.3339 786.8908
OBS: 51542.240 Bessell-B/B VOID 23550.4862 1025.1628
OBS: 51543.190 Bessell-B/B VOID 25822.5948 990.3105
OBS: 51544.063 Bessell-B/B VOID 26668.5793 941.0789
OBS: 51545.310 Bessell-B/B VOID 29376.4884 1049.1075
OBS: 51546.180 Bessell-B/B VOID 30478.9416 2470.7413
OBS: 51546.240 Bessell-B/B VOID 30619.6256 1126.3641
OBS: 51547.200 Bessell-B/B VOID 32508.7206 1384.3056
OBS: 51547.225 Bessell-B/B VOID 31246.3922 1067.7625
OBS: 51548.150 Bessell-B/B VOID 33143.6150 1136.3820
OBS: 51548.200 Bessell-B/B VOID 32809.5204 1398.7999
OBS: 51551.130 Bessell-B/B VOID 31593.6558 1121.9338
OBS: 51551.150 Bessell-B/B VOID 32508.7206 1596.6613
OBS: 51552.082 Bessell-B/B VOID 30591.4372 1053.3949
OBS: 51552.150 Bessell-B/B VOID 31915.3695 1362.2865
OBS: 51553.070 Bessell-B/B VOID 30450.8823 1080.7944
OBS: 51553.180 Bessell-B/B VOID 30478.9416 1318.5971
OBS: 51554.170 Bessell-B/B VOID 29376.4884 1277.8661
OBS: 51555.120 Bessell-B/B VOID 25703.9503 1012.7889
OBS: 51556.180 Bessell-B/B VOID 27797.1247 1577.5006
OBS: 51557.150 Bessell-B/B VOID 26061.5285 1308.3386
OBS: 51564.140 Bessell-B/B VOID 15689.1671 653.8253
OBS: 51570.080 Bessell-B/B VOID 9212.9750 402.0999
OBS: 51570.170 Bessell-B/B VOID 10375.2816 596.9071
OBS: 51572.110 Bessell-B/B VOID 7798.2988 374.5700
OBS: 51573.092 Bessell-B/B VOID 6911.9387 287.6864
OBS: 51576.140 Bessell-B/B VOID 5296.6329 308.9296
OBS: 51578.071 Bessell-B/B VOID 5072.2410 223.5769
OBS: 51578.120 Bessell-B/B VOID 5058.2452 356.5814
OBS: 51580.080 Bessell-B/B VOID 4119.0767 237.4110
OBS: 51581.077 Bessell-B/B VOID 3861.8898 201.3877
OBS: 51581.170 Bessell-B/B VOID 3705.0995 207.0468
OBS: 51584.268 Bessell-B/B VOID 3221.0679 183.2355
OBS: 51588.081 Bessell-B/B VOID 2841.8417 173.8319
OBS: 51589.170 Bessell-B/B VOID 2514.2003 181.9287
OBS: 51596.130 Bessell-B/B VOID 2070.1407 281.9612
OBS: 51601.089 Bessell-B/B VOID 2060.6294 162.1474
OBS: 51614.098 Bessell-B/B VOID 1547.3904 148.1713
OBS: 51615.140 Bessell-B/B VOID 1527.5656 355.7127
OBS: 51616.099 Bessell-B/B VOID 1297.7764 155.2757
OBS: 51630.112 Bessell-B/B VOID 1353.9415 148.1577
OBS: 51536.310 Bessell-I/I VOID 6194.4133 741.6571
OBS: 51537.240 Bessell-I/I VOID 9120.1120 839.9623
OBS: 51538.260 Bessell-I/I VOID 11066.2423 815.3607
OBS: 51539.200 Bessell-I/I VOID 13931.5736 769.8588
OBS: 51540.230 Bessell-I/I VOID 17378.0145 960.3091
OBS: 51541.270 Bessell-I/I VOID 20323.5788 748.7206
OBS: 51542.240 Bessell-I/I VOID 22080.0566 1220.1439
OBS: 51543.190 Bessell-I/I VOID 24888.5827 916.8954
OBS: 51544.063 Bessell-I/I VOID 27415.7524 151.4994
OBS: 51544.260 Bessell-I/I VOID 26546.0662 1955.9141
OBS: 51545.310 Bessell-I/I VOID 28787.2496 318.1567
OBS: 51546.240 Bessell-I/I VOID 29376.5089 324.6692
OBS: 51547.200 Bessell-I/I VOID 27542.2986 1521.9873
OBS: 51547.225 Bessell-I/I VOID 29484.9352 162.9337
OBS: 51548.150 Bessell-I/I VOID 28418.4360 392.6007
OBS: 51548.200 Bessell-I/I VOID 28054.3473 1550.2832
OBS: 51551.130 Bessell-I/I VOID 27390.5130 403.6266
OBS: 51551.150 Bessell-I/I VOID 26302.6908 968.9911
OBS: 51552.082 Bessell-I/I VOID 27089.4488 149.6963
OBS: 51552.150 Bessell-I/I VOID 26791.6944 1974.0120
OBS: 51553.070 Bessell-I/I VOID 25775.0892 332.3440
OBS: 51553.180 Bessell-I/I VOID 25585.8692 1413.8751
OBS: 51555.120 Bessell-I/I VOID 23593.9234 304.2201
OBS: 51556.180 Bessell-I/I VOID 22490.5556 2071.3802
OBS: 51557.150 Bessell-I/I VOID 19769.7043 1456.6318
OBS: 51564.140 Bessell-I/I VOID 15163.5251 572.5899
OBS: 51570.080 Bessell-I/I VOID 13905.9343 422.6431
OBS: 51573.092 Bessell-I/I VOID 17108.0373 94.5390
OBS: 51578.071 Bessell-I/I VOID 18484.1789 136.1914
OBS: 51580.080 Bessell-I/I VOID 18518.2597 494.6042
OBS: 51581.077 Bessell-I/I VOID 19195.5330 141.4327
OBS: 51581.170 Bessell-I/I VOID 18197.0157 284.9107
OBS: 51584.268 Bessell-I/I VOID 19284.1347 142.0855
OBS: 51588.081 Bessell-I/I VOID 16703.2190 123.0693
OBS: 51589.170 Bessell-I/I VOID 15093.8548 444.8461
OBS: 51601.089 Bessell-I/I VOID 8757.9038 64.5282
OBS: 51614.098 Bessell-I/I VOID 5161.7881 76.0641
OBS: 51616.099 Bessell-I/I VOID 5675.4483 114.9959
OBS: 51630.112 Bessell-I/I VOID 3323.5344 39.7927
OBS: 51536.310 Bessell-R/R VOID 7447.3216 685.8983
OBS: 51537.240 Bessell-R/R VOID 9375.6224 690.7959
OBS: 51538.260 Bessell-R/R VOID 12359.4777 682.9847
OBS: 51539.200 Bessell-R/R VOID 15135.6163 557.5961
OBS: 51541.270 Bessell-R/R VOID 21877.6218 805.9716
OBS: 51542.066 Bessell-R/R VOID 23078.1031 127.5296
OBS: 51542.240 Bessell-R/R VOID 24660.3990 1362.7336
OBS: 51543.190 Bessell-R/R VOID 27289.7845 1005.3557
OBS: 51544.063 Bessell-R/R VOID 27669.4234 152.9012
OBS: 51544.260 Bessell-R/R VOID 30199.5248 1668.8257
OBS: 51545.310 Bessell-R/R VOID 31827.3225 322.4426
