SURVEY: PS1MD
SNTYPE: 1
SNID: 120336
IAUC:    UNKNOWN
RA:        149.0823417  deg
DEC:       1.4094667  deg
FILTERS: griz
HOSTGAL_LOGMASS: 9.757 +- 0.584
HOSTGAL_SNSEP: 19.325340789948555
SEARCH_PEAKMJD: 55572.0
 
MWEBV: 0.020 # MW E(B-V)
REDSHIFT_HELIO: 0.16000 +- 0.00100
REDSHIFT_CMB: 0.16116 +- 0.00101
VPEC: -56.512
VPEC_ERR: 250.000
#==============================
NOBS: 46
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 55545.5 PS1-g VOID 15.908 10.463 -8.0040 0.7140
OBS: 55560.6 PS1-g VOID -7.758 11.924 -99 -1.6690
OBS: 55563.6 PS1-g VOID -10.824 14.282 -99 -1.4330
OBS: 55566.6 PS1-g VOID 22.022 16.702 -8.3570 0.8230
OBS: 55572.5 PS1-g VOID 247.262 14.724 -10.983 0.0650
OBS: 55587.6 PS1-g VOID 649.123 13.797 -12.031 0.0230
OBS: 55590.5 PS1-g VOID 594.489 16.327 -11.935 0.0300
OBS: 55593.5 PS1-g VOID 497.248 12.478 -11.741 0.0270
OBS: 55596.4 PS1-g VOID 379.895 14.038 -11.449 0.0400
OBS: 55602.4 PS1-g VOID 213.573 29.130 -10.824 0.1480
OBS: 55614.3 PS1-g VOID 70.704 16.332 -9.6240 0.2510
OBS: 55629.3 PS1-g VOID 52.903 11.823 -9.3090 0.2430
OBS: 55632.3 PS1-g VOID 29.226 12.274 -8.6640 0.4560
OBS: 55635.3 PS1-g VOID 2.365 15.909 -5.9350 7.3040
OBS: 55545.5 PS1-r VOID 3.441 8.743 -6.3420 2.7590
OBS: 55560.6 PS1-r VOID -11.705 11.608 -99 -1.0770
OBS: 55563.6 PS1-r VOID -1.278 12.875 -99 -10.942
OBS: 55566.6 PS1-r VOID 28.894 11.188 -8.6520 0.4200
OBS: 55572.6 PS1-r VOID 235.752 15.795 -10.931 0.0730
OBS: 55587.6 PS1-r VOID 739.959 12.494 -12.173 0.0180
OBS: 55590.5 PS1-r VOID 660.927 13.320 -12.050 0.0220
OBS: 55593.5 PS1-r VOID 633.108 11.035 -12.004 0.0190
OBS: 55596.4 PS1-r VOID 557.669 15.900 -11.866 0.0310
OBS: 55602.4 PS1-r VOID 408.987 17.753 -11.529 0.0470
OBS: 55614.4 PS1-r VOID -5.758 107.338 -99 -20.241
OBS: 55629.3 PS1-r VOID 103.319 10.353 -10.035 0.1090
OBS: 55632.3 PS1-r VOID 113.526 10.939 -10.138 0.1050
OBS: 55635.3 PS1-r VOID 93.558 9.930 -9.9280 0.1150
OBS: 55546.5 PS1-i VOID 5.505 7.129 -6.8520 1.4060
OBS: 55561.6 PS1-i VOID -7.592 4.438 -99 -0.6350
OBS: 55567.5 PS1-i VOID -1.922 280.673 -99 -158.568
OBS: 55570.6 PS1-i VOID 181.920 38.097 -10.650 0.2270
OBS: 55576.6 PS1-i VOID 431.396 7.599 -11.587 0.0190
OBS: 55588.6 PS1-i VOID 616.699 14.668 -11.975 0.0260
OBS: 55594.5 PS1-i VOID 526.597 8.788 -11.804 0.0180
OBS: 55597.4 PS1-i VOID 424.529 26.682 -11.570 0.0680
OBS: 55615.5 PS1-i VOID 228.844 98.126 -10.899 0.4660
OBS: 55633.3 PS1-i VOID 107.148 10.768 -10.075 0.1090
OBS: 55571.5 PS1-z VOID 118.678 26.911 -10.186 0.2460
OBS: 55577.6 PS1-z VOID 375.062 18.146 -11.435 0.0530
OBS: 55586.6 PS1-z VOID 373.020 16.216 -11.429 0.0470
OBS: 55589.6 PS1-z VOID 377.504 16.438 -11.442 0.0470
OBS: 55592.6 PS1-z VOID 304.236 11.402 -11.208 0.0410
OBS: 55595.5 PS1-z VOID 252.486 12.887 -11.006 0.0550
OBS: 55631.3 PS1-z VOID 159.440 17.463 -10.506 0.1190
OBS: 55634.3 PS1-z VOID 114.058 12.578 -10.143 0.1200
END:
