SURVEY: PS1MD
SNTYPE: 1
SNID: 510113
IAUC:    UNKNOWN
RA:        186.5827875  deg
DEC:       46.0665861  deg
FILTERS: griz
HOSTGAL_LOGMASS: 8.598 +- 0.751
HOSTGAL_SNSEP: 23.301484941437195
SEARCH_PEAKMJD: 56417.0
 
REDSHIFT_HELIO: 0.29000 +- 0.01000
REDSHIFT_CMB: 0.29070 +- 0.01002
VPEC: -61.367
VPEC_ERR: 250.000
#==============================
NOBS: 29
MWEBV: 0.011 # MW E(B-V)
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 56421.3 PS1-g VOID 335.592 12.663 -11.315 0.0410
OBS: 56427.3 PS1-g VOID 285.161 15.635 -11.138 0.0600
OBS: 56387.5 PS1-r VOID -17.901 21.677 -99 -1.3150
OBS: 56390.4 PS1-r VOID -24.482 13.461 -99 -0.5970
OBS: 56416.4 PS1-r VOID 395.884 24.532 -11.494 0.0670
OBS: 56427.3 PS1-r VOID 337.259 20.300 -11.320 0.0650
OBS: 56450.3 PS1-r VOID 122.581 16.914 -10.221 0.1500
OBS: 56460.3 PS1-r VOID 75.317 10.666 -9.6920 0.1540
OBS: 56478.3 PS1-r VOID 77.692 12.334 -9.7260 0.1720
OBS: 56388.5 PS1-i VOID 2.820 10.001 -6.1260 3.8500
OBS: 56393.3 PS1-i VOID 6.155 10.616 -6.9730 1.8730
OBS: 56399.4 PS1-i VOID 39.461 14.207 -8.9900 0.3910
OBS: 56403.4 PS1-i VOID 130.106 13.499 -10.286 0.1130
OBS: 56411.4 PS1-i VOID 303.620 29.795 -11.206 0.1070
OBS: 56414.4 PS1-i VOID 351.886 15.980 -11.366 0.0490
OBS: 56420.4 PS1-i VOID 379.342 9.776 -11.448 0.0280
OBS: 56422.3 PS1-i VOID 389.446 10.417 -11.476 0.0290
OBS: 56432.3 PS1-i VOID 299.831 17.447 -11.192 0.0630
OBS: 56450.3 PS1-i VOID 225.671 22.324 -10.884 0.1070
OBS: 56462.3 PS1-i VOID 155.033 11.236 -10.476 0.0790
OBS: 56479.3 PS1-i VOID 106.301 11.297 -10.066 0.1150
OBS: 56397.4 PS1-z VOID 45.719 28.122 -9.1500 0.6680
OBS: 56402.3 PS1-z VOID 78.287 30.026 -9.7340 0.4160
OBS: 56404.3 PS1-z VOID 91.776 24.849 -9.9070 0.2940
OBS: 56410.4 PS1-z VOID 236.432 31.089 -10.934 0.1430
OBS: 56423.4 PS1-z VOID 226.613 28.458 -10.888 0.1360
OBS: 56429.3 PS1-z VOID 258.617 22.576 -11.032 0.0950
OBS: 56459.3 PS1-z VOID 150.546 26.911 -10.444 0.1940
OBS: 56463.3 PS1-z VOID 143.212 22.899 -10.390 0.1740
END:
