SURVEY: PS1MD
SNTYPE: 1
SNID: 550137
IAUC:    UNKNOWN
RA:        334.7541042  deg
DEC:       0.0296556  deg
FILTERS: griz
HOSTGAL_LOGMASS: 10.086 +- 0.100
HOSTGAL_SNSEP: 22.127878673278747
SEARCH_PEAKMJD: 56564.0
 
MWEBV: 0.080 # MW E(B-V)
REDSHIFT_HELIO: 0.42100 +- 0.00100
REDSHIFT_CMB: 0.41980 +- 0.00100
VPEC: 150.756
VPEC_ERR: 250.000
#==============================
NOBS: 48
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 56534.5 PS1-g VOID 0.536 5.933 -4.3230 12.0200
OBS: 56539.4 PS1-g VOID 3.114 7.204 -6.2330 2.5120
OBS: 56545.3 PS1-g VOID 26.048 11.448 -8.5390 0.4770
OBS: 56548.3 PS1-g VOID 46.578 17.036 -9.1700 0.3970
OBS: 56563.3 PS1-g VOID 59.011 9.798 -9.4270 0.1800
OBS: 56571.2 PS1-g VOID 43.516 7.959 -9.0970 0.1990
OBS: 56574.2 PS1-g VOID 8.925 14.879 -7.3770 1.8100
OBS: 56590.3 PS1-g VOID 14.690 5.291 -7.9180 0.3910
OBS: 56593.3 PS1-g VOID 0.795 5.138 -4.7510 7.0200
OBS: 56601.2 PS1-g VOID -7.907 23.313 -99 -3.2010
OBS: 56628.3 PS1-g VOID -52.689 66.246 -99 -1.3650
OBS: 56534.5 PS1-r VOID -9.794 8.690 -99 -0.9630
OBS: 56538.3 PS1-r VOID 15.746 8.008 -7.9930 0.5520
OBS: 56545.3 PS1-r VOID 61.512 7.115 -9.4720 0.1260
OBS: 56571.2 PS1-r VOID 106.173 9.890 -10.065 0.1010
OBS: 56574.3 PS1-r VOID 411.066 386.069 -11.535 1.0200
OBS: 56590.3 PS1-r VOID 23.403 5.421 -8.4230 0.2520
OBS: 56593.3 PS1-r VOID 29.779 7.298 -8.6850 0.2660
OBS: 56596.3 PS1-r VOID 34.059 19.120 -8.8310 0.6100
OBS: 56597.3 PS1-r VOID 7.830 9.868 -7.2340 1.3680
OBS: 56626.2 PS1-r VOID -18.035 32.612 -99 -1.9630
OBS: 56538.4 PS1-i VOID 7.819 7.205 -7.2330 1.0000
OBS: 56540.4 PS1-i VOID 27.488 8.982 -8.5980 0.3550
OBS: 56550.5 PS1-i VOID 90.495 26.519 -9.8920 0.3180
OBS: 56558.4 PS1-i VOID 137.083 12.376 -10.342 0.0980
OBS: 56564.4 PS1-i VOID 92.084 24.873 -9.9100 0.2930
OBS: 56567.2 PS1-i VOID 166.523 31.284 -10.554 0.2040
OBS: 56569.3 PS1-i VOID 132.519 19.900 -10.306 0.1630
OBS: 56575.3 PS1-i VOID 100.969 8.571 -10.010 0.0920
OBS: 56588.4 PS1-i VOID 64.938 10.322 -9.5310 0.1730
OBS: 56597.2 PS1-i VOID 62.240 12.767 -9.4850 0.2230
OBS: 56599.3 PS1-i VOID 27.579 13.482 -8.6010 0.5310
OBS: 56626.2 PS1-i VOID 27.344 20.904 -8.5920 0.8300
OBS: 56536.5 PS1-z VOID -3.537 8.846 -99 -2.7160
OBS: 56539.4 PS1-z VOID 22.723 17.829 -8.3910 0.8520
OBS: 56541.3 PS1-z VOID 22.787 21.746 -8.3940 1.0360
OBS: 56544.3 PS1-z VOID 59.202 9.413 -9.4310 0.1730
OBS: 56549.3 PS1-z VOID 109.822 13.865 -10.102 0.1370
OBS: 56557.5 PS1-z VOID 124.987 17.957 -10.242 0.1560
OBS: 56568.3 PS1-z VOID 111.598 78.065 -10.119 0.7590
OBS: 56570.3 PS1-z VOID 130.739 12.353 -10.291 0.1030
OBS: 56584.3 PS1-z VOID 80.620 14.705 -9.7660 0.1980
OBS: 56589.3 PS1-z VOID 81.586 12.389 -9.7790 0.1650
OBS: 56592.3 PS1-z VOID 71.027 16.998 -9.6290 0.2600
OBS: 56595.2 PS1-z VOID 64.407 10.229 -9.5220 0.1720
OBS: 56600.3 PS1-z VOID 85.448 25.293 -9.8290 0.3210
OBS: 56613.3 PS1-z VOID 28.079 15.668 -8.6210 0.6060
OBS: 56628.2 PS1-z VOID 67.797 20.376 -9.5780 0.3260
END:
