SURVEY: SDSS
SNID: 15466
IAUC: UNKNOWN
RA: 317.6450417
DEC: 21.1763361
MWEBV: 0.113 # MW E(B-V)
REDSHIFT_HELIO: 0.24700 +- 0.00100
REDSHIFT_CMB: 0.24596 +- 0.00100
VPEC: 77.212
VPEC_ERR: 250.000
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 54036.673
FILTERS: ugriztvywxABCfhjkl

#==============================
NOBS: 109
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53974.188 SDSS-g VOID -4.8800 12.8230
OBS: 53989.195 SDSS-g VOID 9.9700 19.8360
OBS: 53995.188 SDSS-g VOID -12.3400 13.3610
OBS: 53997.164 SDSS-g VOID -1.5200 15.2770
OBS: 54005.137 SDSS-g VOID 5.7900 13.1870
OBS: 54007.148 SDSS-g VOID 18.4100 15.7290
OBS: 54009.145 SDSS-g VOID 27.6700 19.6710
OBS: 54011.211 SDSS-g VOID -2.2500 28.6760
OBS: 54019.160 SDSS-g VOID 23.3900 18.8510
OBS: 54025.207 SDSS-g VOID 108.0000 14.9430
OBS: 54029.137 SDSS-g VOID 171.4001 13.3360
OBS: 54031.125 SDSS-g VOID 199.6701 14.2390
OBS: 54036.129 SDSS-g VOID 222.4801 19.9930
OBS: 54039.125 SDSS-g VOID 221.0501 36.8460
OBS: 54048.121 SDSS-g VOID 94.7400 16.7060
OBS: 54051.113 SDSS-g VOID 95.1800 26.4270
OBS: 54052.125 SDSS-g VOID 73.1800 17.0620
OBS: 54054.141 SDSS-g VOID 30.2800 21.9170
OBS: 54055.117 SDSS-g VOID 53.3200 14.9620
OBS: 54058.117 SDSS-g VOID 26.9800 14.6940
OBS: 54060.141 SDSS-g VOID 28.8400 14.4570
OBS: 54063.105 SDSS-g VOID 33.2700 15.8040
OBS: 53974.188 SDSS-r VOID -10.1600 20.0460
OBS: 53989.195 SDSS-r VOID 3.1000 23.7580
OBS: 53995.188 SDSS-r VOID 10.5200 20.6060
OBS: 53997.164 SDSS-r VOID 25.8800 23.6040
OBS: 54005.137 SDSS-r VOID 0.0700 19.0660
OBS: 54007.148 SDSS-r VOID -11.0800 21.0590
OBS: 54009.145 SDSS-r VOID -23.8800 22.1600
OBS: 54011.211 SDSS-r VOID 49.6400 30.0010
OBS: 54019.160 SDSS-r VOID 13.1600 22.0500
OBS: 54025.207 SDSS-r VOID 83.5000 25.2730
OBS: 54029.137 SDSS-r VOID 217.3100 20.6250
OBS: 54031.125 SDSS-r VOID 243.5300 20.9540
OBS: 54036.129 SDSS-r VOID 259.8200 28.6210
OBS: 54039.125 SDSS-r VOID 222.2000 43.9670
OBS: 54041.125 SDSS-r VOID 110.0900 83.8210
OBS: 54048.121 SDSS-r VOID 185.0900 24.2300
OBS: 54051.113 SDSS-r VOID 188.7400 29.8910
OBS: 54052.125 SDSS-r VOID 176.3600 25.7670
OBS: 54055.117 SDSS-r VOID 156.7000 24.1830
OBS: 54058.117 SDSS-r VOID 90.5700 23.5980
OBS: 54060.141 SDSS-r VOID 82.3100 26.6280
OBS: 54063.105 SDSS-r VOID 55.8800 25.2870
OBS: 53974.188 SDSS-i VOID -0.3400 31.9880
OBS: 53989.195 SDSS-i VOID 16.0700 31.8780
OBS: 53995.188 SDSS-i VOID 24.3200 31.8780
OBS: 53997.164 SDSS-i VOID -35.2200 34.7210
OBS: 54005.137 SDSS-i VOID -12.9000 30.2500
OBS: 54007.148 SDSS-i VOID 10.4500 32.4300
OBS: 54009.145 SDSS-i VOID 19.6200 31.2430
OBS: 54011.211 SDSS-i VOID -38.4400 35.3560
OBS: 54019.160 SDSS-i VOID -1.3300 32.0710
OBS: 54025.207 SDSS-i VOID 71.0700 39.2470
OBS: 54029.137 SDSS-i VOID 224.7199 30.7740
OBS: 54031.125 SDSS-i VOID 265.7199 30.5530
OBS: 54036.129 SDSS-i VOID 333.8399 39.7720
OBS: 54039.125 SDSS-i VOID 339.4599 51.8880
OBS: 54048.121 SDSS-i VOID 237.8699 36.0730
OBS: 54051.113 SDSS-i VOID 202.9699 52.9370
OBS: 54052.125 SDSS-i VOID 213.4699 41.2070
OBS: 54054.141 SDSS-i VOID 329.2399 74.6030
OBS: 54055.117 SDSS-i VOID 184.2999 35.5210
OBS: 54058.117 SDSS-i VOID 234.7799 35.9630
OBS: 54060.141 SDSS-i VOID 166.3399 38.3640
OBS: 54063.105 SDSS-i VOID 152.7899 39.6890
OBS: 53974.188 SDSS-z VOID -54.6100 103.1690
OBS: 53989.195 SDSS-z VOID -213.9601 91.4390
OBS: 53995.188 SDSS-z VOID 34.3700 103.3900
OBS: 53997.164 SDSS-z VOID -194.0101 130.4381
OBS: 54005.137 SDSS-z VOID -185.5801 94.7230
OBS: 54007.148 SDSS-z VOID -58.7000 109.3241
OBS: 54009.145 SDSS-z VOID -8.1900 95.4960
OBS: 54011.211 SDSS-z VOID -28.9500 99.4430
OBS: 54019.160 SDSS-z VOID -13.3900 101.2090
OBS: 54025.207 SDSS-z VOID 148.1901 119.8941
OBS: 54029.137 SDSS-z VOID 89.4900 100.4090
OBS: 54031.125 SDSS-z VOID 238.8301 97.4000
OBS: 54036.129 SDSS-z VOID 51.2600 131.4591
OBS: 54039.125 SDSS-z VOID 58.5300 135.4331
OBS: 54048.121 SDSS-z VOID -22.0400 124.5861
