SURVEY: SDSS
SNID: 2992
IAUC: UNKNOWN
RA: 55.4969220
DEC: -0.7826940
MWEBV: 0.080 # MW E(B-V)
REDSHIFT_HELIO: 0.12660 +- 0.00100
REDSHIFT_CMB: 0.12613 +- 0.00100
VPEC: -36.251
VPEC_ERR: 250.000
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53641.214
FILTERS: ugriztvywxABCfhjkl

#==============================
NOBS: 109
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53622.480 SDSS-g VOID -8.0700 13.3060
OBS: 53627.438 SDSS-g VOID 111.5800 16.0830
OBS: 53634.430 SDSS-g VOID 718.3403 42.3110
OBS: 53640.434 SDSS-g VOID 829.3703 22.4030
OBS: 53643.477 SDSS-g VOID 759.8704 22.1080
OBS: 53657.316 SDSS-g VOID 277.1701 58.2360
OBS: 53657.480 SDSS-g VOID 241.7701 19.5460
OBS: 53665.500 SDSS-g VOID 109.7300 34.1140
OBS: 53668.488 SDSS-g VOID 57.5600 36.9560
OBS: 53669.395 SDSS-g VOID 96.8000 20.4180
OBS: 53670.492 SDSS-g VOID 106.1000 28.4280
OBS: 53671.477 SDSS-g VOID 78.0400 18.3240
OBS: 53674.379 SDSS-g VOID 83.3700 19.8390
OBS: 53676.469 SDSS-g VOID 68.3400 19.4520
OBS: 53679.438 SDSS-g VOID 72.2100 17.3050
OBS: 53681.430 SDSS-g VOID 69.5800 17.9400
OBS: 53684.391 SDSS-g VOID 34.6100 17.3130
OBS: 53687.332 SDSS-g VOID -115.0901 100.6020
OBS: 53696.395 SDSS-g VOID 64.8400 24.9500
OBS: 53697.387 SDSS-g VOID 36.6300 20.7000
OBS: 53700.387 SDSS-g VOID 58.0700 16.8610
OBS: 53705.371 SDSS-g VOID 73.3200 23.7440
OBS: 53622.480 SDSS-r VOID 12.6400 19.7340
OBS: 53627.438 SDSS-r VOID 123.1200 23.9840
OBS: 53634.430 SDSS-r VOID 776.0599 50.8940
OBS: 53640.434 SDSS-r VOID 1039.2998 28.7320
OBS: 53643.477 SDSS-r VOID 988.8598 29.2840
OBS: 53657.316 SDSS-r VOID 528.8999 103.4720
OBS: 53657.480 SDSS-r VOID 561.5699 28.2350
OBS: 53665.500 SDSS-r VOID 443.4899 34.6930
OBS: 53668.488 SDSS-r VOID 392.6399 44.2150
OBS: 53669.395 SDSS-r VOID 319.8799 28.4000
OBS: 53670.492 SDSS-r VOID 290.3100 41.3450
OBS: 53671.477 SDSS-r VOID 295.9999 27.3070
OBS: 53674.379 SDSS-r VOID 255.7700 34.4170
OBS: 53676.469 SDSS-r VOID 188.5600 46.2300
OBS: 53679.438 SDSS-r VOID 220.3500 26.4520
OBS: 53681.430 SDSS-r VOID 200.1000 26.7860
OBS: 53684.391 SDSS-r VOID 162.6500 26.2010
OBS: 53687.332 SDSS-r VOID 121.0600 80.2330
OBS: 53696.395 SDSS-r VOID 102.9500 27.5720
OBS: 53697.387 SDSS-r VOID 159.6500 31.4640
OBS: 53700.387 SDSS-r VOID 120.8300 24.2600
