SURVEY: SDSS
SNID: 3592
IAUC: UNKNOWN
RA: 19.0523970
DEC: 0.7918330
MWEBV: 0.026 # MW E(B-V)
REDSHIFT_HELIO: 0.08642 +- 0.00100
REDSHIFT_CMB: 0.08537 +- 0.00099
VPEC: -95.300
VPEC_ERR: 250.000
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53645.077
FILTERS: ugriztvywxABCfhjkl

#==============================
NOBS: 102
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53616.367 SDSS-g VOID 13.3300 18.5440
OBS: 53626.344 SDSS-g VOID 43.1100 15.2080
OBS: 53628.328 SDSS-g VOID 91.5900 40.1860
OBS: 53635.336 SDSS-g VOID 1783.1508 34.7760
OBS: 53637.332 SDSS-g VOID 2339.8810 34.7760
OBS: 53639.375 SDSS-g VOID 2820.9512 86.3880
OBS: 53641.375 SDSS-g VOID 3256.8414 47.5820
OBS: 53644.324 SDSS-g VOID 3454.6015 68.6690
OBS: 53654.359 SDSS-g VOID 2238.6910 22.0550
OBS: 53663.320 SDSS-g VOID 947.9004 30.3050
OBS: 53666.391 SDSS-g VOID 735.7603 27.2990
OBS: 53668.309 SDSS-g VOID 618.1703 24.4980
OBS: 53670.313 SDSS-g VOID 515.0702 22.2930
OBS: 53673.281 SDSS-g VOID 415.1402 16.5570
OBS: 53675.277 SDSS-g VOID 401.5902 17.3910
OBS: 53677.301 SDSS-g VOID 349.3902 15.2930
OBS: 53680.285 SDSS-g VOID 320.3701 16.5790
OBS: 53686.285 SDSS-g VOID 228.1001 49.0180
OBS: 53693.285 SDSS-g VOID 195.2901 31.9060
OBS: 53698.285 SDSS-g VOID 218.4101 16.6950
OBS: 53704.270 SDSS-g VOID 154.5001 15.7760
OBS: 53616.367 SDSS-r VOID 34.0400 28.7320
OBS: 53626.344 SDSS-r VOID 49.2800 21.8010
OBS: 53628.328 SDSS-r VOID 177.6800 32.3200
OBS: 53635.336 SDSS-r VOID 1420.2598 39.0540
OBS: 53637.332 SDSS-r VOID 1982.3696 35.6040
OBS: 53639.375 SDSS-r VOID 2472.7996 47.4720
OBS: 53641.375 SDSS-r VOID 2723.8995 35.3830
OBS: 53644.324 SDSS-r VOID 2989.4595 46.0370
OBS: 53654.359 SDSS-r VOID 2518.7795 43.8560
OBS: 53663.320 SDSS-r VOID 1558.7398 42.3940
OBS: 53666.391 SDSS-r VOID 1413.7397 62.4860
OBS: 53668.309 SDSS-r VOID 1370.1397 37.8950
OBS: 53670.313 SDSS-r VOID 1270.4598 32.3470
OBS: 53673.281 SDSS-r VOID 1124.9998 29.3660
OBS: 53675.277 SDSS-r VOID 1019.3898 33.0370
OBS: 53677.301 SDSS-r VOID 905.9898 27.9040
