SURVEY: SNLS3_LC
SNID: 04D1sa
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0252 MW E(B-V)
REDSHIFT_HELIO: 0.585 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53360.274
FILTERS: griz

NOBS: 95
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53316.380 g  NULL    -0.7625 0.5557
OBS: 53350.330 g  NULL    15.0142 0.9627
OBS: 53353.310 g  NULL    16.9868 0.7145
OBS: 53356.270 g  NULL    18.2465 1.1672
OBS: 53376.330 g  NULL    3.5951 1.3184
OBS: 53587.570 g  NULL    -0.6044 0.8188
OBS: 53592.600 g  NULL    1.2104 0.8871
OBS: 53613.580 g  NULL    -0.4536 0.8204
OBS: 53617.540 g  NULL    -0.7458 0.6106
OBS: 53622.520 g  NULL    0.9137 1.2936
OBS: 53624.540 g  NULL    -0.0756 0.9006
OBS: 53642.480 g  NULL    -0.3639 0.9857
OBS: 53648.470 g  NULL    1.0866 0.8753
OBS: 53651.460 g  NULL    -0.7458 0.8101
OBS: 53655.540 g  NULL    0.6375 1.3809
OBS: 53670.360 g  NULL    -0.9851 0.8387
OBS: 53675.450 g  NULL    -0.6669 0.9054
OBS: 53315.450 i  NULL    -8.4143 8.5262
OBS: 53316.380 i  NULL    -1.3445 2.0029
OBS: 53322.340 i  NULL    6.3137 2.2631
OBS: 53328.330 i  NULL    3.9515 2.3722
OBS: 53330.420 i  NULL    -0.2684 1.9675
OBS: 53342.430 i  NULL    15.9648 7.6344
OBS: 53343.320 i  NULL    13.4687 3.2363
OBS: 53350.280 i  NULL    45.7625 2.0697
OBS: 53353.240 i  NULL    53.7028 1.4683
OBS: 53356.220 i  NULL    56.7520 2.3037
OBS: 53358.310 i  NULL    59.6721 2.9369
OBS: 53359.260 i  NULL    108.3800 38.1749
OBS: 53376.260 i  NULL    39.8965 2.1589
OBS: 53379.240 i  NULL    32.8558 2.7541
OBS: 53385.260 i  NULL    22.1938 2.9182
OBS: 53389.250 i  NULL    36.3495 12.1323
OBS: 53390.230 i  NULL    15.8878 24.3288
OBS: 53586.560 i  NULL    -1.7387 1.2650
OBS: 53592.580 i  NULL    1.5847 2.6617
OBS: 53609.520 i  NULL    -1.2206 1.8321
OBS: 53613.520 i  NULL    2.3346 2.6823
OBS: 53617.570 i  NULL    -0.6077 1.7584
OBS: 53622.470 i  NULL    -3.5593 2.5612
OBS: 53624.490 i  NULL    -0.6999 1.7619
OBS: 53639.530 i  NULL    -0.7042 1.4564
OBS: 53642.430 i  NULL    -0.7701 2.4552
OBS: 53647.550 i  NULL    -0.5872 1.9374
OBS: 53648.420 i  NULL    -2.4600 2.2956
OBS: 53651.410 i  NULL    -6.1233 2.4953
OBS: 53655.420 i  NULL    -0.9344 1.7060
OBS: 53666.410 i  NULL    -0.1818 3.1536
OBS: 53667.430 i  NULL    1.0046 2.0359
OBS: 53670.320 i  NULL    1.4801 2.8491
OBS: 53674.390 i  NULL    -0.1478 1.5378
OBS: 53316.410 r  NULL    0.4833 1.1437
OBS: 53322.380 r  NULL    -0.0312 1.5760
OBS: 53328.350 r  NULL    -0.7507 2.1618
OBS: 53343.380 r  NULL    20.9391 2.6493
OBS: 53350.310 r  NULL    45.0608 1.3269
OBS: 53353.280 r  NULL    51.2696 1.3164
OBS: 53356.250 r  NULL    57.7094 1.8694
OBS: 53376.310 r  NULL    28.5156 1.7128
OBS: 53385.300 r  NULL    16.1228 3.0832
OBS: 53586.600 r  NULL    -0.0136 1.0242
OBS: 53592.560 r  NULL    3.5128 1.6230
OBS: 53609.560 r  NULL    0.0431 2.0377
OBS: 53613.550 r  NULL    -1.4773 1.3228
OBS: 53617.520 r  NULL    0.7747 1.2365
OBS: 53622.500 r  NULL    3.0321 1.8163
OBS: 53624.530 r  NULL    0.5801 1.4470
OBS: 53639.570 r  NULL    4.1004 1.8279
OBS: 53642.460 r  NULL    3.4590 1.7209
OBS: 53648.450 r  NULL    -1.2190 1.3446
OBS: 53651.440 r  NULL    2.2668 1.5663
OBS: 53655.530 r  NULL    0.5866 2.3175
OBS: 53666.450 r  NULL    -1.1780 10.1683
OBS: 53667.470 r  NULL    1.7505 1.7641
OBS: 53670.340 r  NULL    2.3956 1.6537
OBS: 53674.480 r  NULL    4.7605 1.8470
OBS: 53675.380 r  NULL    1.8311 1.5011
OBS: 53322.420 z  NULL    -8.5491 4.0249
OBS: 53328.400 z  NULL    -1.5225 3.9458
OBS: 53330.470 z  NULL    5.7470 6.2957
OBS: 53343.410 z  NULL    35.3491 12.1108
OBS: 53344.340 z  NULL    3.4370 7.0952
OBS: 53353.350 z  NULL    39.9606 3.6521
OBS: 53358.380 z  NULL    52.7549 6.0443
OBS: 53386.260 z  NULL    19.6781 6.1956
OBS: 53609.590 z  NULL    -12.3671 5.2226
OBS: 53613.610 z  NULL    -1.3362 4.4540
OBS: 53617.480 z  NULL    -5.0752 4.6299
OBS: 53624.570 z  NULL    0.4985 4.9954
OBS: 53639.600 z  NULL    -16.7751 5.0243
OBS: 53642.510 z  NULL    0.2077 5.1442
OBS: 53648.510 z  NULL    -7.1260 4.6635
OBS: 53655.490 z  NULL    3.4746 5.8200
OBS: 53668.360 z  NULL    -6.9674 4.0824
OBS: 53675.480 z  NULL    0.0522 4.3715
END_PHOTOMETRY:

# =============================================
