SURVEY: SNLS3_LC
SNID: 04D3oe
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0111 MW E(B-V)
REDSHIFT_HELIO: 0.756 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53195.244
FILTERS: griz

NOBS: 115
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53146.490 g  NULL    -0.3162 0.7056
OBS: 53149.330 g  NULL    1.3577 0.5434
OBS: 53165.410 g  NULL    0.7727 0.6214
OBS: 53175.380 g  NULL    1.3150 0.7733
OBS: 53178.370 g  NULL    2.9273 0.7541
OBS: 53195.340 g  NULL    7.0142 0.6895
OBS: 53198.300 g  NULL    4.9320 5.9046
OBS: 53200.260 g  NULL    5.4767 0.6679
OBS: 53390.650 g  NULL    -1.0404 0.7763
OBS: 53411.620 g  NULL    -0.0438 0.6906
OBS: 53446.530 g  NULL    -0.6002 0.6779
OBS: 53462.490 g  NULL    1.8335 1.3821
OBS: 53463.570 g  NULL    2.1426 3.6786
OBS: 53466.610 g  NULL    0.8236 0.7664
OBS: 53469.520 g  NULL    -1.0790 0.7169
OBS: 53473.590 g  NULL    -0.4130 0.9575
OBS: 53495.440 g  NULL    -0.3972 0.8058
OBS: 53500.310 g  NULL    0.4490 0.6065
OBS: 53502.390 g  NULL    0.7549 0.7097
OBS: 53505.390 g  NULL    0.5244 1.2354
OBS: 53518.450 g  NULL    2.3493 1.9930
OBS: 53523.410 g  NULL    1.8234 1.4568
OBS: 53524.300 g  NULL    -0.2026 0.7299
OBS: 53527.350 g  NULL    0.0087 0.6249
OBS: 53531.360 g  NULL    0.8163 0.7274
OBS: 53146.430 i  NULL    -3.0125 2.0385
OBS: 53149.270 i  NULL    1.2742 1.0488
OBS: 53151.380 i  NULL    0.2811 2.6289
OBS: 53165.340 i  NULL    -0.0702 1.1547
OBS: 53169.350 i  NULL    -1.8524 1.7766
OBS: 53175.330 i  NULL    11.2034 1.6093
OBS: 53178.310 i  NULL    17.0492 1.7091
OBS: 53182.280 i  NULL    29.5671 1.0268
OBS: 53193.340 i  NULL    46.6101 1.5037
OBS: 53197.290 i  NULL    46.4090 1.2701
OBS: 53198.260 i  NULL    -2.5460 12.9157
OBS: 53202.300 i  NULL    42.0476 1.4386
OBS: 53226.270 i  NULL    10.2624 1.7072
OBS: 53227.260 i  NULL    12.8333 1.5060
OBS: 53386.610 i  NULL    0.0644 1.2688
OBS: 53390.600 i  NULL    -1.9923 2.1493
OBS: 53409.630 i  NULL    0.8482 1.2694
OBS: 53415.550 i  NULL    0.2862 1.9577
OBS: 53419.600 i  NULL    3.1655 1.5259
OBS: 53440.530 i  NULL    6.2811 2.3381
OBS: 53446.470 i  NULL    -2.4139 1.2310
OBS: 53461.490 i  NULL    5.8680 2.8771
OBS: 53465.540 i  NULL    -3.7603 15.7498
OBS: 53466.550 i  NULL    -0.1161 1.9870
OBS: 53469.460 i  NULL    -0.1454 1.1018
OBS: 53473.480 i  NULL    1.8806 1.9628
OBS: 53494.470 i  NULL    -1.6339 1.5195
OBS: 53498.360 i  NULL    -1.8044 2.2304
OBS: 53502.330 i  NULL    -0.9574 1.1148
OBS: 53505.320 i  NULL    1.5891 1.3779
OBS: 53508.300 i  NULL    -2.9708 1.9271
OBS: 53518.390 i  NULL    -0.5700 1.2360
OBS: 53522.310 i  NULL    2.7478 1.9056
OBS: 53523.310 i  NULL    -0.2082 2.1529
OBS: 53527.290 i  NULL    1.7313 0.9439
OBS: 53531.290 i  NULL    0.4551 1.9171
OBS: 53534.310 i  NULL    -2.1354 1.6028
OBS: 53146.460 r  NULL    0.1711 1.1664
OBS: 53149.310 r  NULL    0.1060 1.1614
OBS: 53151.450 r  NULL    -1.0464 1.5350
OBS: 53165.390 r  NULL    0.9765 0.7537
OBS: 53169.380 r  NULL    1.8525 1.2839
OBS: 53175.360 r  NULL    4.0734 0.9776
OBS: 53178.350 r  NULL    13.7747 0.8877
OBS: 53182.320 r  NULL    23.4854 1.3582
OBS: 53193.380 r  NULL    36.7173 1.5977
OBS: 53197.340 r  NULL    34.5569 1.0776
OBS: 53198.300 r  NULL    30.9920 1.2848
OBS: 53204.350 r  NULL    21.7379 0.9957
OBS: 53228.250 r  NULL    0.9819 1.5527
OBS: 53386.650 r  NULL    -0.1207 1.0624
OBS: 53390.630 r  NULL    1.0609 1.4848
OBS: 53411.600 r  NULL    -1.7821 0.8877
OBS: 53415.580 r  NULL    0.5713 1.4765
OBS: 53419.640 r  NULL    -1.1766 1.9108
OBS: 53440.570 r  NULL    -1.9928 4.6355
OBS: 53446.510 r  NULL    -1.1580 0.8969
OBS: 53461.540 r  NULL    1.2029 2.2310
OBS: 53466.580 r  NULL    -0.6496 1.4310
OBS: 53469.490 r  NULL    -0.6427 1.1546
OBS: 53473.560 r  NULL    0.6791 1.2916
OBS: 53494.510 r  NULL    2.3912 2.1859
OBS: 53495.420 r  NULL    -0.1624 1.3929
OBS: 53498.380 r  NULL    -0.2004 1.2387
OBS: 53502.360 r  NULL    -0.8960 1.0664
OBS: 53505.360 r  NULL    0.8751 1.3660
OBS: 53508.350 r  NULL    -1.6413 1.9330
OBS: 53518.420 r  NULL    -1.0109 1.6671
OBS: 53523.390 r  NULL    0.5637 1.1582
OBS: 53527.330 r  NULL    -0.1297 0.7492
OBS: 53531.380 r  NULL    -0.2573 1.1123
OBS: 53534.350 r  NULL    1.2211 1.1850
OBS: 53151.330 z  NULL    -0.1914 3.8695
OBS: 53169.430 z  NULL    -1.9782 5.4247
OBS: 53177.380 z  NULL    8.1546 3.4145
OBS: 53182.360 z  NULL    26.4553 3.3624
OBS: 53204.300 z  NULL    30.3728 2.9797
OBS: 53415.620 z  NULL    1.4294 4.5760
OBS: 53446.570 z  NULL    1.3745 2.3494
OBS: 53461.590 z  NULL    3.3184 8.5390
OBS: 53462.570 z  NULL    -12.8392 9.6308
OBS: 53469.550 z  NULL    -0.5713 3.7668
OBS: 53475.430 z  NULL    -5.9278 3.6569
OBS: 53495.470 z  NULL    -0.3014 4.2473
OBS: 53502.280 z  NULL    7.9110 3.6387
OBS: 53505.350 z  NULL    1.5489 3.0480
OBS: 53508.420 z  NULL    1.2866 6.6145
OBS: 53519.340 z  NULL    -2.8000 4.0411
OBS: 53527.380 z  NULL    -1.7275 2.9523
OBS: 53534.380 z  NULL    0.8640 4.8723
END_PHOTOMETRY:

# =============================================
