SURVEY: SNLS3_LC
SNID: 05D1ej
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0264 MW E(B-V)
REDSHIFT_HELIO: 0.312 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53664.001
FILTERS: griz

NOBS: 72
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53624.540 g  NULL    0.5676 1.2536
OBS: 53642.470 g  NULL    -1.0262 1.3410
OBS: 53648.470 g  NULL    7.5416 1.1976
OBS: 53651.450 g  NULL    25.3469 1.0060
OBS: 53655.540 g  NULL    41.9169 1.6583
OBS: 53670.360 g  NULL    44.9403 0.9018
OBS: 53675.450 g  NULL    26.9724 1.1271
OBS: 53678.390 g  NULL    21.3112 0.9451
OBS: 53699.320 g  NULL    3.2696 1.0884
OBS: 53702.380 g  NULL    3.4758 0.8033
OBS: 53705.350 g  NULL    2.3229 0.7429
OBS: 53726.340 g  NULL    3.2550 1.2243
OBS: 53730.370 g  NULL    -1.2891 2.8365
OBS: 53731.310 g  NULL    0.9131 1.4851
OBS: 53734.280 g  NULL    0.9891 0.8145
OBS: 53739.290 g  NULL    2.0929 1.5150
OBS: 53767.220 g  NULL    2.9560 1.5438
OBS: 53639.520 i  NULL    3.7972 2.2491
OBS: 53642.430 i  NULL    3.7351 3.0720
OBS: 53647.540 i  NULL    18.4439 3.1012
OBS: 53648.420 i  NULL    27.8372 2.4395
OBS: 53651.410 i  NULL    50.2699 2.9436
OBS: 53655.410 i  NULL    83.6637 2.2034
OBS: 53666.400 i  NULL    127.0484 3.7610
OBS: 53667.430 i  NULL    138.9174 2.4216
OBS: 53670.310 i  NULL    132.9517 3.5051
OBS: 53674.390 i  NULL    117.2399 2.0951
OBS: 53678.340 i  NULL    93.7949 3.6798
OBS: 53682.290 i  NULL    68.7071 8.9448
OBS: 53699.280 i  NULL    40.9621 1.8244
OBS: 53702.280 i  NULL    34.4645 3.4106
OBS: 53705.290 i  NULL    34.7542 1.8778
OBS: 53711.280 i  NULL    19.8210 3.0857
OBS: 53726.280 i  NULL    21.1120 1.4028
OBS: 53730.320 i  NULL    14.0370 3.3623
OBS: 53734.240 i  NULL    17.3124 1.3327
OBS: 53739.260 i  NULL    10.3473 2.0158
OBS: 53766.250 i  NULL    12.1049 2.8334
OBS: 53769.220 i  NULL    11.0383 2.7671
OBS: 53639.560 r  NULL    -2.7622 2.5004
OBS: 53642.450 r  NULL    4.8958 2.4823
OBS: 53648.450 r  NULL    21.2716 1.8742
OBS: 53651.430 r  NULL    44.3567 2.2107
OBS: 53655.520 r  NULL    67.5432 3.0265
OBS: 53666.460 r  NULL    109.8558 8.3735
OBS: 53667.470 r  NULL    104.4440 2.1900
OBS: 53670.340 r  NULL    95.5576 2.3034
OBS: 53674.460 r  NULL    73.7410 2.4919
OBS: 53675.360 r  NULL    75.6318 2.3704
OBS: 53678.370 r  NULL    53.1309 2.2235
OBS: 53698.460 r  NULL    14.8315 2.0966
OBS: 53702.320 r  NULL    8.6511 2.1296
OBS: 53705.330 r  NULL    9.2742 1.2248
OBS: 53711.350 r  NULL    12.1382 3.6430
OBS: 53726.320 r  NULL    7.3292 1.6702
OBS: 53730.340 r  NULL    11.7367 2.6738
OBS: 53734.300 r  NULL    5.6353 1.6951
OBS: 53739.310 r  NULL    11.0731 2.2286
OBS: 53766.290 r  NULL    3.6818 3.3583
OBS: 53769.260 r  NULL    5.6100 1.7076
OBS: 53624.570 z  NULL    -1.2103 6.8903
OBS: 53639.600 z  NULL    -6.5199 7.4294
OBS: 53642.510 z  NULL    2.7269 7.6763
OBS: 53648.500 z  NULL    18.8664 6.6003
OBS: 53655.490 z  NULL    91.4685 7.5414
OBS: 53668.360 z  NULL    128.1982 7.1175
OBS: 53675.480 z  NULL    103.9077 5.9529
OBS: 53699.350 z  NULL    48.6166 4.2901
OBS: 53705.380 z  NULL    28.1988 3.9194
OBS: 53726.380 z  NULL    12.2936 6.4877
OBS: 53734.340 z  NULL    11.3825 7.8171
OBS: 53739.350 z  NULL    9.8757 5.7381
END_PHOTOMETRY:

# =============================================
