SURVEY: SDSS
SNID: 13511.0
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SDSS
MWEBV: 0.0339 MW E(B-V)
REDSHIFT_HELIO: 0.23737 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 54002.491
FILTERS: tvywxABCfhjklugriz

NOBS: 124
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53975.414 g  NULL    0.9500 14.0700
OBS: 53994.438 g  NULL    171.8801 18.2240
OBS: 53996.422 g  NULL    224.3401 15.3540
OBS: 54005.438 g  NULL    226.2101 14.1420
OBS: 54008.383 g  NULL    210.2801 14.7490
OBS: 54009.449 g  NULL    189.4201 13.8800
OBS: 54010.379 g  NULL    175.7401 12.9860
OBS: 54012.371 g  NULL    122.1401 26.0650
OBS: 54020.410 g  NULL    65.6500 27.9040
OBS: 54024.457 g  NULL    56.8500 21.1530
OBS: 54028.445 g  NULL    22.0000 15.2660
OBS: 54030.402 g  NULL    18.2200 13.5350
OBS: 54035.445 g  NULL    18.9100 18.2080
OBS: 54037.352 g  NULL    22.1000 12.9660
OBS: 54040.367 g  NULL    19.0600 17.5700
OBS: 54041.402 g  NULL    40.3900 30.0010
OBS: 54047.395 g  NULL    29.7300 85.1740
OBS: 54049.391 g  NULL    15.5200 36.0180
OBS: 54053.371 g  NULL    40.9200 17.2220
OBS: 54056.359 g  NULL    -5.1900 15.2960
OBS: 54059.352 g  NULL    8.7800 18.3350
OBS: 54061.363 g  NULL    15.1100 23.2450
OBS: 54062.355 g  NULL    8.7000 14.0130
OBS: 54064.352 g  NULL    6.9300 15.2210
OBS: 53975.414 r  NULL    2.5900 23.3140
OBS: 53994.438 r  NULL    179.3400 21.2460
OBS: 53996.422 r  NULL    236.6400 21.2050
OBS: 54005.438 r  NULL    301.8000 20.6720
OBS: 54008.383 r  NULL    300.9599 25.4780
OBS: 54009.449 r  NULL    224.2700 20.4460
OBS: 54010.379 r  NULL    236.2000 18.7070
OBS: 54012.371 r  NULL    242.6300 27.1670
OBS: 54020.410 r  NULL    131.4700 30.3050
OBS: 54024.457 r  NULL    57.2900 27.6280
OBS: 54028.445 r  NULL    73.5300 26.3300
OBS: 54030.402 r  NULL    87.5100 21.4700
OBS: 54035.445 r  NULL    58.6200 30.4430
OBS: 54037.352 r  NULL    53.4000 19.5020
OBS: 54040.367 r  NULL    -22.7400 24.9120
OBS: 54041.402 r  NULL    -0.2000 32.9270
OBS: 54047.395 r  NULL    99.1200 81.1990
OBS: 54049.391 r  NULL    8.7600 32.8720
OBS: 54053.371 r  NULL    63.5800 24.8120
OBS: 54056.359 r  NULL    9.4900 25.1240
OBS: 54059.352 r  NULL    16.1400 26.9400
OBS: 54061.363 r  NULL    13.3400 37.9220
OBS: 54062.355 r  NULL    37.9800 20.9930
OBS: 54064.352 r  NULL    38.2700 23.0430
OBS: 54068.336 r  NULL    30.2400 43.8560
OBS: 53975.414 i  NULL    14.7000 33.7000
OBS: 53994.438 i  NULL    183.0899 31.4920
OBS: 53996.422 i  NULL    238.5299 30.8840
OBS: 54005.438 i  NULL    291.8499 29.5870
OBS: 54008.383 i  NULL    280.9499 34.3620
OBS: 54009.449 i  NULL    262.0399 29.5320
OBS: 54010.379 i  NULL    216.0799 27.3520
OBS: 54012.371 i  NULL    171.7499 34.0580
OBS: 54020.410 i  NULL    239.1999 38.1430
OBS: 54024.457 i  NULL    164.3199 35.8250
OBS: 54028.445 i  NULL    99.2600 35.7140
OBS: 54030.402 i  NULL    60.5800 32.0440
OBS: 54035.445 i  NULL    20.1500 39.3300
OBS: 54037.352 i  NULL    89.0500 27.9590
OBS: 54040.367 i  NULL    87.7400 33.2030
OBS: 54041.402 i  NULL    59.3600 38.8060
OBS: 54047.395 i  NULL    262.2799 76.6730
OBS: 54049.391 i  NULL    -22.6700 39.6610
OBS: 54053.371 i  NULL    75.8200 37.2880
OBS: 54056.359 i  NULL    5.0200 34.0030
OBS: 54059.352 i  NULL    52.5000 36.9290
OBS: 54061.363 i  NULL    -32.5800 50.0110
OBS: 54062.355 i  NULL    49.9600 31.6570
OBS: 54064.352 i  NULL    8.2200 32.5960
OBS: 54068.336 i  NULL    121.2100 60.1680
OBS: 53975.414 z  NULL    12.2700 103.0860
OBS: 53994.438 z  NULL    327.9502 99.6910
OBS: 53996.422 z  NULL    242.7301 95.6060
OBS: 54005.438 z  NULL    271.4001 92.8460
OBS: 54008.383 z  NULL    274.5501 107.7501
OBS: 54009.449 z  NULL    200.3301 91.7980
OBS: 54010.379 z  NULL    139.8201 75.8170
OBS: 54012.371 z  NULL    312.0401 104.5490
OBS: 54020.410 z  NULL    -96.2700 118.9011
OBS: 54024.457 z  NULL    165.2601 123.4551
OBS: 54028.445 z  NULL    79.9100 124.7801
OBS: 54030.402 z  NULL    -3.8300 104.5490
OBS: 54035.445 z  NULL    116.0401 144.7071
OBS: 54037.352 z  NULL    54.0100 80.8680
OBS: 54040.367 z  NULL    104.9800 107.8610
OBS: 54041.402 z  NULL    169.1701 113.7951
OBS: 54047.395 z  NULL    193.0701 196.1261
OBS: 54049.391 z  NULL    -105.3400 143.8511
OBS: 54053.371 z  NULL    147.0301 132.8391
OBS: 54056.359 z  NULL    164.6501 128.7821
OBS: 54059.352 z  NULL    368.3402 162.8401
OBS: 54061.363 z  NULL    -57.8200 181.4981
OBS: 54062.355 z  NULL    423.5602 122.3781
OBS: 54064.352 z  NULL    -16.4000 112.8561
OBS: 54068.336 z  NULL    51.2600 231.4811
OBS: 53975.414 u  NULL    60.1700 81.0610
OBS: 53994.438 u  NULL    110.6700 46.0920
OBS: 53996.422 u  NULL    87.1800 44.1880
OBS: 54005.438 u  NULL    22.8400 66.1300
OBS: 54008.383 u  NULL    29.4300 51.1700
OBS: 54009.449 u  NULL    37.0700 44.9600
OBS: 54010.379 u  NULL    55.2700 39.3020
OBS: 54012.371 u  NULL    8.4700 65.5500
OBS: 54020.410 u  NULL    -85.6400 76.6450
OBS: 54024.457 u  NULL    96.1800 65.9920
OBS: 54028.445 u  NULL    -45.9900 55.9180
OBS: 54030.402 u  NULL    37.3700 46.2580
OBS: 54035.445 u  NULL    14.0900 67.6750
OBS: 54037.352 u  NULL    -45.0600 38.2810
OBS: 54040.367 u  NULL    -74.6300 45.7060
OBS: 54041.402 u  NULL    37.7200 76.1210
OBS: 54047.395 u  NULL    -278.4599 263.4139
OBS: 54049.391 u  NULL    -78.0000 103.3620
OBS: 54053.371 u  NULL    -21.4800 52.1640
OBS: 54056.359 u  NULL    -108.5400 54.7030
OBS: 54059.352 u  NULL    27.5500 58.6220
OBS: 54061.363 u  NULL    -23.6600 129.9960
OBS: 54062.355 u  NULL    25.8100 51.5570
OBS: 54064.352 u  NULL    -8.4300 53.2680
OBS: 54068.336 u  NULL    -5.5900 91.5770
END_PHOTOMETRY:

# =============================================
