SURVEY: CFA4p1
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID:  2009do
IAUC:  2009do
IAUC:    UNKNOWN
RA:   188.74298  deg
DECL:    50.851058  deg
MWEBV: 0.014900000 MW E(B-V) (SFD98)
REDSHIFT_HELIO:  0.2267 +- 0.000500000  (Hel)
REDSHIFT_CMB:  0.227307510509 +- 0.000500000  (CMB)
REDSHIFT_FINAL: 0.227307510509 +- 0.000500000  (CMB)
HOSTGAL_LOGMASS: 11.2610 +- 0.02
PRIVATE(COSMO): 1
FILTERS: BVri
SEARCH_PEAKMJD: 54948.3
NOBS: 67
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54946.4     B      md      13601.9    289.721    17.1660    0.0213000
OBS:      54948.3     B      md      13085.8    509.037    17.2080    0.0389000
OBS:      54950.4     B      md      11397.3    210.849    17.3580    0.0185000
OBS:      54951.2     B      md      10924.5    225.044    17.4040    0.0206000
OBS:      54954.2     B      md      9103.33    182.977    17.6020    0.0201000
OBS:      54955.2     B      md      8120.82    156.732    17.7260    0.0193000
OBS:      54964.2     B      md      2809.31    54.5007    18.8785    0.0194000
OBS:      54967.2     B      md      1838.23    34.5587    19.3390    0.0188000
OBS:      54968.3     B      md      1817.19    33.4363    19.3515    0.0184000
OBS:      54969.2     B      md      1432.85    27.9405    19.6095    0.0195000
OBS:      54970.3     B      md      1568.92    27.4561    19.5110    0.0175000
OBS:      54975.3     B      md      942.758    46.5723    20.0640    0.0494000
OBS:      54977.2     B      md      828.705    15.9111    20.2040    0.0192000
OBS:      54983.2     B      md      759.976    14.3636    20.2980    0.0189000
OBS:      54994.3     B      md      457.509    9.74494    20.8490    0.0213000
OBS:      54946.4     V      md      13508.3    262.061    17.1735    0.0194000
OBS:      54948.3     V      md      13614.4    276.373    17.1650    0.0203000
OBS:      54950.4     V      md      13316.8    246.361    17.1890    0.0185000
OBS:      54951.2     V      md      12930.0    456.431    17.2210    0.0353000
OBS:      54954.2     V      md      11523.9    233.935    17.3460    0.0203000
OBS:      54955.2     V      md      11534.5    236.458    17.3450    0.0205000
OBS:      54956.1     V      md      9204.50    180.408    17.5900    0.0196000
OBS:      54958.2     V      md      8340.65    166.813    17.6970    0.0200000
OBS:      54959.2     V      md      8433.35    172.884    17.6850    0.0205000
OBS:      54964.2     V      md      6321.21    123.264    17.9980    0.0195000
OBS:      54967.2     V      md      5543.71    230.064    18.1405    0.0415000
OBS:      54968.2     V      md      4405.55    90.3138    18.3900    0.0205000
OBS:      54969.2     V      md      4587.75    146.808    18.3460    0.0320000
OBS:      54970.2     V      md      4176.38    83.5276    18.4480    0.0200000
OBS:      54975.3     V      md      3400.95    83.3233    18.6710    0.0245000
OBS:      54977.2     V      md      2769.49    135.428    18.8940    0.0489000
OBS:      54983.2     V      md      2545.66    44.8036    18.9855    0.0176000
OBS:      54994.2     V      md      1511.47    36.7288    19.5515    0.0243000
OBS:      54946.4     r      md      13219.0    315.935    17.1970    0.0239000
OBS:      54948.3     r      md      13109.9    389.365    17.2060    0.0297000
OBS:      54950.3     r      md      12811.5    401.000    17.2310    0.0313000
OBS:      54951.2     r      md      12717.5    337.013    17.2390    0.0265000
OBS:      54954.2     r      md      10934.5    337.877    17.4030    0.0309000
OBS:      54955.1     r      md      10597.4    1092.59    17.4370    0.103100
OBS:      54956.1     r      md      9358.36    348.131    17.5720    0.0372000
OBS:      54958.2     r      md      8912.51    1114.96    17.6250    0.125100
OBS:      54959.2     r      md      8613.90    874.311    17.6620    0.101500
OBS:      54964.2     r      md      7158.13    461.700    17.8630    0.0645000
OBS:      54967.2     r      md      6356.23    764.019    17.9920    0.120200
OBS:      54968.2     r      md      6070.16    681.679    18.0420    0.112300
OBS:      54969.2     r      md      5997.91    704.155    18.0550    0.117400
OBS:      54970.2     r      md      5717.42    789.576    18.1070    0.138100
OBS:      54975.3     r      md      4591.98    1014.37    18.3450    0.220900
OBS:      54977.2     r      md      3865.45    154.618    18.5320    0.0400000
OBS:      54983.2     r      md      3212.18    74.2014    18.7330    0.0231000
OBS:      54994.2     r      md      2079.70    147.658    19.2050    0.0710000
OBS:      54946.3     i      md      7755.33    187.679    17.7760    0.0242000
OBS:      54948.3     i      md      7748.19    377.337    17.7770    0.0487000
OBS:      54950.3     i      md      7447.32    395.453    17.8200    0.0531000
OBS:      54951.2     i      md      7379.04    495.134    17.8300    0.0671000
OBS:      54954.2     i      md      6397.34    1033.81    17.9850    0.161600
OBS:      54955.1     i      md      5714.79    732.636    18.1075    0.128200
OBS:      54956.1     i      md      5090.97    1036.52    18.2330    0.203600
OBS:      54964.2     i      md      4587.75    1190.98    18.3460    0.259600
OBS:      54967.2     i      md      5009.57    1196.79    18.2505    0.238900
OBS:      54968.2     i      md      5759.70    1412.28    18.0990    0.245200
OBS:      54969.2     i      md      5142.80    1441.53    18.2220    0.280300
OBS:      54970.2     i      md      5226.37    2114.59    18.2045    0.404600
OBS:      54975.2     i      md      4918.13    180.495    18.2705    0.0367000
OBS:      54977.2     i      md      4180.23    104.088    18.4470    0.0249000
OBS:      54983.2     i      md      2981.26    103.450    18.8140    0.0347000
OBS:      54994.2     i      md      1709.23    43.0726    19.4180    0.0252000
END: 
