SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15kx
RA: 334.0491267
DECL: 37.4738061
MWEBV: 0.1411 +- 0.0071
FILTERS: griz
REDSHIFT_HELIO: 0.0180190 +- 0.0000830
REDSHIFT_FINAL: 0.0169821 +- 0.0000830
SEARCH_PEAKMJD: 57193.59294
HOSTGAL_LOGMASS: 10.187 +- 0.028
VPEC: 48.032
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 28
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57186.57219      g    NULL    28580.033        491.452    16.360     0.019  2.18
OBS:  57188.56972      g    NULL    34843.199        554.925    16.145     0.017  3.08
OBS:  57193.59253      g    NULL    35326.485        543.463    16.130     0.017  1.68
OBS:  57198.59658      g    NULL    30951.233        484.227    16.273     0.017  2.21
OBS:  57203.58568      g    NULL    19507.543        337.584    16.774     0.019  2.17
OBS:  57212.49680      g    NULL     8371.962        202.278    17.693     0.026  1.86
OBS:  57227.57388      g    NULL     3174.506        146.435    18.746     0.050  2.33
OBS:  57186.57261      r    NULL    30205.091        491.826    16.300     0.018  2.33
OBS:  57188.57013      r    NULL    34682.446        539.283    16.150     0.017  2.56
OBS:  57193.59294      r    NULL    37112.189        555.165    16.076     0.016  1.51
OBS:  57198.59698      r    NULL    31002.990        480.149    16.271     0.017  2.25
OBS:  57203.58608      r    NULL    19731.658        328.183    16.762     0.018  1.90
OBS:  57212.49720      r    NULL    17748.183        307.521    16.877     0.019  2.03
OBS:  57227.57428      r    NULL     6733.824        174.099    17.929     0.028  2.31
OBS:  57186.57299      i    NULL    26058.125        469.073    16.460     0.020  2.63
OBS:  57188.57051      i    NULL    28089.425        461.019    16.379     0.018  2.30
OBS:  57193.59332      i    NULL    22505.525        358.868    16.619     0.017  1.29
OBS:  57198.59734      i    NULL    16717.449        295.744    16.942     0.019  2.05
OBS:  57203.58644      i    NULL    12067.470        234.501    17.296     0.021  1.59
OBS:  57212.49764      i    NULL    15807.283        290.387    17.003     0.020  1.61
OBS:  57227.57459      i    NULL     6637.442        180.580    17.945     0.029  1.85
OBS:  57186.57337      z    NULL    22089.347        477.449    16.640     0.023  2.16
OBS:  57188.57089      z    NULL    25436.281        462.832    16.486     0.020  1.94
OBS:  57193.59372      z    NULL    23619.371        400.699    16.567     0.018  1.41
OBS:  57198.59772      z    NULL    18491.725        348.434    16.833     0.020  1.78
OBS:  57203.58682      z    NULL    16888.128        323.865    16.931     0.021  1.52
OBS:  57212.49792      z    NULL    19077.454        364.254    16.799     0.021  1.46
OBS:  57227.57495      z    NULL     6024.655        236.727    18.050     0.042  2.02
END:
