SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15mg
RA: 233.0940558
DECL: 41.8503804
MWEBV: 0.0279 +- 0.0014
FILTERS: griz
REDSHIFT_HELIO: 0.0427777 +- 0.0000118
REDSHIFT_FINAL: 0.0430626 +- 0.0000118
SEARCH_PEAKMJD: 57221.27273
HOSTGAL_LOGMASS: 10.134 +- 0.029
VPEC: 442.185
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 33
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57215.27501      g    NULL     9615.449        202.204    17.543     0.023  2.39
OBS:  57221.27233      g    NULL     9623.916        234.360    17.542     0.026  3.21
OBS:  57227.27655      g    NULL     6916.386        189.081    17.900     0.030  1.86
OBS:  57233.27105      g    NULL     3707.125        176.033    18.577     0.051  2.08
OBS:  57242.27707      g    NULL     1590.206         97.227    19.496     0.066  2.08
OBS:  57250.32797      g    NULL     3476.889       4930.889    18.647     1.532  2.55
OBS:  57251.25401      g    NULL      874.484         96.563    20.146     0.119  2.14
OBS:  57215.27540      r    NULL     9042.652        180.344    17.609     0.022  1.94
OBS:  57221.27273      r    NULL     9618.672        221.573    17.542     0.025  3.19
OBS:  57227.27695      r    NULL     6975.065        161.320    17.891     0.025  1.51
OBS:  57233.27148      r    NULL     4848.942        158.092    18.286     0.035  1.88
OBS:  57242.27758      r    NULL     4400.011        131.487    18.391     0.032  2.22
OBS:  57250.32839      r    NULL     6086.455       3075.167    18.039     0.546  2.14
OBS:  57251.25441      r    NULL     2019.856        106.183    19.237     0.057  2.04
OBS:  57208.35335      r    NULL     3533.333        104.795    18.630     0.032  3.33
OBS:  57208.36461      r    NULL     3540.343        131.211    18.627     0.040  4.76
OBS:  57208.38728      r    NULL     3743.010        126.133    18.567     0.036  4.04
OBS:  57215.27563      i    NULL     6766.867        150.923    17.924     0.024  1.50
OBS:  57221.27302      i    NULL     5949.897        185.557    18.064     0.034  2.93
OBS:  57227.27726      i    NULL     3770.712        122.694    18.559     0.035  1.45
OBS:  57233.27180      i    NULL     2710.522        113.806    18.917     0.045  1.60
OBS:  57242.27793      i    NULL     3739.602        128.817    18.568     0.037  2.01
OBS:  57251.25477      i    NULL     2151.932        108.779    19.168     0.055  1.62
OBS:  57215.27608      z    NULL     6385.139        197.458    17.987     0.033  1.57
OBS:  57221.27338      z    NULL     5331.601        238.528    18.183     0.048  2.51
OBS:  57227.27762      z    NULL     3768.785        162.153    18.559     0.046  1.26
OBS:  57233.27221      z    NULL     3196.507        159.286    18.738     0.054  1.51
OBS:  57242.27823      z    NULL     3194.739        166.010    18.739     0.056  1.98
OBS:  57251.25512      z    NULL     2313.664        151.496    19.089     0.071  1.46
OBS:  57888.49427      z    NULL     -160.478        257.429       nan     1.732  2.85
OBS:  57895.41873      z    NULL      233.436        278.764    21.580     1.290  2.59
OBS:  57902.45602      z    NULL     -149.094        176.083       nan     1.276  1.86
OBS:  57917.45389      z    NULL     -370.397        206.409       nan     0.602  2.33
END:
