SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS16ayd
RA: 216.8264022
DECL: -1.6753057
MWEBV: 0.0417 +- 0.0021
FILTERS: griz
REDSHIFT_HELIO: 0.0539971 +- 0.0000109
REDSHIFT_FINAL: 0.0548095 +- 0.0000109
SEARCH_PEAKMJD: 57458.56009
HOSTGAL_LOGMASS: 10.668 +- 0.024
VPEC: -27.899
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 37
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57458.56009      g    NULL    10118.556        214.509    17.487     0.023  2.53
OBS:  57464.55961      g    NULL     9816.768        204.328    17.520     0.023  2.42
OBS:  57477.45327      g    NULL     4687.888        132.441    18.323     0.031  1.69
OBS:  57482.46865      g    NULL     2845.983        127.204    18.864     0.048  2.70
OBS:  57489.49125      g    NULL     1894.821         90.585    19.306     0.052  1.91
OBS:  57504.44208      g    NULL      773.509        119.044    20.279     0.166  1.73
OBS:  57458.56049      r    NULL     8835.971        181.293    17.634     0.022  2.17
OBS:  57464.56000      r    NULL     9328.709        181.124    17.575     0.021  2.07
OBS:  57477.45367      r    NULL     5179.285        124.804    18.214     0.026  1.53
OBS:  57482.46905      r    NULL     4549.575        120.959    18.355     0.029  2.53
OBS:  57489.49164      r    NULL     3778.494        101.483    18.557     0.029  1.69
OBS:  57504.44246      r    NULL     1955.618         96.193    19.272     0.053  1.50
OBS:  57464.51390      r    NULL     8820.070        139.621    17.636     0.017  1.86
OBS:  57464.52625      r    NULL     8974.055        141.798    17.618     0.017  1.96
OBS:  57464.53861      r    NULL     8691.061        136.364    17.652     0.017  1.85
OBS:  57464.55100      r    NULL     8854.864        140.336    17.632     0.017  1.86
OBS:  57478.45668      r    NULL     4833.463         87.340    18.289     0.020  1.93
OBS:  57478.46898      r    NULL     4848.932         80.913    18.286     0.018  1.49
OBS:  57478.48129      r    NULL     4737.091         84.728    18.311     0.019  1.63
OBS:  57478.49361      r    NULL     4884.495         87.823    18.278     0.019  1.82
OBS:  57458.56084      i    NULL     5284.100        136.916    18.193     0.028  1.87
OBS:  57464.56035      i    NULL     4753.638        129.688    18.307     0.030  2.03
OBS:  57477.45402      i    NULL     2469.285         97.850    19.019     0.043  1.39
OBS:  57482.46941      i    NULL     2444.375        116.745    19.030     0.052  2.31
OBS:  57489.49200      i    NULL     3224.038        100.567    18.729     0.034  1.58
OBS:  57504.44282      i    NULL     1465.407        106.592    19.585     0.079  1.58
OBS:  57441.52346      i    NULL       56.230         75.474    23.125     1.450  1.67
OBS:  57441.55173      i    NULL      -21.990         79.942       nan     3.926  1.72
OBS:  57441.57785      i    NULL      -55.759        121.586       nan     2.355  2.97
OBS:  57441.61895      i    NULL      -44.194         60.545       nan     1.480  1.54
OBS:  57464.56072      z    NULL     3912.932        169.622    18.519     0.047  2.10
OBS:  57477.45438      z    NULL     2221.690        135.309    19.133     0.066  1.41
OBS:  57482.46977      z    NULL     2321.668        151.832    19.085     0.071  1.88
OBS:  57489.49237      z    NULL     2591.863        121.018    18.966     0.050  1.43
OBS:  57504.44319      z    NULL     1516.858        160.459    19.548     0.114  1.56
OBS:  57463.62960      z    NULL     4183.989        121.639    18.446     0.031  2.00
OBS:  57463.63795      z    NULL     4305.279        133.009    18.415     0.033  2.34
END:
