SURVEY: FOUNDATION
SNTYPE: 1
SNID: PSNJ1204051
RA: 181.0212983
DECL: 14.0681129
MWEBV: 0.0270 +- 0.0014
FILTERS: griz
REDSHIFT_HELIO: 0.0438507 +- 0.0000136
REDSHIFT_FINAL: 0.0449743 +- 0.0000136
SEARCH_PEAKMJD: 57167.45706
HOSTGAL_LOGMASS: 10.600 +- 0.002
VPEC: 119.560
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 32
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57167.45706      g    NULL    11654.424        238.335    17.334     0.022  2.28
OBS:  57176.27386      g    NULL    10181.970        221.567    17.480     0.024  1.48
OBS:  57180.26528      g    NULL     8881.364        200.052    17.629     0.024  2.28
OBS:  57189.28536      g    NULL     4662.664        139.626    18.328     0.032  2.21
OBS:  57200.26822      g    NULL     2321.223        134.771    19.086     0.063  1.79
OBS:  57207.26917      g    NULL     1309.418        114.696    19.707     0.095  2.10
OBS:  57167.45750      r    NULL    11075.186        213.218    17.389     0.021  1.83
OBS:  57176.27426      r    NULL    11239.414        210.152    17.373     0.020  1.27
OBS:  57180.26568      r    NULL     9092.938        186.547    17.603     0.022  2.00
OBS:  57189.28578      r    NULL     6875.643        146.739    17.907     0.023  1.86
OBS:  57200.26862      r    NULL     5493.129        138.354    18.150     0.027  1.77
OBS:  57207.26953      r    NULL     3435.837        106.693    18.660     0.034  1.73
OBS:  57167.45786      i    NULL     6297.799        166.777    18.002     0.029  1.76
OBS:  57176.27463      i    NULL     5893.994        149.197    18.074     0.027  1.35
OBS:  57180.26606      i    NULL     4831.286        129.562    18.290     0.029  1.84
OBS:  57189.28615      i    NULL     3540.288        111.925    18.627     0.034  1.51
OBS:  57200.26897      i    NULL     4150.460        128.177    18.455     0.033  1.52
OBS:  57207.26999      i    NULL     3166.655        111.670    18.748     0.038  1.75
OBS:  57147.25411      i    NULL       76.452         77.133    22.792     1.090  2.39
OBS:  57147.26532      i    NULL      -13.884         58.001       nan     4.512  1.73
OBS:  57147.27650      i    NULL       52.930         63.338    23.191     1.292  1.92
OBS:  57147.28772      i    NULL       90.302        113.978    22.611     1.363  2.65
OBS:  57148.25248      i    NULL      -69.849         41.192       nan     0.637  1.84
OBS:  57148.26367      i    NULL      101.634         62.542    22.482     0.665  2.21
OBS:  57148.28607      i    NULL      -16.427         57.023       nan     3.749  2.32
OBS:  57148.27487      i    NULL     -118.556         47.284       nan     0.431  1.86
OBS:  57167.45822      z    NULL     6292.037        225.773    18.003     0.039  1.72
OBS:  57176.27501      z    NULL     4778.019        164.696    18.302     0.037  1.22
OBS:  57180.26644      z    NULL     4004.028        173.363    18.494     0.047  1.97
OBS:  57189.28651      z    NULL     3450.313        157.146    18.655     0.049  1.55
OBS:  57200.26933      z    NULL     3706.188        151.163    18.578     0.044  1.44
OBS:  57207.27039      z    NULL     2962.907        150.852    18.821     0.055  1.72
END:
