SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-16db
RA: 167.3572274
DECL: 29.5732007
MWEBV: 0.0226 +- 0.0011
FILTERS: griz
REDSHIFT_HELIO: 0.0348637 +- 0.0000073
REDSHIFT_FINAL: 0.0358570 +- 0.0000073
SEARCH_PEAKMJD: 57462.33564
HOSTGAL_LOGMASS: 11.161 +- 0.013
VPEC: -30.669
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 41
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57462.33524      g    NULL    14326.709        271.515    17.110     0.021  2.19
OBS:  57472.46225      g    NULL    11710.169        260.770    17.329     0.024  1.95
OBS:  57483.34645      g    NULL     4824.626        133.479    18.291     0.030  2.00
OBS:  57489.29883      g    NULL     3088.143        107.456    18.776     0.038  1.98
OBS:  57499.40023      g    NULL     1345.015        147.308    19.678     0.118  1.40
OBS:  57509.24987      g    NULL     1012.055         63.290    19.987     0.068  1.79
OBS:  57462.33564      r    NULL    14633.768        256.288    17.087     0.019  1.98
OBS:  57472.46264      r    NULL    13335.025        249.615    17.188     0.020  1.95
OBS:  57477.28635      r    NULL     9666.129        188.276    17.537     0.021  2.49
OBS:  57483.34684      r    NULL     8286.817        161.553    17.704     0.021  1.74
OBS:  57489.30088      r    NULL     6714.113        134.066    17.933     0.022  1.79
OBS:  57499.40062      r    NULL     3670.010        130.829    18.588     0.039  1.35
OBS:  57509.25025      r    NULL     2463.689        105.395    19.021     0.046  2.09
OBS:  57491.24635      r    NULL     5805.130        122.245    18.090     0.023  4.47
OBS:  57491.27687      r    NULL     5460.577        125.266    18.157     0.025  4.92
OBS:  57491.28884      r    NULL     5528.289        115.079    18.144     0.023  4.06
OBS:  57491.30081      r    NULL     5668.341        119.308    18.116     0.023  4.76
OBS:  57462.33600      i    NULL    10211.413        202.195    17.477     0.021  1.87
OBS:  57472.46300      i    NULL     7275.127        201.264    17.845     0.030  2.90
OBS:  57477.28671      i    NULL     4896.714        135.819    18.275     0.030  2.20
OBS:  57483.34721      i    NULL     5124.621        120.360    18.226     0.025  1.44
OBS:  57489.30124      i    NULL     6025.241        139.621    18.050     0.025  1.75
OBS:  57499.40098      i    NULL     3492.315        121.131    18.642     0.037  1.36
OBS:  57509.25062      i    NULL     2445.064         90.463    19.029     0.040  1.61
OBS:  57502.37665      i    NULL     3487.685        103.102    18.644     0.032  2.77
OBS:  57502.38931      i    NULL     3495.859        106.690    18.641     0.033  2.76
OBS:  57502.40199      i    NULL     3281.124        117.760    18.710     0.039  3.22
OBS:  57502.41472      i    NULL     3476.776        103.268    18.647     0.032  2.51
OBS:  57526.34558      i    NULL     1259.387         89.175    19.750     0.076  2.38
OBS:  57526.35787      i    NULL     1286.429        129.494    19.727     0.109  3.22
OBS:  57526.37013      i    NULL     1438.709        114.464    19.605     0.086  2.66
OBS:  57526.38239      i    NULL     1280.407        138.733    19.732     0.117  3.20
OBS:  57532.31423      i    NULL      967.193         69.228    20.036     0.077  2.37
OBS:  57532.32570      i    NULL     1117.042         63.742    19.880     0.062  2.01
OBS:  57532.33711      i    NULL     1176.193         73.541    19.824     0.068  2.29
OBS:  57472.46336      z    NULL     7070.238        192.823    17.876     0.029  1.60
OBS:  57477.28707      z    NULL     5647.643        193.762    18.120     0.037  2.16
OBS:  57483.34757      z    NULL     5759.968        164.328    18.099     0.031  1.49
OBS:  57489.30161      z    NULL     6173.891        184.802    18.024     0.032  1.75
OBS:  57499.40134      z    NULL     3961.745        148.334    18.505     0.040  1.19
OBS:  57509.25099      z    NULL     2311.094        135.037    19.090     0.063  1.94
END:
