SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-16hz
RA: 348.9395052
DECL: -1.3396121
MWEBV: 0.0312 +- 0.0016
FILTERS: griz
REDSHIFT_HELIO: 0.0253080 +- 0.0001500
REDSHIFT_FINAL: 0.0240845 +- 0.0001500
SEARCH_PEAKMJD: 57607.52511
HOSTGAL_LOGMASS: 10.142 +- 0.002
VPEC: 212.952
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 30
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57607.52472      g    NULL    31556.723        489.538    16.252     0.017  1.87
OBS:  57611.54528      g    NULL    27551.173        453.962    16.400     0.018  2.40
OBS:  57616.52780      g    NULL    19302.288        343.031    16.786     0.019  1.77
OBS:  57626.45784      g    NULL     8443.862        182.916    17.684     0.023  2.26
OBS:  57639.46903      g    NULL     3630.782        124.163    18.600     0.037  2.03
OBS:  57657.38927      g    NULL     2278.837        113.226    19.106     0.054  2.42
OBS:  57607.52511      r    NULL    33662.509        505.926    16.182     0.016  1.93
OBS:  57611.54568      r    NULL    31226.674        482.601    16.264     0.017  2.09
OBS:  57616.52819      r    NULL    22647.746        362.906    16.612     0.017  1.86
OBS:  57626.45822      r    NULL    17019.006        281.864    16.923     0.018  2.03
OBS:  57639.46942      r    NULL     9729.118        186.705    17.530     0.021  1.96
OBS:  57657.38966      r    NULL     4651.492        123.565    18.331     0.029  2.02
OBS:  57607.52548      i    NULL    19749.276        320.969    16.761     0.018  1.54
OBS:  57611.54603      i    NULL    17176.829        297.852    16.913     0.019  1.89
OBS:  57616.52854      i    NULL    11662.968        220.049    17.333     0.020  1.46
OBS:  57626.45859      i    NULL    12262.874        229.060    17.279     0.020  1.99
OBS:  57639.46978      i    NULL     9817.058        191.732    17.520     0.021  1.75
OBS:  57657.39002      i    NULL     3762.271        131.755    18.561     0.038  2.24
OBS:  57678.37002      i    NULL     2044.239         82.870    19.224     0.044  1.89
OBS:  57678.38203      i    NULL     1824.420         78.993    19.347     0.047  1.83
OBS:  57678.39408      i    NULL     1936.261         78.275    19.283     0.044  1.61
OBS:  57678.40608      i    NULL     2034.886         87.991    19.229     0.047  1.66
OBS:  57607.52584      z    NULL    18356.842        333.147    16.841     0.020  1.37
OBS:  57611.54640      z    NULL    16228.585        327.894    16.974     0.022  1.89
OBS:  57616.52891      z    NULL    13449.193        268.007    17.178     0.022  1.55
OBS:  57626.45895      z    NULL    13479.331        284.294    17.176     0.023  2.08
OBS:  57639.47014      z    NULL    10593.072        235.855    17.437     0.024  1.72
OBS:  57657.39038      z    NULL     3045.037        164.394    18.791     0.058  1.83
OBS:  57598.62029      z    NULL    15038.611        339.308    17.057     0.024  5.26
OBS:  57603.62397      z    NULL    19402.496        319.835    16.780     0.018  1.83
END_PHOTOMETRY:

# =============================================
NSPECTRA: 1 


NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR DQ

SPECTRUM_ID: 1
SPECTRUM_MJD:  57638.00
SPEC:   3703.00   3705.00 4.20710e-01 3.58462e-02 1
SPEC:   3705.00   3707.00 3.92616e-01 3.58471e-02 1
SPEC:   3707.00   3709.00 3.76538e-01 3.58472e-02 1
SPEC:   3709.00   3711.00 3.71962e-01 3.58464e-02 1
SPEC:   3711.00   3713.00 3.58314e-01 3.58446e-02 1
SPEC:   3713.00   3715.00 3.65449e-01 3.58418e-02 1
SPEC:   3715.00   3717.00 3.58604e-01 3.58377e-02 1
SPEC:   3717.00   3719.00 4.14741e-01 3.58323e-02 1
SPEC:   3719.00   3721.00 4.15583e-01 3.58255e-02 1
SPEC:   3721.00   3723.00 4.12942e-01 3.58172e-02 1
SPEC:   3723.00   3725.00 3.83673e-01 3.58073e-02 1
SPEC:   3725.00   3727.00 3.54785e-01 3.57957e-02 1
SPEC:   3727.00   3729.00 4.35683e-01 3.57821e-02 1
SPEC:   3729.00   3731.00 3.99327e-01 3.57666e-02 1
SPEC:   3731.00   3733.00 4.78752e-01 3.57489e-02 1
SPEC:   3733.00   3735.00 4.87431e-01 3.57289e-02 1
SPEC:   3735.00   3737.00 4.28967e-01 3.57064e-02 1
SPEC:   3737.00   3739.00 4.65213e-01 3.56813e-02 1
SPEC:   3739.00   3741.00 5.05278e-01 3.56535e-02 1
SPEC:   3741.00   3743.00 4.46743e-01 3.56227e-02 1
SPEC:   3743.00   3745.00 4.73051e-01 3.55888e-02 1
SPEC:   3745.00   3747.00 5.43350e-01 3.55517e-02 1
SPEC:   3747.00   3749.00 5.47253e-01 3.55111e-02 1
SPEC:   3749.00   3751.00 5.10520e-01 3.54668e-02 1
SPEC:   3751.00   3753.00 5.50540e-01 3.54188e-02 1
SPEC:   3753.00   3755.00 5.99765e-01 3.53667e-02 1
SPEC:   3755.00   3757.00 6.20136e-01 3.53105e-02 1
SPEC:   3757.00   3759.00 6.01687e-01 3.52499e-02 1
SPEC:   3759.00   3761.00 6.03181e-01 3.51848e-02 1
SPEC:   3761.00   3763.00 5.71300e-01 3.51150e-02 1
SPEC:   3763.00   3765.00 6.19163e-01 3.50403e-02 1
SPEC:   3765.00   3767.00 6.58620e-01 3.49605e-02 1
SPEC:   3767.00   3769.00 6.44997e-01 3.48755e-02 1
SPEC:   3769.00   3771.00 6.04949e-01 3.47852e-02 1
SPEC:   3771.00   3773.00 5.78922e-01 3.46893e-02 1
SPEC:   3773.00   3775.00 5.93215e-01 3.45878e-02 1
SPEC:   3775.00   3777.00 5.82918e-01 3.44804e-02 1
SPEC:   3777.00   3779.00 5.87248e-01 3.43672e-02 1
SPEC:   3779.00   3781.00 6.35059e-01 3.42480e-02 1
SPEC:   3781.00   3783.00 6.45921e-01 3.41226e-02 1
SPEC:   3783.00   3785.00 6.42066e-01 3.39911e-02 1
SPEC:   3785.00   3787.00 6.10787e-01 3.38534e-02 1
SPEC:   3787.00   3789.00 6.49463e-01 3.37094e-02 1
SPEC:   3789.00   3791.00 6.41543e-01 3.35592e-02 1
