SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-17aj
RA: 173.2941127
DECL: -10.2220743
MWEBV: 0.0360 +- 0.0018
FILTERS: griz
REDSHIFT_HELIO: 0.0212750 +- 0.0001070
REDSHIFT_FINAL: 0.0217475 +- 0.0001070
SEARCH_PEAKMJD: 57773.11700
HOSTGAL_LOGMASS: 10.476 +- 0.014
VPEC: 7.370
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 27
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57767.66312      g    NULL    39067.047        620.578    16.020     0.017  2.17
OBS:  57776.66166      g    NULL    42943.014        648.701    15.918     0.016  2.75
OBS:  57781.58834      g    NULL    35943.995        541.550    16.111     0.016  2.11
OBS:  57788.56778      g    NULL    19427.845        337.353    16.779     0.019  2.24
OBS:  57801.56316      g    NULL     7185.507        187.436    17.859     0.028  2.32
OBS:  57828.44951      g    NULL     3279.156        279.344    18.711     0.092  2.19
OBS:  57767.66353      r    NULL    36195.689        551.939    16.103     0.017  1.79
OBS:  57776.66206      r    NULL    43393.331        643.686    15.906     0.016  2.68
OBS:  57781.58874      r    NULL    36719.283        542.881    16.088     0.016  1.89
OBS:  57788.56819      r    NULL    23955.135        374.545    16.552     0.017  1.91
OBS:  57801.56357      r    NULL    19348.777        319.366    16.783     0.018  2.14
OBS:  57828.44991      r    NULL     6345.701        220.474    17.994     0.038  1.95
OBS:  57767.66388      i    NULL    26082.945        414.148    16.459     0.017  1.68
OBS:  57776.66242      i    NULL    23859.101        387.332    16.556     0.018  2.70
OBS:  57781.58910      i    NULL    20026.311        319.343    16.746     0.017  1.57
OBS:  57788.56855      i    NULL    14090.049        242.920    17.128     0.019  1.63
OBS:  57801.56392      i    NULL    16997.640        291.446    16.924     0.019  1.77
OBS:  57828.45028      i    NULL     5405.550        177.061    18.168     0.035  1.97
OBS:  57801.52229      i    NULL    18188.046        268.567    16.851     0.016  1.89
OBS:  57801.53476      i    NULL    17648.819        261.716    16.883     0.016  1.79
OBS:  57801.54725      i    NULL    18021.746        267.031    16.861     0.016  1.81
OBS:  57801.55972      i    NULL    18349.286        271.337    16.841     0.016  1.81
OBS:  57776.66277      z    NULL    24855.913        433.432    16.511     0.019  2.53
OBS:  57781.58946      z    NULL    20551.718        352.429    16.718     0.019  1.61
OBS:  57788.56890      z    NULL    17583.538        315.026    16.887     0.019  1.47
OBS:  57801.56428      z    NULL    18370.839        338.986    16.840     0.020  1.67
OBS:  57828.45063      z    NULL     4961.628        235.258    18.261     0.051  1.66
END_PHOTOMETRY:

# =============================================
NSPECTRA: 1 


NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR DQ

SPECTRUM_ID: 1
SPECTRUM_MJD:  57770.00
SPEC:   3643.35   3648.85 2.58341e-15 4.91759e-17 1
SPEC:   3648.85   3654.35 2.54416e-15 4.81820e-17 1
SPEC:   3654.35   3659.85 2.51811e-15 4.71838e-17 1
SPEC:   3659.85   3665.35 2.50605e-15 4.61797e-17 1
SPEC:   3665.45   3670.95 2.39357e-15 4.51682e-17 1
SPEC:   3670.95   3676.45 2.46070e-15 4.41480e-17 1
SPEC:   3676.45   3681.95 2.33749e-15 4.31180e-17 1
SPEC:   3681.95   3687.45 2.24375e-15 4.20781e-17 1
SPEC:   3687.45   3692.95 2.21851e-15 4.10285e-17 1
SPEC:   3693.05   3698.55 2.08556e-15 3.99705e-17 1
SPEC:   3698.55   3704.05 1.96078e-15 3.89063e-17 1
SPEC:   3704.05   3709.55 1.85748e-15 3.78394e-17 1
SPEC:   3709.55   3715.05 1.60456e-15 3.67744e-17 1
SPEC:   3715.05   3720.55 1.44160e-15 3.57171e-17 1
SPEC:   3720.55   3726.05 1.34461e-15 3.46744e-17 1
SPEC:   3726.05   3731.55 1.14024e-15 3.36545e-17 1
SPEC:   3731.65   3737.15 1.14436e-15 3.26662e-17 1
SPEC:   3737.15   3742.65 1.03626e-15 3.17187e-17 1
SPEC:   3742.65   3748.15 9.28328e-16 3.08217e-17 1
SPEC:   3748.15   3753.65 8.97400e-16 2.99843e-17 1
SPEC:   3753.65   3759.15 8.41444e-16 2.92151e-17 1
SPEC:   3759.25   3764.75 8.09064e-16 2.85214e-17 1
SPEC:   3764.75   3770.25 7.92705e-16 2.79090e-17 1
SPEC:   3770.25   3775.75 7.48259e-16 2.73818e-17 1
SPEC:   3775.75   3781.25 7.37111e-16 2.69413e-17 1
SPEC:   3781.25   3786.75 7.48221e-16 2.65867e-17 1
SPEC:   3786.85   3792.35 7.38769e-16 2.63145e-17 1
SPEC:   3792.35   3797.85 7.95769e-16 2.61192e-17 1
SPEC:   3797.85   3803.35 8.01007e-16 2.59925e-17 1
SPEC:   3803.35   3808.85 8.04070e-16 2.59247e-17 1
SPEC:   3808.85   3814.35 8.55332e-16 2.59042e-17 1
SPEC:   3814.35   3819.85 8.96995e-16 2.59186e-17 1
SPEC:   3819.95   3825.45 9.38494e-16 2.59548e-17 1
SPEC:   3825.45   3830.95 1.00968e-15 2.59999e-17 1
SPEC:   3830.95   3836.45 1.07368e-15 2.60416e-17 1
SPEC:   3836.45   3841.95 1.13199e-15 2.60686e-17 1
SPEC:   3841.95   3847.45 1.20160e-15 2.60713e-17 1
SPEC:   3847.45   3852.95 1.07568e-15 2.60418e-17 1
SPEC:   3853.05   3858.55 1.18360e-15 2.59746e-17 1
SPEC:   3858.55   3864.05 1.14072e-15 2.58661e-17 1
