SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS17akj
RA: 207.4547791
DECL: -3.0800201
MWEBV: 0.0443 +- 0.0022
FILTERS: griz
REDSHIFT_HELIO: 0.0468076 +- 0.0000057
REDSHIFT_FINAL: 0.0477623 +- 0.0000057
SEARCH_PEAKMJD: 57793.60754
HOSTGAL_LOGMASS: 8.978 +- 0.005
VPEC: 36.118
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 28
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57793.60754      g    NULL    11175.293        250.981    17.379     0.024  2.14
OBS:  57805.56982      g    NULL     9913.280        214.648    17.509     0.023  2.39
OBS:  57816.56939      g    NULL     5316.640        147.249    18.186     0.030  1.87
OBS:  57831.59861      g    NULL     1320.275        126.853    19.698     0.104  2.09
OBS:  57839.50270      g    NULL     1222.810         85.227    19.782     0.075  1.97
OBS:  57847.50122      g    NULL     1015.871         91.658    19.983     0.097  2.34
OBS:  57859.44940      g    NULL      965.826        156.273    20.038     0.175  1.99
OBS:  57793.60794      r    NULL     9963.182        210.639    17.504     0.023  2.08
OBS:  57805.57022      r    NULL    10705.258        201.374    17.426     0.020  2.08
OBS:  57816.56978      r    NULL     5953.799        133.312    18.063     0.024  1.67
OBS:  57831.59901      r    NULL     4567.334        149.204    18.351     0.035  2.11
OBS:  57839.50310      r    NULL     2808.852         90.174    18.879     0.035  1.60
OBS:  57847.50162      r    NULL     1971.079         93.275    19.263     0.051  2.10
OBS:  57859.44979      r    NULL     1436.349        126.356    19.607     0.095  1.96
OBS:  57793.60830      i    NULL     7206.131        168.508    17.856     0.025  1.71
OBS:  57805.57058      i    NULL     5589.952        153.264    18.131     0.030  2.13
OBS:  57816.57014      i    NULL     2955.101        103.499    18.824     0.038  1.72
OBS:  57831.59936      i    NULL     3755.386        136.106    18.563     0.039  1.94
OBS:  57839.50345      i    NULL     2494.190        100.651    19.008     0.044  1.74
OBS:  57847.50206      i    NULL     1972.562        101.434    19.262     0.056  1.93
OBS:  57859.45016      i    NULL      948.701        120.550    20.057     0.137  1.77
OBS:  57793.60866      z    NULL     6025.777        185.358    18.050     0.033  1.74
OBS:  57805.57095      z    NULL     4854.202        198.607    18.285     0.044  2.04
OBS:  57816.57049      z    NULL     3155.277        136.157    18.752     0.047  1.67
OBS:  57831.59971      z    NULL     3183.244        167.319    18.743     0.057  1.72
OBS:  57839.50382      z    NULL     2152.695        135.741    19.168     0.068  1.72
OBS:  57847.50242      z    NULL     1568.571        137.389    19.511     0.095  1.87
OBS:  57859.45052      z    NULL      961.230        164.683    20.043     0.185  1.57
END_PHOTOMETRY:

# =============================================
NSPECTRA: 1 


NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR DQ

SPECTRUM_ID: 1
SPECTRUM_MJD:  57791.00
SPEC:   3642.35   3647.85 8.53539e-16 1.36252e-17 1
SPEC:   3647.85   3653.35 8.46803e-16 1.36959e-17 1
SPEC:   3653.35   3658.85 8.47455e-16 1.37353e-17 1
SPEC:   3658.85   3664.35 8.41387e-16 1.37415e-17 1
SPEC:   3664.45   3669.95 8.77941e-16 1.37126e-17 1
SPEC:   3669.95   3675.45 8.28800e-16 1.36474e-17 1
SPEC:   3675.45   3680.95 8.51208e-16 1.35453e-17 1
SPEC:   3680.95   3686.45 8.32459e-16 1.34062e-17 1
SPEC:   3686.45   3691.95 8.17940e-16 1.32310e-17 1
SPEC:   3692.05   3697.55 8.50166e-16 1.30211e-17 1
SPEC:   3697.55   3703.05 8.05352e-16 1.27789e-17 1
SPEC:   3703.05   3708.55 8.54340e-16 1.25075e-17 1
SPEC:   3708.55   3714.05 8.47647e-16 1.22108e-17 1
SPEC:   3714.05   3719.55 8.11042e-16 1.18933e-17 1
SPEC:   3719.55   3725.05 7.87356e-16 1.15604e-17 1
SPEC:   3725.05   3730.55 7.74064e-16 1.12176e-17 1
SPEC:   3730.65   3736.15 7.40398e-16 1.08709e-17 1
SPEC:   3736.15   3741.65 7.20764e-16 1.05267e-17 1
SPEC:   3741.65   3747.15 6.81004e-16 1.01912e-17 1
SPEC:   3747.15   3752.65 6.46878e-16 9.87049e-18 1
SPEC:   3752.65   3758.15 6.12447e-16 9.57045e-18 1
SPEC:   3758.25   3763.75 5.63883e-16 9.29656e-18 1
SPEC:   3763.75   3769.25 5.26276e-16 9.05377e-18 1
SPEC:   3769.25   3774.75 4.70757e-16 8.84643e-18 1
SPEC:   3774.75   3780.25 4.24459e-16 8.67818e-18 1
SPEC:   3780.25   3785.75 4.01668e-16 8.55195e-18 1
SPEC:   3785.85   3791.35 3.62128e-16 8.46982e-18 1
SPEC:   3791.35   3796.85 3.47775e-16 8.43309e-18 1
SPEC:   3796.85   3802.35 3.26131e-16 8.44216e-18 1
SPEC:   3802.35   3807.85 3.00272e-16 8.49658e-18 1
SPEC:   3807.85   3813.35 2.78349e-16 8.59501e-18 1
SPEC:   3813.35   3818.85 2.67784e-16 8.73523e-18 1
SPEC:   3818.95   3824.45 2.75251e-16 8.91415e-18 1
SPEC:   3824.45   3829.95 2.63251e-16 9.12783e-18 1
SPEC:   3829.95   3835.45 2.62550e-16 9.37156e-18 1
SPEC:   3835.45   3840.95 2.71412e-16 9.63990e-18 1
SPEC:   3840.95   3846.45 2.80359e-16 9.92682e-18 1
SPEC:   3846.45   3851.95 2.86751e-16 1.02258e-17 1
SPEC:   3852.05   3857.55 2.91534e-16 1.05300e-17 1
SPEC:   3857.55   3863.05 3.18720e-16 1.08324e-17 1
SPEC:   3863.05   3868.55 3.29456e-16 1.11261e-17 1
