SURVEY: Hicken2009_LC
SNID: sn2006mp
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: Hicken2009_LC
MWEBV: 0.035 MW E(B-V)
REDSHIFT_HELIO: 0.023016 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 54054.24
FILTERS: UBVRIfhjklabcde

NOBS: 92
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 54046.073 h  NULL    25491.7627 493.0362
OBS: 54052.095 h  NULL    35776.6655 428.3540
OBS: 54054.066 h  NULL    36274.3690 400.9043
OBS: 54055.078 h  NULL    34865.8184 449.5599
OBS: 54056.087 h  NULL    34609.8615 478.1352
OBS: 54061.077 h  NULL    27976.9178 334.9676
OBS: 54067.058 h  NULL    19897.5616 568.0953
OBS: 54104.548 h  NULL    2070.1407 356.5341
OBS: 54128.533 h  NULL    963.8287 55.0365
OBS: 54129.523 h  NULL    967.3861 74.8409
OBS: 54138.469 h  NULL    806.1203 121.0172
OBS: 54140.544 h  NULL    1019.5297 106.1055
OBS: 54148.445 h  NULL    413.4280 78.0573
OBS: 54161.526 h  NULL    411.5284 73.1504
OBS: 54188.390 h  NULL    290.5359 77.5992
OBS: 54046.070 j  NULL    24210.2821 535.1441
OBS: 54052.092 j  NULL    36711.3075 777.6556
OBS: 54054.063 j  NULL    38976.2330 394.8682
OBS: 54055.075 j  NULL    38547.8234 461.5331
OBS: 54061.074 j  NULL    34355.7831 442.9835
OBS: 54067.055 j  NULL    25304.6222 442.8056
OBS: 54100.548 j  NULL    5030.3692 129.7232
OBS: 54104.545 j  NULL    4512.3196 286.7534
OBS: 54105.552 j  NULL    4570.8804 197.8597
OBS: 54108.548 j  NULL    3718.7746 188.3745
OBS: 54109.516 j  NULL    3879.7153 175.0877
OBS: 54110.556 j  NULL    3908.4077 125.9875
OBS: 54128.529 j  NULL    2344.2280 84.2023
OBS: 54129.520 j  NULL    2403.2550 86.3225
OBS: 54135.489 j  NULL    1801.3572 220.6537
OBS: 54138.465 j  NULL    2043.6187 99.7552
OBS: 54139.527 j  NULL    1796.3868 435.1262
OBS: 54140.540 j  NULL    1741.0044 126.6737
OBS: 54141.478 j  NULL    1991.5896 99.0497
OBS: 54148.441 j  NULL    1224.6158 117.2986
OBS: 54150.535 j  NULL    1371.5128 112.4215
OBS: 54160.517 j  NULL    842.5581 131.1433
OBS: 54161.523 j  NULL    1213.3885 148.6316
OBS: 54166.515 j  NULL    1012.9776 72.7703
OBS: 54188.386 j  NULL    423.8380 99.9308
OBS: 54046.066 l  NULL    19660.7472 362.1510
OBS: 54052.088 l  NULL    24210.2914 334.4652
OBS: 54054.058 l  NULL    23334.5817 386.8407
OBS: 54055.070 l  NULL    22532.0144 435.7917
OBS: 54056.084 l  NULL    22284.3529 369.4300
OBS: 54061.069 l  NULL    17815.5819 278.9386
OBS: 54100.543 l  NULL    5759.7022 143.2265
OBS: 54103.562 l  NULL    5209.5477 364.6475
OBS: 54104.540 l  NULL    4570.8822 197.8598
OBS: 54105.545 l  NULL    4911.3403 189.9805
OBS: 54108.542 l  NULL    4365.1586 160.8124
OBS: 54109.510 l  NULL    4438.1301 208.4634
OBS: 54110.550 l  NULL    3780.9421 139.2899
OBS: 54117.527 l  NULL    3036.6869 148.2298
OBS: 54117.538 l  NULL    2674.2378 162.5562
OBS: 54128.523 l  NULL    2141.9041 120.3343
OBS: 54129.514 l  NULL    2137.9622 126.0200
OBS: 54135.483 l  NULL    1574.7079 158.0834
OBS: 54138.459 l  NULL    1841.6201 130.6022
OBS: 54140.534 l  NULL    1521.9488 116.3423
OBS: 54148.435 l  NULL    1326.7834 166.1876
OBS: 54160.511 l  NULL    806.8634 122.6150
OBS: 54161.517 l  NULL    925.5503 118.4880
OBS: 54166.509 l  NULL    574.9102 88.9547
OBS: 54188.380 l  NULL    287.6074 98.8026
OBS: 54046.068 k  NULL    23528.8136 520.0809
OBS: 54052.090 k  NULL    35220.8663 421.6994
OBS: 54054.060 k  NULL    36307.8078 434.7134
OBS: 54055.073 k  NULL    36982.8209 579.0400
OBS: 54061.071 k  NULL    32870.0247 454.0994
OBS: 54066.064 k  NULL    23485.5121 584.0142
OBS: 54100.545 k  NULL    6988.7585 115.8596
OBS: 54103.565 k  NULL    5754.3998 434.5838
OBS: 54104.543 k  NULL    6257.4881 195.9470
OBS: 54105.548 k  NULL    5680.6761 198.8123
OBS: 54108.545 k  NULL    5415.0196 164.5787
OBS: 54109.513 k  NULL    5105.0504 159.8595
OBS: 54110.553 k  NULL    5282.0199 121.6185
OBS: 54117.530 k  NULL    4103.9308 117.1713
OBS: 54117.541 k  NULL    4107.7124 109.7129
OBS: 54128.526 k  NULL    2934.9454 83.7956
OBS: 54129.517 k  NULL    2756.7668 86.3254
OBS: 54135.486 k  NULL    2669.3162 157.3402
OBS: 54138.462 k  NULL    2147.8306 90.9950
OBS: 54140.537 k  NULL    2226.3838 67.6665
OBS: 54141.475 k  NULL    1816.3521 102.0445
OBS: 54148.438 k  NULL    1339.0600 102.3618
OBS: 54150.532 k  NULL    1801.3580 63.0439
OBS: 54160.514 k  NULL    1172.7354 100.4483
OBS: 54161.520 k  NULL    1336.5956 62.7812
OBS: 54166.512 k  NULL    1190.1455 53.7101
OBS: 54188.383 k  NULL    393.7314 83.7667
END_PHOTOMETRY:

# =============================================
