SURVEY: PS1_LOWZ_COMBINED(CSP)   
SNID:   5999399   
IAUC:    NULL 
PHOTOMETRY_VERSION: SALT3TEST_SIMPLE 
SNTYPE:  1 
FILTERS: bcdeghijlmnopqrsuvwxyzACDEFHIJK 
RA:      215.588000  deg 
DEC:     -0.393778  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0000    MW E(B-V) 
MWEBV_ERR:   0.0000    error on MWEBV 
REDSHIFT_HELIO:   0.170336 +- 0.000010  (Helio, z_best) 
REDSHIFT_FINAL:   0.171308 +- 0.000010  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54174.504 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_RA:       -999.000000    # deg 
HOSTGAL_DEC:      -999.000000    # deg 
HOSTGAL_SNSEP:    -9.000    # arcsec 
HOSTGAL_DDLR:     -9.000    # SNSEP/DLR  
HOSTGAL_CONFUSION:   0.000  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  336  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.17034  
SIM_REDSHIFT_CMB:    0.17131  
SIM_REDSHIFT_HOST:   0.17034  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.5812  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        215.587997 deg  
SIM_DEC:       -0.393778 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0000   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  0   (MW color-law option) 
SIMOPT_MWEBV:       0   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000  (bcdeghijlmnopqrsuvwxyzACDEFHIJK F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  20.44  -9.00  -9.00  20.10
      20.17  20.13  20.35  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_PEAKMJD:   54174.503906  days 
SIM_SALT2alpha:    0.165   
SIM_SALT2beta:     3.032   
SIM_SALT2x0:   1.6894e-04   
SIM_SALT2x1:    0.9119   
SIM_SALT2c:     0.0000   
SIM_SALT2mB:   20.0657   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -7.86   days 
SIM_TRESTMAX:    37.34   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 121 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54165.300  u NULL   5.0520e+02   3.048e-01    0  37.683   0.85 20.7413 
OBS:  54165.300  x NULL   6.3392e+02   4.023e-01    0  37.648   0.85 20.4949 
OBS:  54165.300  y NULL   6.1800e+02   7.396e-01    0  36.288   0.85 20.5225 
OBS:  54165.300  z NULL   5.9130e+02   7.019e-01    0  36.704   0.85 20.5705 
OBS:  54165.300  A NULL   5.3597e+02   5.919e-01    0  37.865   0.85 20.6771 
OBS:  54166.300  y NULL   6.8341e+02   4.992e-01    0  37.104   0.85 20.4133 
OBS:  54166.300  x NULL   6.9892e+02   3.690e-01    0  37.865   0.85 20.3889 
OBS:  54166.300  A NULL   5.8488e+02   6.508e-01    0  37.678   0.85 20.5823 
OBS:  54166.300  z NULL   6.5200e+02   4.175e-01    0  37.811   0.85 20.4644 
OBS:  54166.300  u NULL   5.6000e+02   3.393e-01    0  37.500   0.85 20.6295 
OBS:  54169.300  u NULL   6.6650e+02   4.360e-01    0  37.089   0.85 20.4405 
OBS:  54169.300  z NULL   7.8956e+02   6.239e-01    0  37.035   0.85 20.2565 
OBS:  54169.300  y NULL   8.2112e+02   5.375e-01    0  37.015   0.85 20.2140 
OBS:  54169.300  x NULL   8.4216e+02   5.653e-01    0  37.057   0.85 20.1865 
OBS:  54169.300  A NULL   6.7845e+02   1.023e+00    0  36.735   0.85 20.4212 
OBS:  54170.300  u NULL   6.8126e+02   5.446e-01    0  36.683   0.85 20.4167 
OBS:  54170.300  y NULL   8.4580e+02   5.638e-01    0  36.944   0.85 20.1818 
OBS:  54170.300  z NULL   8.1960e+02   7.561e-01    0  36.640   0.85 20.2160 
OBS:  54170.300  x NULL   8.7116e+02   8.095e-01    0  36.354   0.85 20.1498 
OBS:  54170.300  A NULL   6.9165e+02   1.045e+00    0  36.692   0.85 20.4003 
OBS:  54171.300  z NULL   8.4311e+02   7.888e-01    0  36.577   0.85 20.1853 
OBS:  54171.300  A NULL   6.9947e+02   1.478e+00    0  35.986   0.85 20.3881 
OBS:  54171.300  u NULL   6.8723e+02   5.633e-01    0  36.621   0.85 20.4072 
OBS:  54171.300  x NULL   8.9168e+02   8.348e-01    0  36.286   0.85 20.1245 
OBS:  54172.300  x NULL   9.0607e+02   8.629e-01    0  36.229   0.85 20.1071 
OBS:  54172.300  z NULL   8.6290e+02   9.289e-01    0  36.251   0.85 20.1601 
OBS:  54172.300  u NULL   6.8780e+02   7.733e-01    0  36.030   0.85 20.4063 
OBS:  54172.300  A NULL   7.0795e+02   1.456e+00    0  36.004   0.85 20.3750 
OBS:  54174.300  x NULL   9.1241e+02   1.017e+00    0  35.941   0.85 20.0995 
OBS:  54174.300  z NULL   8.8784e+02   9.470e-01    0  36.216   0.85 20.1292 
OBS:  54174.300  u NULL   6.6888e+02   5.789e-01    0  36.556   0.85 20.4366 
OBS:  54174.300  A NULL   7.2373e+02   1.284e+00    0  36.279   0.85 20.3511 
OBS:  54174.300  y NULL   8.5971e+02   7.194e-01    0  36.463   0.85 20.1641 
OBS:  54178.300  z NULL   8.7156e+02   8.195e-01    0  36.506   0.85 20.1493 
OBS:  54178.300  y NULL   7.7785e+02   7.817e-01    0  36.271   0.85 20.2728 
OBS:  54178.300  A NULL   7.2523e+02   1.071e+00    0  36.646   0.85 20.3488 
OBS:  54178.300  u NULL   5.8078e+02   6.061e-01    0  36.411   0.85 20.5900 
OBS:  54179.300  x NULL   8.3477e+02   8.526e-01    0  36.241   0.85 20.1961 
OBS:  54179.300  A NULL   7.1690e+02   1.159e+00    0  36.479   0.85 20.3614 
OBS:  54179.300  y NULL   7.5016e+02   7.604e-01    0  36.316   0.85 20.3121 
OBS:  54179.300  z NULL   8.5488e+02   9.252e-01    0  36.270   0.85 20.1702 
OBS:  54179.300  u NULL   5.5332e+02   4.140e-01    0  37.098   0.85 20.6425 
OBS:  54181.300  z NULL   8.1322e+02   8.685e-01    0  36.357   0.85 20.2245 
OBS:  54181.300  y NULL   6.8975e+02   6.112e-01    0  36.703   0.85 20.4033 
OBS:  54181.300  x NULL   7.8036e+02   6.993e-01    0  36.600   0.85 20.2693 
OBS:  54181.300  A NULL   6.8153e+02   1.108e+00    0  36.571   0.85 20.4163 
OBS:  54181.300  u NULL   4.9805e+02   3.766e-01    0  37.243   0.85 20.7568 
OBS:  54182.300  x NULL   7.4970e+02   7.961e-01    0  36.340   0.85 20.3128 
OBS:  54182.300  z NULL   7.8891e+02   1.214e+00    0  35.719   0.85 20.2574 
OBS:  54182.300  y NULL   6.5741e+02   6.732e-01    0  36.480   0.85 20.4554 
OBS:  54182.300  A NULL   6.5511e+02   1.066e+00    0  36.655   0.85 20.4592 
OBS:  54182.300  u NULL   4.7049e+02   4.948e-01    0  36.702   0.85 20.8186 
OBS:  54185.300  x NULL   6.4814e+02   6.077e-01    0  36.802   0.85 20.4708 
OBS:  54185.300  z NULL   7.0534e+02   5.451e-01    0  37.267   0.85 20.3790 
OBS:  54185.300  y NULL   5.5415e+02   4.270e-01    0  37.327   0.85 20.6409 
OBS:  54185.300  A NULL   5.5534e+02   5.525e-01    0  38.018   0.85 20.6386 
OBS:  54185.300  u NULL   3.8785e+02   2.928e-01    0  37.633   0.85 21.0283 
OBS:  54190.300  x NULL   4.7420e+02   4.215e-01    0  37.463   0.85 20.8101 
OBS:  54190.300  z NULL   5.4895e+02   3.905e-01    0  37.893   0.85 20.6512 
OBS:  54190.300  A NULL   4.2905e+02   5.301e-01    0  38.079   0.85 20.9187 
OBS:  54190.300  u NULL   2.4991e+02   2.413e-01    0  37.885   0.85 21.5055 
OBS:  54190.300  y NULL   3.7577e+02   3.196e-01    0  37.795   0.85 21.0627 
OBS:  54194.300  z NULL   4.5720e+02   4.464e-01    0  37.577   0.85 20.8497 
OBS:  54194.300  u NULL   1.6582e+02   1.550e-01    0  38.678   0.85 21.9509 
OBS:  54194.300  A NULL   3.9649e+02   7.388e-01    0  37.359   0.85 21.0044 
OBS:  54194.300  y NULL   2.6226e+02   3.004e-01    0  37.841   0.85 21.4532 
OBS:  54194.300  x NULL   3.5956e+02   4.887e-01    0  37.092   0.85 21.1106 
OBS:  54197.300  z NULL   4.1165e+02   4.262e-01    0  37.651   0.85 20.9637 
OBS:  54197.300  y NULL   2.0196e+02   2.172e-01    0  38.458   0.85 21.7369 
OBS:  54197.300  u NULL   1.2418e+02   1.309e-01    0  38.951   0.85 22.2649 
OBS:  54197.300  A NULL   3.9285e+02   8.575e-01    0  37.056   0.85 21.0144 
OBS:  54197.300  x NULL   2.9022e+02   3.819e-01    0  37.551   0.85 21.3432 
OBS:  54199.200  z NULL   3.8476e+02   4.831e-01    0  37.373   0.85 21.0370 
OBS:  54199.200  u NULL   1.0458e+02   1.399e-01    0  38.780   0.85 22.4514 
OBS:  54199.200  y NULL   1.7174e+02   2.323e-01    0  38.282   0.85 21.9128 
OBS:  54199.200  A NULL   3.8118e+02   7.636e-01    0  37.296   0.85 21.0472 
OBS:  54199.200  x NULL   2.4954e+02   4.649e-01    0  37.110   0.85 21.5071 
OBS:  54202.300  y NULL   1.3373e+02   2.311e-01    0  38.257   0.85 22.1844 
OBS:  54202.300  u NULL   8.0523e+01   1.416e-01    0  38.732   0.85 22.7352 
OBS:  54202.300  A NULL   3.6749e+02   7.492e-01    0  37.324   0.85 21.0869 
OBS:  54202.300  z NULL   3.4563e+02   4.474e-01    0  37.510   0.85 21.1535 
OBS:  54202.300  x NULL   1.9848e+02   3.662e-01    0  37.564   0.85 21.7557 
OBS:  54204.300  z NULL   3.2380e+02   5.466e-01    0  37.098   0.85 21.2243 
OBS:  54204.300  u NULL   6.8881e+01   1.304e-01    0  38.872   0.85 22.9048 
OBS:  54204.300  A NULL   3.6568e+02   9.006e-01    0  36.933   0.85 21.0922 
OBS:  54204.300  x NULL   1.7644e+02   2.926e-01    0  38.004   0.85 21.8835 
OBS:  54207.200  z NULL   2.9182e+02   4.248e-01    0  37.588   0.85 21.3372 
OBS:  54207.200  A NULL   3.5145e+02   8.059e-01    0  37.165   0.85 21.1353 
OBS:  54207.200  y NULL   9.5421e+01   1.939e-01    0  38.600   0.85 22.5509 
OBS:  54207.200  u NULL   5.6222e+01   1.350e-01    0  38.787   0.85 23.1252 
OBS:  54207.200  x NULL   1.5072e+02   3.016e-01    0  37.925   0.85 22.0546 
OBS:  54211.300  z NULL   2.4343e+02   2.760e-01    0  38.481   0.85 21.5341 
OBS:  54211.300  y NULL   7.6461e+01   1.301e-01    0  39.423   0.85 22.7914 
OBS:  54211.300  u NULL   4.4190e+01   1.074e-01    0  39.242   0.85 23.3867 
OBS:  54211.300  A NULL   3.0151e+02   4.200e-01    0  38.557   0.85 21.3018 
OBS:  54211.300  x NULL   1.1899e+02   2.326e-01    0  38.442   0.85 22.3112 
OBS:  54213.200  z NULL   2.2249e+02   3.067e-01    0  38.233   0.85 21.6317 
OBS:  54213.200  y NULL   7.0098e+01   1.682e-01    0  38.873   0.85 22.8857 
OBS:  54213.200  u NULL   4.0317e+01   1.168e-01    0  39.055   0.85 23.4863 
OBS:  54213.200  A NULL   2.7559e+02   5.989e-01    0  37.789   0.85 21.3993 
OBS:  54213.200  x NULL   1.0719e+02   2.564e-01    0  38.240   0.85 22.4246 
OBS:  54218.200  z NULL   1.7718e+02   1.951e-01    0  39.176   0.85 21.8790 
OBS:  54218.200  y NULL   5.8027e+01   1.161e-01    0  39.649   0.85 23.0909 
OBS:  54218.200  u NULL   3.3892e+01   8.411e-02    0  39.738   0.85 23.6747 
OBS:  54218.200  A NULL   2.1682e+02   3.480e-01    0  38.940   0.85 21.6598 
OBS:  54218.200  x NULL   8.6672e+01   1.737e-01    0  39.033   0.85 22.6553 
OBS:  54224.300  z NULL   1.4005e+02   2.466e-01    0  38.658   0.85 22.1343 
OBS:  54224.300  y NULL   4.9376e+01   1.467e-01    0  39.144   0.85 23.2662 
OBS:  54224.300  u NULL   3.0013e+01   1.150e-01    0  39.072   0.85 23.8067 
OBS:  54224.300  A NULL   1.6364e+02   4.639e-01    0  38.306   0.85 21.9653 
OBS:  54224.300  x NULL   7.4674e+01   1.862e-01    0  38.875   0.85 22.8171 
OBS:  54226.300  z NULL   1.3267e+02   2.036e-01    0  39.055   0.85 22.1930 
OBS:  54226.300  y NULL   4.7343e+01   1.250e-01    0  39.471   0.85 23.3119 
