SURVEY: PS1_LOWZ_COMBINED(CFA3S)   
SNID:   5999398   
IAUC:    NULL 
PHOTOMETRY_VERSION: SALT3TEST_SIMPLE 
SNTYPE:  1 
FILTERS: bcdeghijlmnopqrsuvwxyzACDEFHIJK 
RA:      320.177240  deg 
DEC:     44.398090  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0000    MW E(B-V) 
MWEBV_ERR:   0.0000    error on MWEBV 
REDSHIFT_HELIO:   0.199740 +- 0.000010  (Helio, z_best) 
REDSHIFT_FINAL:   0.198683 +- 0.000010  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   52224.406 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_RA:       -999.000000    # deg 
HOSTGAL_DEC:      -999.000000    # deg 
HOSTGAL_SNSEP:    -9.000    # arcsec 
HOSTGAL_DDLR:     -9.000    # SNSEP/DLR  
HOSTGAL_CONFUSION:   0.000  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  12  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.19976  
SIM_REDSHIFT_CMB:    0.19871  
SIM_REDSHIFT_HOST:   0.19976  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.9425  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        320.177246 deg  
SIM_DEC:       44.398090 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0000   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  0   (MW color-law option) 
SIMOPT_MWEBV:       0   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000  (bcdeghijlmnopqrsuvwxyzACDEFHIJK F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.56  20.12  20.02  20.19  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_PEAKMJD:   52224.406250  days 
SIM_SALT2alpha:    0.165   
SIM_SALT2beta:     3.032   
SIM_SALT2x0:   1.5633e-04   
SIM_SALT2x1:    2.5913   
SIM_SALT2c:     0.0000   
SIM_SALT2mB:   20.1499   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -3.59   days 
SIM_TRESTMAX:    35.58   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 41 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  52220.094  b NULL   6.4628e+02   1.834e-01    0  38.843   0.85 20.4742 
OBS:  52220.098  c NULL   8.9290e+02   3.472e-01    0  38.101   0.85 20.1225 
OBS:  52220.098  d NULL   9.4978e+02   4.667e-01    0  37.849   0.85 20.0558 
OBS:  52220.102  e NULL   8.4971e+02   1.110e+00    0  36.960   0.85 20.1761 
OBS:  52221.074  b NULL   6.3943e+02   2.207e-01    0  38.440   0.85 20.4853 
OBS:  52221.078  c NULL   8.9936e+02   3.424e-01    0  38.130   0.85 20.1154 
OBS:  52221.082  d NULL   9.6031e+02   4.518e-01    0  37.916   0.85 20.0438 
OBS:  52221.082  e NULL   8.4414e+02   1.039e+00    0  37.102   0.85 20.1850 
OBS:  52222.063  b NULL   6.3044e+02   2.223e-01    0  38.415   0.85 20.5005 
OBS:  52222.066  c NULL   9.0280e+02   3.657e-01    0  37.991   0.85 20.1115 
OBS:  52222.066  d NULL   9.6938e+02   5.680e-01    0  37.439   0.85 20.0332 
OBS:  52222.070  e NULL   8.4020e+02   8.823e-01    0  37.447   0.85 20.1898 
OBS:  52222.074  c NULL   9.0257e+02   3.333e-01    0  38.192   0.85 20.1115 
OBS:  52225.098  b NULL   5.8418e+02   2.137e-01    0  38.461   0.85 20.5838 
OBS:  52225.102  c NULL   8.8904e+02   3.651e-01    0  37.989   0.85 20.1276 
OBS:  52225.102  d NULL   9.8368e+02   4.854e-01    0  37.774   0.85 20.0178 
OBS:  52225.105  e NULL   8.4193e+02   8.923e-01    0  37.428   0.85 20.1866 
OBS:  52228.063  b NULL   5.2739e+02   1.755e-01    0  38.821   0.85 20.6944 
OBS:  52228.066  c NULL   8.5483e+02   3.020e-01    0  38.372   0.85 20.1703 
OBS:  52228.070  d NULL   9.6476e+02   4.956e-01    0  37.727   0.85 20.0385 
OBS:  52228.070  e NULL   8.5633e+02   9.870e-01    0  37.210   0.85 20.1674 
OBS:  52231.102  b NULL   4.6842e+02   1.826e-01    0  38.671   0.85 20.8239 
OBS:  52231.105  c NULL   8.0374e+02   3.522e-01    0  38.018   0.85 20.2370 
OBS:  52231.109  d NULL   9.1765e+02   4.649e-01    0  37.847   0.85 20.0937 
OBS:  52231.109  e NULL   8.5222e+02   8.687e-01    0  37.484   0.85 20.1741 
OBS:  52235.098  b NULL   3.8795e+02   1.686e-01    0  38.750   0.85 21.0279 
OBS:  52235.102  c NULL   7.0911e+02   3.252e-01    0  38.144   0.85 20.3736 
OBS:  52235.105  d NULL   8.2664e+02   4.264e-01    0  37.991   0.85 20.2064 
OBS:  52235.105  e NULL   7.3548e+02   8.936e-01    0  37.412   0.85 20.3333 
OBS:  52257.059  b NULL   5.8798e+01   1.878e-01    0  38.069   0.85 23.0727 
OBS:  52257.063  c NULL   1.8104e+02   3.570e-01    0  37.612   0.85 21.8535 
OBS:  52257.066  d NULL   4.1141e+02   3.633e-01    0  38.174   0.85 20.9651 
OBS:  52257.066  e NULL   5.6075e+02   8.027e-01    0  37.610   0.85 20.6257 
OBS:  52258.059  b NULL   5.4171e+01   2.053e-01    0  37.883   0.85 23.1610 
OBS:  52258.063  c NULL   1.7179e+02   2.242e-01    0  38.577   0.85 21.9108 
OBS:  52258.066  d NULL   4.0006e+02   3.102e-01    0  38.499   0.85 20.9947 
OBS:  52258.066  e NULL   5.6289e+02   9.795e-01    0  37.189   0.85 20.6226 
OBS:  52267.082  b NULL   3.1611e+01   2.211e-01    0  37.709   0.85 23.7417 
OBS:  52267.086  c NULL   1.0113e+02   3.222e-01    0  37.758   0.85 22.4942 
OBS:  52267.090  d NULL   2.7040e+02   4.497e-01    0  37.660   0.85 21.4199 
OBS:  52267.090  e NULL   4.1703e+02   6.160e-01    0  38.162   0.85 20.9521 
END_PHOTOMETRY: 

# ============================================= 
NSPECTRA:  1 

NVAR_SPEC: 6 
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR   SIM_GENFLAM SIM_GENMAG  

SPECTRUM_ID:       1  
SPECTRUM_MJD:      52218.205            # Tobs =   -6.201 
SPECTRUM_TEXPOSE:     1200.0            # seconds
SPECTRUM_SNR_COMPUTE:  10454.840        # from user SNR request
SPECTRUM_LAMOBS_SNR:    5000.0  6000.0  # range for SNR_COMPUTE
SPECTRUM_NLAM:     542 (of 879)         # Number of valid wave bins
SPEC:  3805.27  3815.16   1.994e-17   5.218e-20    1.993e-17  11.52 
SPEC:  3815.16  3825.05   1.848e-17   4.828e-20    1.850e-17  11.56 
SPEC:  3825.05  3834.94   1.776e-17   4.267e-20    1.774e-17  11.42 
SPEC:  3834.94  3844.82   1.761e-17   4.463e-20    1.763e-17  11.57 
SPEC:  3844.82  3855.04   1.798e-17   4.704e-20    1.793e-17  11.69 
SPEC:  3855.04  3865.26   1.842e-17   4.724e-20    1.832e-17  11.69 
SPEC:  3865.26  3875.15   1.876e-17   4.618e-20    1.877e-17  11.63 
SPEC:  3875.15  3885.03   1.930e-17   4.391e-20    1.927e-17  11.50 
SPEC:  3885.03  3894.92   1.983e-17   4.221e-20    1.984e-17  11.38 
SPEC:  3894.92  3904.81   2.048e-17   4.487e-20    2.047e-17  11.48 
SPEC:  3904.81  3915.03   2.127e-17   4.662e-20    2.117e-17  11.53 
SPEC:  3915.03  3925.24   2.199e-17   4.496e-20    2.195e-17  11.40 
SPEC:  3935.13  3945.02   2.367e-17   4.475e-20    2.366e-17  11.29 
SPEC:  3945.02  3954.91   2.464e-17   4.618e-20    2.460e-17  11.31 
SPEC:  3954.91  3964.79   2.562e-17   4.333e-20    2.561e-17  11.11 
SPEC:  3964.79  3975.01   2.663e-17   4.111e-20    2.669e-17  10.94 
SPEC:  3975.01  3985.23   2.772e-17   4.683e-20    2.772e-17  11.17 
SPEC:  3985.23  3995.12   2.843e-17   4.880e-20    2.840e-17  11.23 
SPEC:  3995.12  4005.00   2.875e-17   4.889e-20    2.873e-17  11.24 
SPEC:  4005.00  4014.89   2.872e-17   4.854e-20    2.871e-17  11.25 
SPEC:  4014.89  4024.78   2.836e-17   4.782e-20    2.834e-17  11.27 
SPEC:  4024.78  4035.00   2.758e-17   4.632e-20    2.762e-17  11.28 
SPEC:  4035.00  4045.21   2.658e-17   4.528e-20    2.661e-17  11.33 
SPEC:  4045.21  4055.10   2.609e-17   4.447e-20    2.606e-17  11.36 
SPEC:  4055.10  4064.99   2.633e-17   4.383e-20    2.633e-17  11.32 
SPEC:  4064.99  4074.88   2.744e-17   4.415e-20    2.741e-17  11.27 
SPEC:  4074.88  4084.77   2.927e-17   4.509e-20    2.930e-17  11.19 
SPEC:  4084.77  4094.98   3.197e-17   4.516e-20    3.205e-17  11.02 
SPEC:  4094.98  4105.20   3.574e-17   4.350e-20    3.570e-17  10.72 
SPEC:  4105.20  4115.09   3.969e-17   4.973e-20    3.967e-17  10.80 
SPEC:  4115.09  4124.98   4.304e-17   5.299e-20    4.312e-17  10.78 
SPEC:  4124.98  4134.86   4.590e-17   5.452e-20    4.599e-17  10.72 
SPEC:  4134.86  4144.75   4.829e-17   5.572e-20    4.829e-17  10.67 
SPEC:  4144.75  4154.97   5.006e-17   5.637e-20    5.006e-17  10.64 
SPEC:  4154.97  4165.19   5.115e-17   5.668e-20    5.123e-17  10.62 
SPEC:  4165.19  4175.07   5.176e-17   5.610e-20    5.185e-17  10.59 
SPEC:  4175.07  4184.96   5.229e-17   5.603e-20    5.232e-17  10.58 
SPEC:  4184.96  4194.85   5.290e-17   5.604e-20    5.285e-17  10.57 
SPEC:  4194.85  4204.74   5.336e-17   5.562e-20    5.344e-17  10.55 
SPEC:  4204.74  4214.95   5.414e-17   5.573e-20    5.410e-17  10.54 
SPEC:  4214.95  4225.17   5.480e-17   5.550e-20    5.483e-17  10.51 
SPEC:  4225.17  4235.06   5.573e-17   5.562e-20    5.561e-17  10.50 
SPEC:  4235.06  4244.95   5.649e-17   5.607e-20    5.654e-17  10.49 
SPEC:  4244.95  4254.83   5.778e-17   5.616e-20    5.776e-17  10.46 
SPEC:  4254.83  4264.72   5.939e-17   5.673e-20    5.930e-17  10.44 
