SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15bc
RA: 61.5609874
DEC: -8.8856098
MWEBV: 0.037 # MW E(B-V)
FILTERS: griz
REDSHIFT_HELIO: 0.03671 +- 0.00010
REDSHIFT_CMB: 0.03639 +- 0.00010
VPEC: -468.061
VPEC_ERR: 250.000
SEARCH_PEAKMJD: 57046.21469
HOSTGAL_LOGMASS: 10.187 +- 0.011
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
#==============================
NOBS: 32
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS: 57042.21948 PS1-g VOID 12357.885 181.802 17.2700 0.0160 1.88
OBS: 57044.21920 PS1-g VOID 13334.795 204.833 17.1880 0.0170 1.52
OBS: 57045.21516 PS1-g VOID 13938.095 214.028 17.1390 0.0170 1.75
OBS: 57046.21522 PS1-g VOID 14165.124 232.588 17.1220 0.0180 2.03
OBS: 57053.22320 PS1-g VOID 12796.580 225.708 17.2320 0.0190 2.43
OBS: 57065.22648 PS1-g VOID 5743.926 117.350 18.1020 0.0220 3.82
OBS: 57075.22582 PS1-g VOID 2623.503 87.366 18.9530 0.0360 3.40
OBS: 57042.21775 PS1-r VOID 11941.048 173.108 17.3070 0.0160 1.75
OBS: 57044.21843 PS1-r VOID 13150.852 195.932 17.2030 0.0160 1.34
OBS: 57045.21438 PS1-r VOID 13763.307 209.362 17.1530 0.0170 1.57
OBS: 57046.21469 PS1-r VOID 14378.380 225.155 17.1060 0.0170 1.90
OBS: 57053.22242 PS1-r VOID 13572.573 226.450 17.1680 0.0180 2.45
OBS: 57065.22571 PS1-r VOID 8248.801 151.097 17.7090 0.0200 3.42
OBS: 57075.22504 PS1-r VOID 6538.982 126.562 17.9610 0.0210 3.09
OBS: 57042.21634 PS1-i VOID 7976.978 119.892 17.7450 0.0160 1.42
OBS: 57044.21762 PS1-i VOID 8896.653 139.342 17.6270 0.0170 1.31
OBS: 57045.21355 PS1-i VOID 8612.261 142.482 17.6620 0.0180 1.31
OBS: 57046.21409 PS1-i VOID 8723.687 157.425 17.6480 0.0200 1.66
OBS: 57053.22160 PS1-i VOID 7498.397 147.468 17.8130 0.0210 2.25
OBS: 57065.22488 PS1-i VOID 4521.651 114.842 18.3620 0.0270 2.99
OBS: 57075.22424 PS1-i VOID 5267.310 118.900 18.1960 0.0240 2.65
OBS: 57048.26749 PS1-i VOID 8724.218 139.235 17.6480 0.0170 1.54
OBS: 57048.27874 PS1-i VOID 8787.376 139.970 17.6400 0.0170 1.47
OBS: 57048.29005 PS1-i VOID 8975.080 144.450 17.6170 0.0170 1.57
OBS: 57048.30133 PS1-i VOID 8886.817 143.061 17.6280 0.0170 1.53
OBS: 57042.21498 PS1-z VOID 7809.577 127.577 17.7680 0.0180 1.44
OBS: 57044.21684 PS1-z VOID 8364.456 137.980 17.6940 0.0180 1.17
OBS: 57045.21278 PS1-z VOID 8215.270 151.657 17.7130 0.0200 1.32
OBS: 57046.21355 PS1-z VOID 8290.246 175.597 17.7040 0.0230 1.49
OBS: 57053.22082 PS1-z VOID 7341.960 155.949 17.8350 0.0230 2.25
OBS: 57065.22410 PS1-z VOID 5320.983 169.115 18.1850 0.0340 2.93
OBS: 57075.22345 PS1-z VOID 5226.652 151.032 18.2040 0.0310 2.60
END:
