SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS16aer
RA: 163.7424754
DEC: 14.2716397
MWEBV: 0.020 # MW E(B-V)
FILTERS: griz
REDSHIFT_HELIO: 0.05547 +- 0.00001
REDSHIFT_CMB: 0.05662 +- 0.00001
VPEC: -143.451
VPEC_ERR: 250.000
SEARCH_PEAKMJD: 57437.41048
HOSTGAL_LOGMASS: 11.030 +- 0.012
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
#==============================
NOBS: 40
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS: 57427.43336 PS1-g VOID 4539.369 131.559 18.3580 0.0310 1.93
OBS: 57432.53251 PS1-g VOID 6059.570 155.658 18.0440 0.0280 1.97
OBS: 57438.42545 PS1-g VOID 5735.287 174.814 18.1040 0.0330 1.41
OBS: 57445.55567 PS1-g VOID 3634.633 142.881 18.5990 0.0420 1.68
OBS: 57450.33919 PS1-g VOID 2478.057 114.507 19.0150 0.0500 2.70
OBS: 57458.39988 PS1-g VOID 1230.298 114.127 19.7750 0.1000 3.14
OBS: 57475.32167 PS1-g VOID 339.200 90.108 21.1740 0.2870 2.42
OBS: 57427.43375 PS1-r VOID 4564.178 118.932 18.3520 0.0280 1.77
OBS: 57432.53289 PS1-r VOID 5942.715 138.937 18.0650 0.0250 1.74
OBS: 57438.42584 PS1-r VOID 5879.260 151.364 18.0770 0.0280 1.53
OBS: 57445.55608 PS1-r VOID 4225.244 122.081 18.4350 0.0310 1.45
OBS: 57450.33959 PS1-r VOID 3444.626 118.172 18.6570 0.0370 2.12
OBS: 57458.40025 PS1-r VOID 2631.890 119.749 18.9490 0.0490 3.00
OBS: 57475.32206 PS1-r VOID 1328.780 87.925 19.6910 0.0710 2.23
OBS: 57437.42272 PS1-r VOID 6139.984 123.806 18.0300 0.0220 2.48
OBS: 57437.43556 PS1-r VOID 6019.432 123.616 18.0510 0.0220 2.56
OBS: 57444.49448 PS1-r VOID 4605.579 106.502 18.3420 0.0250 2.51
OBS: 57444.50627 PS1-r VOID 4657.371 126.848 18.3300 0.0290 3.29
OBS: 57444.50691 PS1-r VOID 4367.970 117.788 18.3990 0.0290 3.00
OBS: 57444.51796 PS1-r VOID 4767.352 115.122 18.3040 0.0260 2.49
OBS: 57444.52963 PS1-r VOID 4642.336 109.026 18.3330 0.0250 2.28
OBS: 57444.53029 PS1-r VOID 4395.489 108.645 18.3920 0.0270 2.43
OBS: 57444.51860 PS1-r VOID 4083.716 113.075 18.4720 0.0300 2.68
OBS: 57427.43411 PS1-i VOID 3722.770 115.729 18.5730 0.0340 1.49
OBS: 57432.53326 PS1-i VOID 3987.407 126.178 18.4980 0.0340 1.78
OBS: 57438.42620 PS1-i VOID 3851.693 121.103 18.5360 0.0340 1.35
OBS: 57445.55643 PS1-i VOID 2476.752 104.818 19.0150 0.0460 1.39
OBS: 57450.33995 PS1-i VOID 1954.502 118.934 19.2720 0.0660 2.40
OBS: 57458.40063 PS1-i VOID 2345.805 128.980 19.0740 0.0590 2.86
OBS: 57475.32241 PS1-i VOID 1050.071 94.520 19.9470 0.0970 2.01
OBS: 57500.35061 PS1-i VOID 444.839 61.001 20.8790 0.1480 1.63
OBS: 57500.36345 PS1-i VOID 449.109 63.874 20.8690 0.1540 1.60
OBS: 57500.37609 PS1-i VOID 535.285 72.079 20.6790 0.1450 1.51
OBS: 57500.38877 PS1-i VOID 462.884 72.203 20.8360 0.1680 1.55
OBS: 57432.53362 PS1-z VOID 3439.185 146.992 18.6590 0.0460 1.50
OBS: 57438.42657 PS1-z VOID 3347.596 147.094 18.6880 0.0470 1.41
OBS: 57445.55679 PS1-z VOID 2047.442 124.512 19.2220 0.0660 1.34
OBS: 57450.34031 PS1-z VOID 2245.550 208.725 19.1220 0.1000 2.62
OBS: 57458.40100 PS1-z VOID 2179.777 187.059 19.1540 0.0930 2.77
OBS: 57475.32278 PS1-z VOID 1280.886 151.510 19.7310 0.1280 1.95
END_PHOTOMETRY:

# =============================================
NSPECTRA: 1 


NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR SPECFLAG

SPECTRUM_ID: 1
SPECTRUM_NLAM: 1699
SPECTRUM_MJD:  57427.00
SPEC:   3703.00   3705.00 1.52859e+00 5.94403e-02 1
SPEC:   3705.00   3707.00 1.52873e+00 5.91712e-02 1
SPEC:   3707.00   3709.00 1.55511e+00 5.88940e-02 1
SPEC:   3709.00   3711.00 1.52208e+00 5.86089e-02 1
SPEC:   3711.00   3713.00 1.53689e+00 5.83159e-02 1
SPEC:   3713.00   3715.00 1.68481e+00 5.80150e-02 1
SPEC:   3715.00   3717.00 1.62498e+00 5.77063e-02 1
SPEC:   3717.00   3719.00 1.55214e+00 5.73900e-02 1
SPEC:   3719.00   3721.00 1.63792e+00 5.70660e-02 1
SPEC:   3721.00   3723.00 1.70180e+00 5.67346e-02 1
SPEC:   3723.00   3725.00 1.52846e+00 5.63959e-02 1
SPEC:   3725.00   3727.00 1.52505e+00 5.60499e-02 1
SPEC:   3727.00   3729.00 1.55225e+00 5.56969e-02 1
SPEC:   3729.00   3731.00 1.62545e+00 5.53370e-02 1
SPEC:   3731.00   3733.00 1.62431e+00 5.49705e-02 1
SPEC:   3733.00   3735.00 1.54918e+00 5.45974e-02 1
SPEC:   3735.00   3737.00 1.47625e+00 5.42181e-02 1
SPEC:   3737.00   3739.00 1.61749e+00 5.38328e-02 1
SPEC:   3739.00   3741.00 1.61395e+00 5.34416e-02 1
SPEC:   3741.00   3743.00 1.48104e+00 5.30448e-02 1
SPEC:   3743.00   3745.00 1.58529e+00 5.26428e-02 1
SPEC:   3745.00   3747.00 1.48836e+00 5.22357e-02 1
SPEC:   3747.00   3749.00 1.47809e+00 5.18239e-02 1
SPEC:   3749.00   3751.00 1.49136e+00 5.14076e-02 1
SPEC:   3751.00   3753.00 1.47254e+00 5.09871e-02 1
SPEC:   3753.00   3755.00 1.45048e+00 5.05628e-02 1
SPEC:   3755.00   3757.00 1.41832e+00 5.01350e-02 1
SPEC:   3757.00   3759.00 1.57066e+00 4.97040e-02 1
SPEC:   3759.00   3761.00 1.51587e+00 4.92700e-02 1
SPEC:   3761.00   3763.00 1.43341e+00 4.88335e-02 1
SPEC:   3763.00   3765.00 1.49044e+00 4.83948e-02 1
SPEC:   3765.00   3767.00 1.42268e+00 4.79542e-02 1
SPEC:   3767.00   3769.00 1.51308e+00 4.75121e-02 1
SPEC:   3769.00   3771.00 1.48375e+00 4.70687e-02 1
SPEC:   3771.00   3773.00 1.47909e+00 4.66245e-02 1
SPEC:   3773.00   3775.00 1.41335e+00 4.61797e-02 1
SPEC:   3775.00   3777.00 1.39198e+00 4.57347e-02 1
SPEC:   3777.00   3779.00 1.32943e+00 4.52898e-02 1
SPEC:   3779.00   3781.00 1.35432e+00 4.48453e-02 1
SPEC:   3781.00   3783.00 1.27015e+00 4.44015e-02 1
SPEC:   3783.00   3785.00 1.28946e+00 4.39588e-02 1
SPEC:   3785.00   3787.00 1.30374e+00 4.35173e-02 1
SPEC:   3787.00   3789.00 1.28773e+00 4.30775e-02 1
SPEC:   3789.00   3791.00 1.27098e+00 4.26395e-02 1
SPEC:   3791.00   3793.00 1.27710e+00 4.22036e-02 1
SPEC:   3793.00   3795.00 1.27462e+00 4.17701e-02 1
SPEC:   3795.00   3797.00 1.23202e+00 4.13392e-02 1
SPEC:   3797.00   3799.00 1.22787e+00 4.09110e-02 1
SPEC:   3799.00   3801.00 1.21655e+00 4.04859e-02 1
SPEC:   3801.00   3803.00 1.22823e+00 4.00639e-02 1
SPEC:   3803.00   3805.00 1.15012e+00 3.96453e-02 1
SPEC:   3805.00   3807.00 1.22727e+00 3.92302e-02 1
SPEC:   3807.00   3809.00 1.23278e+00 3.88187e-02 1
SPEC:   3809.00   3811.00 1.12138e+00 3.84110e-02 1
SPEC:   3811.00   3813.00 1.10285e+00 3.80072e-02 1
SPEC:   3813.00   3815.00 1.08165e+00 3.76074e-02 1
SPEC:   3815.00   3817.00 1.05646e+00 3.72116e-02 1
SPEC:   3817.00   3819.00 9.67118e-01 3.68200e-02 1
SPEC:   3819.00   3821.00 9.37593e-01 3.64326e-02 1
SPEC:   3821.00   3823.00 9.55059e-01 3.60495e-02 1
