SURVEY: CFA3
SNID: 2003fa
IAUC: UNKNOWN
RA: 266.0321700
DEC: 40.8810000
MWEBV: 0.034 # MW E(B-V)
REDSHIFT_HELIO: 0.00600 +- 0.00100
REDSHIFT_CMB: 0.00578 +- 0.00096
VPEC: -447.667
VPEC_ERR: 250.000
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 52807.261
FILTERS: ABIRUVabcdefhjkltuvwxLC

#==============================
NOBS: 92
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 52797.365 CFA3S-B/b VOID 11199.5328 185.6658
OBS: 52798.375 CFA3S-B/b VOID 12965.8174 203.0058
OBS: 52801.192 CFA3S-B/b VOID 15374.4609 396.4766
OBS: 52802.174 CFA3S-B/b VOID 15445.4259 483.6581
OBS: 52814.355 CFA3S-B/b VOID 15559.6529 243.6175
OBS: 52816.444 CFA3S-B/b VOID 12858.7835 343.4453
OBS: 52818.196 CFA3S-B/b VOID 11492.1132 338.6956
OBS: 52819.347 CFA3S-B/b VOID 11035.7005 162.6221
OBS: 52820.284 CFA3S-B/b VOID 10176.5341 178.0792
OBS: 52823.187 CFA3S-B/b VOID 7705.4835 149.0318
OBS: 52825.167 CFA3S-B/b VOID 6432.7978 130.3413
OBS: 52827.240 CFA3S-B/b VOID 5105.0488 136.3508
OBS: 52830.237 CFA3S-B/b VOID 2749.1592 293.7092
OBS: 52849.363 CFA3S-B/b VOID 1155.5797 73.4359
OBS: 52851.143 CFA3S-B/b VOID 1248.5326 65.5442
OBS: 52886.141 CFA3S-B/b VOID 594.2920 61.3024
OBS: 52887.198 CFA3S-B/b VOID 616.5949 127.2060
OBS: 52900.107 CFA3S-B/b VOID 655.2392 51.8989
OBS: 52797.371 CFA3S-I/e VOID 10539.0134 242.6608
OBS: 52798.380 CFA3S-I/e VOID 11716.5556 269.7737
OBS: 52801.198 CFA3S-I/e VOID 14073.4301 401.8105
OBS: 52802.180 CFA3S-I/e VOID 15275.6591 365.7909
OBS: 52814.361 CFA3S-I/e VOID 11355.3352 219.6235
OBS: 52816.450 CFA3S-I/e VOID 9682.7777 267.5352
OBS: 52818.202 CFA3S-I/e VOID 7791.1212 322.9030
OBS: 52819.354 CFA3S-I/e VOID 7827.0834 187.4273
OBS: 52820.291 CFA3S-I/e VOID 7345.1380 182.6515
OBS: 52823.194 CFA3S-I/e VOID 6873.8486 208.9169
OBS: 52825.175 CFA3S-I/e VOID 6474.4064 256.4059
OBS: 52827.248 CFA3S-I/e VOID 6969.4733 231.0799
OBS: 52830.244 CFA3S-I/e VOID 6631.3196 323.6946
OBS: 52849.371 CFA3S-I/e VOID 5095.6543 225.2687
OBS: 52851.151 CFA3S-I/e VOID 4970.4986 233.4693
OBS: 52886.148 CFA3S-I/e VOID 1375.3080 224.1986
OBS: 52887.206 CFA3S-I/e VOID 1312.1998 209.0767
OBS: 52797.369 CFA3S-R/d VOID 11365.7944 167.4864
OBS: 52798.379 CFA3S-R/d VOID 12717.4432 199.1170
OBS: 52799.178 CFA3S-R/d VOID 14348.2786 277.5101
OBS: 52801.196 CFA3S-R/d VOID 16641.7811 260.5604
OBS: 52802.178 CFA3S-R/d VOID 17571.1350 291.2943
OBS: 52803.185 CFA3S-R/d VOID 18063.4127 332.7281
OBS: 52809.220 CFA3S-R/d VOID 20417.3706 413.6968
OBS: 52809.232 CFA3S-R/d VOID 19787.9049 255.1452
OBS: 52813.213 CFA3S-R/d VOID 18433.1606 237.6772
OBS: 52814.359 CFA3S-R/d VOID 17848.4212 246.5759
OBS: 52816.449 CFA3S-R/d VOID 15848.9250 291.9372
OBS: 52818.201 CFA3S-R/d VOID 14125.3694 195.1420
OBS: 52819.353 CFA3S-R/d VOID 13576.8744 200.0688
OBS: 52820.290 CFA3S-R/d VOID 12740.8915 164.2811
OBS: 52823.193 CFA3S-R/d VOID 11015.3884 152.1776
OBS: 52825.173 CFA3S-R/d VOID 10844.2571 229.7139
OBS: 52827.246 CFA3S-R/d VOID 10129.7754 186.5905
OBS: 52830.242 CFA3S-R/d VOID 9019.8603 240.9114
OBS: 52849.369 CFA3S-R/d VOID 5176.0660 138.2476
OBS: 52851.149 CFA3S-R/d VOID 4764.3078 105.3103
OBS: 52886.146 CFA3S-R/d VOID 1761.9752 115.2173
OBS: 52887.204 CFA3S-R/d VOID 1592.2081 140.7767
OBS: 52798.371 CFA3S-U/a VOID 20873.7270 557.5370
OBS: 52801.189 CFA3S-U/a VOID 27516.9313 861.6970
