SURVEY: CFA3
SNID: 2005el
IAUC: UNKNOWN
RA: 77.9530000
DEC: 5.1942800
MWEBV: 0.098 # MW E(B-V)
REDSHIFT_HELIO: 0.01491 +- 0.00100
REDSHIFT_CMB: 0.01490 +- 0.00100
VPEC: -44.972
VPEC_ERR: 250.000
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53646.622
FILTERS: ABIRUVabcdefhjkltuvwxLC

#==============================
NOBS: 395
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53640.447 CFA3K-B/h VOID 48977.8667 496.1948
OBS: 53641.466 CFA3K-B/h VOID 57596.9996 530.4684
OBS: 53645.511 CFA3K-B/h VOID 75300.8508 693.5208
OBS: 53650.432 CFA3K-B/h VOID 68359.6548 629.5924
OBS: 53656.417 CFA3K-B/h VOID 44258.8234 407.6238
OBS: 53666.485 CFA3K-B/h VOID 13073.7406 192.6546
OBS: 53667.402 CFA3K-B/h VOID 11846.7674 196.3957
OBS: 53667.419 CFA3K-B/h VOID 12496.8297 195.6629
OBS: 53669.505 CFA3K-B/h VOID 9611.6921 203.6045
OBS: 53676.377 CFA3K-B/h VOID 5855.9838 156.4075
OBS: 53677.428 CFA3K-B/h VOID 5576.9900 148.9558
OBS: 53677.444 CFA3K-B/h VOID 5602.7321 149.6434
OBS: 53678.438 CFA3K-B/h VOID 5360.4329 148.1088
OBS: 53679.423 CFA3K-B/h VOID 5025.7382 111.0889
OBS: 53680.456 CFA3K-B/h VOID 4085.0734 142.9694
OBS: 53683.450 CFA3K-B/h VOID 4021.6092 333.3512
OBS: 53684.473 CFA3K-B/h VOID 4562.4683 147.0712
OBS: 53685.432 CFA3K-B/h VOID 3966.4306 127.8579
OBS: 53685.448 CFA3K-B/h VOID 4066.3042 131.0773
OBS: 53686.413 CFA3K-B/h VOID 4184.0789 146.4344
OBS: 53686.429 CFA3K-B/h VOID 4130.4737 140.7542
OBS: 53686.446 CFA3K-B/h VOID 3999.4462 117.8717
OBS: 53687.437 CFA3K-B/h VOID 3981.0704 164.9955
OBS: 53687.454 CFA3K-B/h VOID 4055.0841 160.5935
OBS: 53688.420 CFA3K-B/h VOID 3995.7643 154.5642
OBS: 53688.439 CFA3K-B/h VOID 4562.4683 159.6773
OBS: 53688.456 CFA3K-B/h VOID 4226.6848 171.2822
OBS: 53695.449 CFA3K-B/h VOID 3525.3307 175.3288
OBS: 53696.442 CFA3K-B/h VOID 3320.4723 140.6751
OBS: 53706.432 CFA3K-B/h VOID 2739.0494 138.7465
OBS: 53707.352 CFA3K-B/h VOID 2539.8020 135.6711
OBS: 53713.320 CFA3K-B/h VOID 2774.5967 148.2134
OBS: 53714.291 CFA3K-B/h VOID 2394.4174 136.7260
OBS: 53725.350 CFA3K-B/h VOID 2128.1383 150.9212
OBS: 53725.368 CFA3K-B/h VOID 1926.6368 140.1802
OBS: 53727.265 CFA3K-B/h VOID 1900.2024 129.5064
OBS: 53729.299 CFA3K-B/h VOID 1786.4870 134.9191
OBS: 53731.317 CFA3K-B/h VOID 1658.0585 97.7326
OBS: 53737.368 CFA3K-B/h VOID 1433.5072 137.3070
OBS: 53640.450 CFA3K-U/f VOID 85035.4472 1488.0903
OBS: 53641.470 CFA3K-U/f VOID 100646.8066 1668.5844
OBS: 53650.435 CFA3K-U/f VOID 78922.3485 1381.1132
OBS: 53656.420 CFA3K-U/f VOID 41686.9383 883.0870
OBS: 53663.395 CFA3K-U/f VOID 12659.0175 431.3973
OBS: 53663.399 CFA3K-U/f VOID 12811.5006 424.7938
OBS: 53663.420 CFA3K-U/f VOID 14668.9828 472.8721
OBS: 53663.424 CFA3K-U/f VOID 13715.1323 480.0199
OBS: 53665.409 CFA3K-U/f VOID 10365.7326 439.1709
OBS: 53665.413 CFA3K-U/f VOID 10356.1898 419.6897
OBS: 53665.425 CFA3K-U/f VOID 11282.3612 384.4832
OBS: 53665.429 CFA3K-U/f VOID 10018.4377 406.0022
OBS: 53666.478 CFA3K-U/f VOID 10000.0000 368.4136
OBS: 53666.481 CFA3K-U/f VOID 8798.3250 356.5565
OBS: 53667.395 CFA3K-U/f VOID 8741.7826 346.2136
OBS: 53667.399 CFA3K-U/f VOID 7848.7410 318.0741
OBS: 53667.412 CFA3K-U/f VOID 8218.6408 363.3431
OBS: 53667.415 CFA3K-U/f VOID 7291.2166 362.6348
