SURVEY: CFA3
SNID: 2005iq
IAUC: UNKNOWN
RA: 359.6354200
DEC: -18.7091700
MWEBV: 0.019 # MW E(B-V)
REDSHIFT_HELIO: 0.03404 +- 0.00100
REDSHIFT_CMB: 0.03295 +- 0.00097
VPEC: -191.975
VPEC_ERR: 250.000
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53687.726
FILTERS: ABIRUVabcdefhjkltuvwxLC

#==============================
NOBS: 181
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53682.249 CFA3K-B/h VOID 14282.3566 762.9349
OBS: 53687.135 CFA3K-B/h VOID 17684.7885 879.5353
OBS: 53688.210 CFA3K-B/h VOID 17522.6533 742.3647
OBS: 53689.141 CFA3K-B/h VOID 17013.7431 532.7683
OBS: 53690.211 CFA3K-B/h VOID 15631.4715 748.6224
OBS: 53691.213 CFA3K-B/h VOID 15360.3060 580.0205
OBS: 53692.206 CFA3K-B/h VOID 14427.7918 358.7759
OBS: 53693.208 CFA3K-B/h VOID 14467.7120 479.6915
OBS: 53694.194 CFA3K-B/h VOID 13452.4027 346.9106
OBS: 53695.193 CFA3K-B/h VOID 12382.2581 319.3137
OBS: 53696.188 CFA3K-B/h VOID 10984.9947 263.0467
OBS: 53697.136 CFA3K-B/h VOID 10558.4424 291.7298
OBS: 53707.162 CFA3K-B/h VOID 3480.1652 121.7988
OBS: 53729.123 CFA3K-B/h VOID 839.4597 82.7262
OBS: 53731.109 CFA3K-B/h VOID 947.9815 89.9284
OBS: 53682.176 CFA3K-U/f VOID 21144.6256 3563.9103
OBS: 53688.206 CFA3K-U/f VOID 21917.9534 3694.2541
OBS: 53689.145 CFA3K-U/f VOID 21144.6256 3057.5624
OBS: 53692.203 CFA3K-U/f VOID 15121.6785 2005.5716
OBS: 53693.201 CFA3K-U/f VOID 12624.0876 1976.6264
OBS: 53695.189 CFA3K-U/f VOID 9532.3504 1369.6206
OBS: 53707.165 CFA3K-U/f VOID 1676.4863 355.1432
OBS: 53682.241 CFA3K-V/j VOID 12894.3617 380.0226
OBS: 53688.200 CFA3K-V/j VOID 17076.5387 487.5523
OBS: 53689.124 CFA3K-V/j VOID 17155.3612 331.8018
OBS: 53689.133 CFA3K-V/j VOID 17394.0152 400.4972
OBS: 53691.203 CFA3K-V/j VOID 16611.1563 305.9775
OBS: 53692.197 CFA3K-V/j VOID 15922.0823 366.6059
OBS: 53693.199 CFA3K-V/j VOID 15805.1947 349.3580
OBS: 53694.184 CFA3K-V/j VOID 15205.4706 322.0975
OBS: 53695.183 CFA3K-V/j VOID 14547.8849 267.9720
OBS: 53696.178 CFA3K-V/j VOID 13601.9090 250.5472
OBS: 53707.154 CFA3K-V/j VOID 7021.0143 155.1925
OBS: 53714.111 CFA3K-V/j VOID 3959.1309 196.9034
OBS: 53729.115 CFA3K-V/j VOID 1946.2555 100.3801
OBS: 53731.101 CFA3K-V/j VOID 1955.2391 108.0465
OBS: 53682.246 CFA3K-i/l VOID 9298.2245 471.0016
OBS: 53688.198 CFA3K-i/l VOID 9772.3727 288.0114
OBS: 53689.129 CFA3K-i/l VOID 10176.5372 281.1777
OBS: 53689.139 CFA3K-i/l VOID 10036.9099 305.0518
OBS: 53690.199 CFA3K-i/l VOID 9375.6206 302.2231
OBS: 53691.201 CFA3K-i/l VOID 9349.7505 258.3336
OBS: 53692.195 CFA3K-i/l VOID 8879.7354 237.1689
OBS: 53693.197 CFA3K-i/l VOID 8511.3808 266.5254
OBS: 53694.183 CFA3K-i/l VOID 7648.9183 225.4289
OBS: 53695.182 CFA3K-i/l VOID 7351.9073 196.3621
OBS: 53696.177 CFA3K-i/l VOID 6356.2361 169.7687
OBS: 53697.134 CFA3K-i/l VOID 5500.4728 283.6924
OBS: 53707.159 CFA3K-i/l VOID 5219.1529 158.6257
OBS: 53714.116 CFA3K-i/l VOID 4803.9671 176.9781
OBS: 53729.121 CFA3K-i/l VOID 2305.6853 116.7945
OBS: 53731.106 CFA3K-i/l VOID 2516.5179 245.6776
OBS: 53682.244 CFA3K-r/k VOID 13489.6298 385.1424
OBS: 53689.127 CFA3K-r/k VOID 16550.0775 381.0655
OBS: 53689.136 CFA3K-r/k VOID 16718.6047 400.3437
OBS: 53690.198 CFA3K-r/k VOID 15966.1432 499.9638
OBS: 53691.200 CFA3K-r/k VOID 16641.7901 367.8501
OBS: 53692.193 CFA3K-r/k VOID 15531.0215 328.9936
OBS: 53693.195 CFA3K-r/k VOID 15275.6619 351.7221
OBS: 53694.181 CFA3K-r/k VOID 14112.3721 337.9349
OBS: 53695.180 CFA3K-r/k VOID 13564.3825 287.3343
OBS: 53696.175 CFA3K-r/k VOID 12359.4754 273.1938
OBS: 53697.132 CFA3K-r/k VOID 11803.2075 293.5104
OBS: 53707.157 CFA3K-r/k VOID 8113.3469 186.8098
OBS: 53714.114 CFA3K-r/k VOID 5855.9860 177.9810
OBS: 53729.118 CFA3K-r/k VOID 2759.3071 109.2768
OBS: 53731.104 CFA3K-r/k VOID 2443.4307 157.5280
OBS: 53682.0 CSP-u/t VOID 11178.9 178.863
OBS: 53683.0 CSP-u/t VOID 12156.3 170.188
OBS: 53684.1 CSP-u/t VOID 12612.5 189.187
OBS: 53687.0 CSP-u/t VOID 11923.4 226.545
OBS: 53689.1 CSP-u/t VOID 10626.7 212.535
OBS: 53690.1 CSP-u/t VOID 9629.42 202.218
OBS: 53694.1 CSP-u/t VOID 6148.94 129.128
OBS: 53695.1 CSP-u/t VOID 5780.96 115.619
OBS: 53698.1 CSP-u/t VOID 3915.62 117.468
OBS: 53699.1 CSP-u/t VOID 3159.37 101.100
OBS: 53702.1 CSP-u/t VOID 2161.72 90.7924
OBS: 53706.1 CSP-u/t VOID 1370.25 86.3257
OBS: 53721.1 CSP-u/t VOID 505.825 98.6359
OBS: 53726.1 CSP-u/t VOID 555.137 94.9284
OBS: 53730.1 CSP-u/t VOID 359.088 74.6902
OBS: 53738.0 CSP-u/t VOID 225.320 57.0060
OBS: 53682.0 CSP-B/u VOID 14229.8 128.068
OBS: 53683.0 CSP-B/u VOID 15631.5 140.683
OBS: 53684.1 CSP-B/u VOID 16826.8 168.268
OBS: 53687.0 CSP-B/u VOID 18399.3 183.993
OBS: 53689.1 CSP-B/u VOID 17980.4 197.785
OBS: 53690.1 CSP-B/u VOID 17330.1 155.971
OBS: 53694.1 CSP-B/u VOID 13589.4 122.305
OBS: 53695.1 CSP-B/u VOID 12589.3 113.303
OBS: 53698.1 CSP-B/u VOID 9444.96 85.0046
OBS: 53699.1 CSP-B/u VOID 8598.06 85.9806
OBS: 53702.1 CSP-B/u VOID 6053.41 72.6409
OBS: 53706.1 CSP-B/u VOID 3688.08 62.6973
OBS: 53716.1 CSP-B/u VOID 1786.49 139.346
OBS: 53721.1 CSP-B/u VOID 1302.57 75.5489
OBS: 53726.1 CSP-B/u VOID 1051.96 51.5461
OBS: 53730.1 CSP-B/u VOID 878.213 27.2246
OBS: 53738.0 CSP-B/u VOID 739.265 34.7455
OBS: 53746.0 CSP-B/u VOID 719.780 83.4945
OBS: 53755.0 CSP-B/u VOID 604.226 36.2536
OBS: 53682.0 CSP-o/v VOID 13489.6 121.407
OBS: 53683.0 CSP-o/v VOID 14723.1 161.954
OBS: 53684.1 CSP-o/v VOID 15805.2 158.052
OBS: 53687.0 CSP-o/v VOID 17766.4 106.599
OBS: 53689.1 CSP-o/v VOID 18046.8 216.562
OBS: 53690.1 CSP-o/v VOID 17963.9 179.639
