SURVEY: CFA3
SNID: 2007co
IAUC: UNKNOWN
RA: 275.7650000
DEC: 29.8970800
MWEBV: 0.097 # MW E(B-V)
REDSHIFT_HELIO: 0.02696 +- 0.00100
REDSHIFT_CMB: 0.02656 +- 0.00099
VPEC: -283.193
VPEC_ERR: 250.000
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 54265.182
FILTERS: ABIRUVabcdefhjkltuvwxLC

#==============================
NOBS: 122
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 54259.384 CFA3K-B/h VOID 14321.8741 224.2376
OBS: 54260.383 CFA3K-B/h VOID 15545.3270 286.3449
OBS: 54261.410 CFA3K-B/h VOID 16734.0040 262.0043
OBS: 54264.175 CFA3K-B/h VOID 17426.0865 320.9885
OBS: 54265.372 CFA3K-B/h VOID 17652.2419 243.8657
OBS: 54266.307 CFA3K-B/h VOID 17171.1688 284.6636
OBS: 54267.343 CFA3K-B/h VOID 16550.0711 243.8818
OBS: 54267.407 CFA3K-B/h VOID 16611.1560 260.0809
OBS: 54269.467 CFA3K-B/h VOID 15559.6514 458.5740
OBS: 54270.198 CFA3K-B/h VOID 14454.3930 226.3124
OBS: 54272.352 CFA3K-B/h VOID 12382.2581 182.4650
OBS: 54273.337 CFA3K-B/h VOID 11868.6104 196.7578
OBS: 54276.335 CFA3K-B/h VOID 8871.5573 187.9262
OBS: 54277.347 CFA3K-B/h VOID 7530.0851 235.7971
OBS: 54277.424 CFA3K-B/h VOID 7741.0499 185.3672
OBS: 54278.319 CFA3K-B/h VOID 7698.3888 241.0674
OBS: 54279.353 CFA3K-B/h VOID 6619.1140 237.7520
OBS: 54280.294 CFA3K-B/h VOID 5633.7797 228.3033
OBS: 54284.250 CFA3K-B/h VOID 4199.5220 375.1727
OBS: 54288.404 CFA3K-B/h VOID 2495.7430 158.6020
OBS: 54290.194 CFA3K-B/h VOID 2316.3270 149.3336
OBS: 54292.314 CFA3K-B/h VOID 2013.7236 96.4413
OBS: 54292.381 CFA3K-B/h VOID 1919.5519 123.7535
OBS: 54260.387 CFA3K-U/f VOID 12870.6358 533.4432
OBS: 54260.390 CFA3K-U/f VOID 12531.4117 565.5510
OBS: 54261.414 CFA3K-U/f VOID 13182.5674 509.9469
OBS: 54261.417 CFA3K-U/f VOID 13243.4154 463.5102
OBS: 54264.179 CFA3K-U/f VOID 13526.9536 560.6453
OBS: 54265.376 CFA3K-U/f VOID 13255.6186 476.1462
OBS: 54266.311 CFA3K-U/f VOID 11879.5503 448.6003
OBS: 54267.347 CFA3K-U/f VOID 11967.4053 462.9403
OBS: 54267.411 CFA3K-U/f VOID 11534.5326 467.4427
OBS: 54270.202 CFA3K-U/f VOID 9871.8830 509.1711
OBS: 54272.356 CFA3K-U/f VOID 7177.9429 330.5565
OBS: 54273.341 CFA3K-U/f VOID 7092.5107 411.5440
OBS: 54276.339 CFA3K-U/f VOID 4975.0792 416.9818
OBS: 54277.350 CFA3K-U/f VOID 4062.5620 471.4615
OBS: 54277.428 CFA3K-U/f VOID 4325.1383 485.9992
OBS: 54279.357 CFA3K-U/f VOID 4145.7203 721.6681
OBS: 54282.293 CFA3K-U/f VOID 3232.9575 568.7338
OBS: 54288.407 CFA3K-U/f VOID 1269.4044 310.9978
OBS: 54292.318 CFA3K-U/f VOID 1057.7913 227.0030
OBS: 54259.381 CFA3K-V/j VOID 16054.6133 236.5808
OBS: 54260.379 CFA3K-V/j VOID 17266.3224 254.4365
OBS: 54261.406 CFA3K-V/j VOID 18080.0597 233.1243
OBS: 54264.172 CFA3K-V/j VOID 20007.8240 294.8353
OBS: 54265.369 CFA3K-V/j VOID 20739.5747 248.3149
OBS: 54266.304 CFA3K-V/j VOID 20304.8535 280.5116
OBS: 54267.340 CFA3K-V/j VOID 20701.4062 266.9239
OBS: 54267.404 CFA3K-V/j VOID 20796.9601 268.1560
OBS: 54268.468 CFA3K-V/j VOID 20248.8267 391.6326
OBS: 54269.452 CFA3K-V/j VOID 20137.2357 296.7423
OBS: 54269.464 CFA3K-V/j VOID 19842.6582 328.9516
OBS: 54270.195 CFA3K-V/j VOID 19355.2978 267.3934
OBS: 54272.349 CFA3K-V/j VOID 18013.5724 215.6765
OBS: 54273.334 CFA3K-V/j VOID 16489.2102 197.4253
OBS: 54276.332 CFA3K-V/j VOID 14709.5659 203.2127
OBS: 54277.344 CFA3K-V/j VOID 13905.9237 243.3398
OBS: 54277.421 CFA3K-V/j VOID 13905.9237 217.7251
OBS: 54278.316 CFA3K-V/j VOID 13194.7099 267.3512
OBS: 54279.350 CFA3K-V/j VOID 12246.1578 248.1317
OBS: 54280.291 CFA3K-V/j VOID 10705.3252 266.2093
OBS: 54282.286 CFA3K-V/j VOID 9514.8042 254.1309
OBS: 54284.247 CFA3K-V/j VOID 9272.5643 367.2214
OBS: 54288.401 CFA3K-V/j VOID 7755.3224 192.8516
OBS: 54290.191 CFA3K-V/j VOID 7008.0930 193.6336
OBS: 54292.311 CFA3K-V/j VOID 5953.8769 148.0551
OBS: 54292.378 CFA3K-V/j VOID 6115.0478 180.2227
OBS: 54295.227 CFA3K-V/j VOID 5016.4889 207.9084
OBS: 54295.259 CFA3K-V/j VOID 5536.0481 372.2051
OBS: 54259.378 CFA3K-i/l VOID 13170.4321 194.0795
OBS: 54260.374 CFA3K-i/l VOID 13427.6507 210.2367
OBS: 54261.402 CFA3K-i/l VOID 13601.9137 225.4925
OBS: 54264.170 CFA3K-i/l VOID 12764.3886 235.1200
OBS: 54265.364 CFA3K-i/l VOID 12531.4121 207.7458
OBS: 54266.300 CFA3K-i/l VOID 12280.0466 180.9588
OBS: 54267.336 CFA3K-i/l VOID 11630.5444 407.0458
OBS: 54267.400 CFA3K-i/l VOID 11523.9140 403.3140
OBS: 54270.191 CFA3K-i/l VOID 10814.3406 189.2401
OBS: 54272.344 CFA3K-i/l VOID 9315.3682 188.7480
OBS: 54273.329 CFA3K-i/l VOID 8709.6364 160.4315
OBS: 54276.327 CFA3K-i/l VOID 6867.5215 151.7997
OBS: 54277.339 CFA3K-i/l VOID 6668.0681 196.5213
OBS: 54277.416 CFA3K-i/l VOID 6686.5181 166.2736
OBS: 54278.311 CFA3K-i/l VOID 6582.6388 151.5653
OBS: 54279.345 CFA3K-i/l VOID 6655.7963 147.1197
OBS: 54280.287 CFA3K-i/l VOID 6126.3249 174.9127
OBS: 54282.282 CFA3K-i/l VOID 6748.3877 267.2564
OBS: 54284.242 CFA3K-i/l VOID 6899.2205 254.1673
OBS: 54284.329 CFA3K-i/l VOID 6988.7584 186.6627
OBS: 54288.396 CFA3K-i/l VOID 7899.5077 203.7125
OBS: 54290.187 CFA3K-i/l VOID 8188.4184 218.7045
OBS: 54292.306 CFA3K-i/l VOID 8241.3816 166.9869
OBS: 54292.373 CFA3K-i/l VOID 8241.3816 212.5288
OBS: 54295.219 CFA3K-i/l VOID 7331.6213 155.3057
OBS: 54259.380 CFA3K-r/k VOID 16904.4107 249.1034
OBS: 54260.377 CFA3K-r/k VOID 18314.7094 253.0177
OBS: 54261.404 CFA3K-r/k VOID 19266.3760 266.1650
OBS: 54265.366 CFA3K-r/k VOID 21301.0021 255.0369
OBS: 54266.302 CFA3K-r/k VOID 21419.0417 236.7232
OBS: 54267.338 CFA3K-r/k VOID 21537.7354 357.0526
OBS: 54267.402 CFA3K-r/k VOID 21817.2514 261.2179
OBS: 54268.466 CFA3K-r/k VOID 21517.9073 376.5419
OBS: 54269.450 CFA3K-r/k VOID 20873.7285 346.0447
OBS: 54269.461 CFA3K-r/k VOID 21164.1114 409.3351
OBS: 54270.193 CFA3K-r/k VOID 20230.1933 242.2161
OBS: 54272.346 CFA3K-r/k VOID 18331.5856 219.4841
OBS: 54273.331 CFA3K-r/k VOID 17250.4342 190.6518
OBS: 54276.330 CFA3K-r/k VOID 14454.3991 199.6875
OBS: 54277.341 CFA3K-r/k VOID 13316.8049 183.9717
OBS: 54277.419 CFA3K-r/k VOID 13526.9542 224.2499
OBS: 54278.314 CFA3K-r/k VOID 13194.7156 230.8943
OBS: 54279.348 CFA3K-r/k VOID 11781.4851 227.8657
OBS: 54280.289 CFA3K-r/k VOID 11759.8030 238.2771
OBS: 54282.284 CFA3K-r/k VOID 11598.4522 320.4652
OBS: 54284.244 CFA3K-r/k VOID 11449.8562 295.2689
OBS: 54284.331 CFA3K-r/k VOID 11513.3055 254.4901
OBS: 54288.398 CFA3K-r/k VOID 10375.2852 191.1127
OBS: 54290.189 CFA3K-r/k VOID 10261.2445 207.9133
OBS: 54292.309 CFA3K-r/k VOID 9506.0486 157.5913
OBS: 54292.376 CFA3K-r/k VOID 9611.6959 177.0474
OBS: 54295.223 CFA3K-r/k VOID 7994.6606 154.6247
END_PHOTOMETRY:

# =============================================
# =============================================
NSPECTRA: 19

NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR SPECFLAG


SPECTRUM_ID: 1
SPECTRUM_MJD:  54259.35
SPECTRUM_NLAM:      1865
SPEC:   3529.67   3531.72 3.92162e-01 2.88301e-02 1
SPEC:   3531.72   3533.78 3.05491e-01 2.74158e-02 1
SPEC:   3533.78   3535.83 3.50145e-01 2.83783e-02 1
SPEC:   3535.83   3537.88 3.23836e-01 2.81542e-02 1
SPEC:   3537.88   3539.94 3.12124e-01 2.81286e-02 1
SPEC:   3539.94   3541.99 3.70636e-01 2.94233e-02 1
SPEC:   3541.99   3544.05 3.92197e-01 2.95257e-02 1
SPEC:   3544.05   3546.10 3.86591e-01 2.95031e-02 1
SPEC:   3546.10   3548.15 3.73532e-01 2.92336e-02 1
SPEC:   3548.15   3550.21 3.94050e-01 2.98651e-02 1
SPEC:   3550.21   3552.26 3.22633e-01 2.88847e-02 1
SPEC:   3552.26   3554.32 3.72198e-01 2.89580e-02 1
SPEC:   3554.32   3556.37 4.51171e-01 2.95207e-02 1
SPEC:   3556.37   3558.42 4.48281e-01 2.94337e-02 1
SPEC:   3558.42   3560.48 3.53746e-01 2.83962e-02 1
SPEC:   3560.48   3562.53 3.34339e-01 2.78763e-02 1
SPEC:   3562.53   3564.59 3.51175e-01 2.80233e-02 1
SPEC:   3564.59   3566.64 4.56742e-01 2.87247e-02 1
SPEC:   3566.64   3568.69 4.87596e-01 2.87108e-02 1
SPEC:   3568.69   3570.75 4.34546e-01 2.85696e-02 1
SPEC:   3570.75   3572.80 3.77164e-01 2.74089e-02 1
SPEC:   3572.80   3574.85 4.57493e-01 2.86758e-02 1
SPEC:   3574.85   3576.91 4.28898e-01 2.80184e-02 1
SPEC:   3576.91   3578.96 3.94079e-01 2.78123e-02 1
SPEC:   3578.96   3581.02 3.53210e-01 2.69863e-02 1
SPEC:   3581.02   3583.07 4.57335e-01 2.79471e-02 1
SPEC:   3583.07   3585.12 4.63894e-01 2.78522e-02 1
SPEC:   3585.12   3587.18 4.32253e-01 2.75101e-02 1
SPEC:   3587.18   3589.23 4.34368e-01 2.75167e-02 1
SPEC:   3589.23   3591.29 4.07907e-01 2.74274e-02 1
SPEC:   3591.29   3593.34 4.00579e-01 2.75165e-02 1
SPEC:   3593.34   3595.39 4.01886e-01 2.73284e-02 1
SPEC:   3595.39   3597.45 4.18246e-01 2.74903e-02 1
SPEC:   3597.45   3599.50 3.57989e-01 2.65048e-02 1
SPEC:   3599.50   3601.56 4.05423e-01 2.72151e-02 1
SPEC:   3601.56   3603.61 4.08140e-01 2.69912e-02 1
SPEC:   3603.61   3605.66 3.85362e-01 2.65561e-02 1
SPEC:   3605.66   3607.72 3.97729e-01 2.65747e-02 1
SPEC:   3607.72   3609.77 4.02259e-01 2.65415e-02 1
SPEC:   3609.77   3611.83 3.85631e-01 2.65720e-02 1
SPEC:   3611.83   3613.88 4.00309e-01 2.68209e-02 1
SPEC:   3613.88   3615.93 3.40810e-01 2.57741e-02 1
SPEC:   3615.93   3617.99 4.04228e-01 2.68189e-02 1
SPEC:   3617.99   3620.04 4.63942e-01 2.70890e-02 1
SPEC:   3620.04   3622.09 4.85946e-01 2.69317e-02 1
SPEC:   3622.09   3624.15 4.91267e-01 2.74243e-02 1
SPEC:   3624.15   3626.20 3.71018e-01 2.57939e-02 1
SPEC:   3626.20   3628.26 3.42793e-01 2.54455e-02 1
SPEC:   3628.26   3630.31 4.67293e-01 2.69403e-02 1
