SURVEY: PS1MD
SNTYPE: 1
SNID: 190
IAUC:    UNKNOWN
RA:        148.9884708  deg
DEC:       2.2634639  deg
FILTERS: griz
HOSTGAL_LOGMASS: 9.799 +- 0.520
HOSTGAL_SNSEP: 18.249414534642099
SEARCH_PEAKMJD: 55212.0
 
MWEBV: 0.019 # MW E(B-V)
REDSHIFT_HELIO: 0.10110 +- 0.00100
REDSHIFT_CMB: 0.10225 +- 0.00101
VPEC: -35.922
VPEC_ERR: 250.000
#==============================
NOBS: 62
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 55188.6 PS1-g VOID 7.825 10.687 -7.2340 1.4830
OBS: 55206.6 PS1-g VOID 39.722 9.789 -8.9980 0.2680
OBS: 55212.5 PS1-g VOID 640.873 11.226 -12.017 0.0190
OBS: 55215.6 PS1-g VOID 1160.344 17.831 -12.6610 0.0170
OBS: 55217.5 PS1-g VOID 1442.159 12.776 -12.8980 0.0100
OBS: 55221.5 PS1-g VOID 1762.565 30.723 -13.1150 0.0190
OBS: 55230.4 PS1-g VOID 1495.899 40.025 -12.9370 0.0290
OBS: 55233.5 PS1-g VOID 1213.402 17.988 -12.7100 0.0160
OBS: 55236.5 PS1-g VOID 1040.621 25.910 -12.5430 0.0270
OBS: 55239.5 PS1-g VOID 807.109 17.546 -12.267 0.0240
OBS: 55242.4 PS1-g VOID 623.716 13.166 -11.987 0.0230
OBS: 55248.4 PS1-g VOID 372.844 13.336 -11.429 0.0390
OBS: 55275.4 PS1-g VOID 112.794 11.443 -10.131 0.1100
OBS: 55188.6 PS1-r VOID -11.903 11.701 -99 -1.0670
OBS: 55206.6 PS1-r VOID 59.945 8.714 -9.4440 0.1580
OBS: 55212.5 PS1-r VOID 645.372 16.174 -12.025 0.0270
OBS: 55215.6 PS1-r VOID 1117.154 15.446 -12.6200 0.0150
OBS: 55217.5 PS1-r VOID 1370.243 16.167 -12.8420 0.0130
OBS: 55221.5 PS1-r VOID 1749.796 32.693 -13.1070 0.0200
OBS: 55230.4 PS1-r VOID 1660.300 38.548 -13.0500 0.0250
OBS: 55233.5 PS1-r VOID 1503.812 16.536 -12.9430 0.0120
OBS: 55236.5 PS1-r VOID 1270.847 27.962 -12.7600 0.0240
OBS: 55239.5 PS1-r VOID 1084.010 13.855 -12.5880 0.0140
OBS: 55242.4 PS1-r VOID 940.239 14.346 -12.433 0.0170
OBS: 55248.4 PS1-r VOID 795.634 17.403 -12.252 0.0240
OBS: 55275.4 PS1-r VOID 252.856 14.759 -11.007 0.0630
OBS: 55183.6 PS1-i VOID 2.308 4.825 -5.9080 2.2700
OBS: 55186.6 PS1-i VOID 15.182 10.018 -7.9530 0.7160
OBS: 55189.6 PS1-i VOID 3.638 4.149 -6.4020 1.2390
OBS: 55192.5 PS1-i VOID 2.265 5.920 -5.8880 2.8380
OBS: 55204.6 PS1-i VOID -1.239 6.559 -99 -5.7460
OBS: 55207.6 PS1-i VOID 110.508 5.096 -10.108 0.0500
OBS: 55210.5 PS1-i VOID 390.176 8.015 -11.478 0.0220
OBS: 55213.5 PS1-i VOID 791.292 10.614 -12.246 0.0150
OBS: 55216.6 PS1-i VOID 1163.602 14.238 -12.6650 0.0130
OBS: 55217.6 PS1-i VOID 1250.245 13.914 -12.7420 0.0120
OBS: 55219.5 PS1-i VOID 1353.046 35.049 -12.8280 0.0280
OBS: 55222.4 PS1-i VOID 1384.271 18.274 -12.8530 0.0140
OBS: 55231.4 PS1-i VOID 1234.236 15.771 -12.7280 0.0140
OBS: 55234.5 PS1-i VOID 981.228 12.562 -12.479 0.0140
OBS: 55237.5 PS1-i VOID 828.964 13.748 -12.296 0.0180
OBS: 55240.5 PS1-i VOID 703.295 19.591 -12.118 0.0300
OBS: 55243.3 PS1-i VOID 722.290 11.787 -12.147 0.0180
OBS: 55246.3 PS1-i VOID 767.490 14.228 -12.213 0.0200
OBS: 55249.5 PS1-i VOID 748.317 27.808 -12.185 0.0400
OBS: 55264.5 PS1-i VOID 456.031 21.413 -11.647 0.0510
OBS: 55267.4 PS1-i VOID 343.092 10.108 -11.339 0.0320
OBS: 55190.5 PS1-z VOID 1.908 9.319 -5.7010 5.3030
OBS: 55193.6 PS1-z VOID 8.017 11.158 -7.2600 1.5110
OBS: 55208.6 PS1-z VOID 64.084 10.138 -9.5170 0.1720
OBS: 55211.5 PS1-z VOID 253.978 13.689 -11.012 0.0590
OBS: 55214.5 PS1-z VOID 592.501 12.482 -11.932 0.0230
OBS: 55218.6 PS1-z VOID 918.028 26.838 -12.407 0.0320
OBS: 55220.5 PS1-z VOID 933.193 19.157 -12.425 0.0220
OBS: 55223.4 PS1-z VOID 836.653 19.996 -12.306 0.0260
OBS: 55232.5 PS1-z VOID 584.169 17.679 -11.916 0.0330
OBS: 55235.5 PS1-z VOID 460.426 14.184 -11.658 0.0330
OBS: 55238.5 PS1-z VOID 367.632 15.537 -11.414 0.0460
OBS: 55241.4 PS1-z VOID 356.814 15.304 -11.381 0.0470
OBS: 55250.5 PS1-z VOID 480.755 35.022 -11.705 0.0790
OBS: 55259.3 PS1-z VOID 475.385 18.315 -11.693 0.0420
OBS: 55274.3 PS1-z VOID 231.753 79.152 -10.913 0.3710
END:
