SURVEY: PS1MD
SNTYPE: 1
SNID: 100213
IAUC:    UNKNOWN
RA:        53.0671500  deg
DEC:       -27.1943083  deg
FILTERS: griz
HOSTGAL_LOGMASS: 9.414 +- 0.360
HOSTGAL_SNSEP: 21.027572859997839
SEARCH_PEAKMJD: 55507.0
 
MWEBV: 0.006 # MW E(B-V)
REDSHIFT_HELIO: 0.27560 +- 0.00100
REDSHIFT_CMB: 0.27521 +- 0.00100
VPEC: 31.645
VPEC_ERR: 250.000
#==============================
NOBS: 42
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 55479.5 PS1-g VOID 11.280 13.038 -7.6310 1.2550
OBS: 55482.5 PS1-g VOID 9.098 10.500 -7.3970 1.2530
OBS: 55485.5 PS1-g VOID -20.374 16.685 -99 -0.8890
OBS: 55500.5 PS1-g VOID 11.451 12.556 -7.6470 1.1900
OBS: 55503.5 PS1-g VOID 11.877 15.783 -7.6870 1.4430
OBS: 55509.4 PS1-g VOID 138.320 11.542 -10.352 0.0910
OBS: 55518.4 PS1-g VOID 224.633 26.349 -10.879 0.1270
OBS: 55524.4 PS1-g VOID 200.799 31.182 -10.757 0.1690
OBS: 55545.4 PS1-g VOID 46.261 22.457 -9.1630 0.5270
OBS: 55548.4 PS1-g VOID 83.337 43.216 -9.8020 0.5630
OBS: 55557.3 PS1-g VOID 30.985 12.140 -8.7280 0.4250
OBS: 55479.5 PS1-r VOID 5.743 12.954 -6.8980 2.4490
OBS: 55482.6 PS1-r VOID -1.274 11.001 -99 -9.3790
OBS: 55485.5 PS1-r VOID 2.289 13.659 -5.8990 6.4770
OBS: 55500.5 PS1-r VOID 7.924 5.708 -7.2470 0.7820
OBS: 55509.4 PS1-r VOID 146.241 8.954 -10.413 0.0660
OBS: 55518.5 PS1-r VOID 280.453 17.330 -11.120 0.0670
OBS: 55524.4 PS1-r VOID 230.511 22.919 -10.907 0.1080
OBS: 55545.4 PS1-r VOID 95.215 16.618 -9.9470 0.1890
OBS: 55548.4 PS1-r VOID 115.532 40.997 -10.157 0.3850
OBS: 55557.3 PS1-r VOID 65.608 11.005 -9.5420 0.1820
OBS: 55477.5 PS1-i VOID 0.281 8.303 -3.6210 32.1150
OBS: 55480.5 PS1-i VOID 15.093 11.959 -7.9470 0.8600
OBS: 55483.5 PS1-i VOID 8.208 8.684 -7.2860 1.1490
OBS: 55498.5 PS1-i VOID -12.949 13.988 -99 -1.1730
OBS: 55507.5 PS1-i VOID 106.412 8.933 -10.067 0.0910
OBS: 55510.4 PS1-i VOID 144.299 7.550 -10.398 0.0570
OBS: 55516.4 PS1-i VOID 232.359 9.482 -10.915 0.0440
OBS: 55534.4 PS1-i VOID 185.192 16.779 -10.669 0.0980
OBS: 55546.4 PS1-i VOID 124.003 15.491 -10.234 0.1360
OBS: 55555.4 PS1-i VOID 113.038 22.858 -10.133 0.2200
OBS: 55576.3 PS1-i VOID 49.820 14.351 -9.2440 0.3130
OBS: 55478.5 PS1-z VOID -5.529 15.042 -99 -2.9540
OBS: 55481.5 PS1-z VOID -19.614 16.235 -99 -0.8990
OBS: 55487.5 PS1-z VOID 6.972 26.230 -7.1080 4.0850
OBS: 55499.5 PS1-z VOID 20.137 16.131 -8.2600 0.8700
OBS: 55502.5 PS1-z VOID 45.320 24.297 -9.1410 0.5820
OBS: 55508.4 PS1-z VOID 138.272 16.136 -10.352 0.1270
OBS: 55511.4 PS1-z VOID 172.905 13.793 -10.595 0.0870
OBS: 55517.4 PS1-z VOID 211.192 18.556 -10.812 0.0950
OBS: 55547.3 PS1-z VOID 109.990 15.035 -10.103 0.1480
OBS: 55568.3 PS1-z VOID 81.664 14.414 -9.7800 0.1920
END:
