SURVEY: PS1MD
SNID: 160214
IAUC:    UNKNOWN
RA:        213.8220333  deg
DEC:       54.2989278  deg
FILTERS: griz
HOSTGAL_LOGMASS: 11.089 +- 0.108
HOSTGAL_SNSEP: 20.810651873557994
SEARCH_PEAKMJD: 55708.0
 
MWEBV: 0.013 # MW E(B-V)
REDSHIFT_HELIO: 0.63000 +- 0.00100
REDSHIFT_CMB: 0.63038 +- 0.00100
VPEC: -71.538
VPEC_ERR: 250.000
#==============================
NOBS: 43
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 55710.3 PS1-g VOID 26.833 5.301 -8.5720 0.2150
OBS: 55719.4 PS1-g VOID 22.248 7.528 -8.3680 0.3670
OBS: 55722.3 PS1-g VOID -1.240 37.810 -99 -33.117
OBS: 55737.3 PS1-g VOID -6.577 13.412 -99 -2.2140
OBS: 55740.3 PS1-g VOID 9.764 12.084 -7.4740 1.3440
OBS: 55743.3 PS1-g VOID -0.396 8.581 -99 -23.538
OBS: 55746.3 PS1-g VOID 6.702 3.862 -7.0660 0.6260
OBS: 55752.3 PS1-g VOID -4.978 16.581 -99 -3.6160
OBS: 55761.3 PS1-g VOID -5.311 10.257 -99 -2.0970
OBS: 55710.3 PS1-r VOID 66.177 7.572 -9.5520 0.1240
OBS: 55719.4 PS1-r VOID 91.324 7.816 -9.9010 0.0930
OBS: 55722.3 PS1-r VOID 98.752 16.519 -9.9860 0.1820
OBS: 55737.3 PS1-r VOID 32.596 12.106 -8.7830 0.4030
OBS: 55740.3 PS1-r VOID 7.097 14.670 -7.1280 2.2440
OBS: 55743.3 PS1-r VOID 16.169 9.333 -8.0220 0.6270
OBS: 55746.3 PS1-r VOID 19.603 6.302 -8.2310 0.3490
OBS: 55752.3 PS1-r VOID 13.021 10.465 -7.7870 0.8730
OBS: 55761.3 PS1-r VOID -16.384 10.129 -99 -0.6710
OBS: 55678.3 PS1-i VOID -1.054 7.814 -99 -8.0450
OBS: 55693.4 PS1-i VOID 44.397 26.581 -9.1180 0.6500
OBS: 55702.4 PS1-i VOID 23.311 21.529 -8.4190 1.0030
OBS: 55705.3 PS1-i VOID 44.389 7.413 -9.1180 0.1810
OBS: 55708.4 PS1-i VOID 48.792 15.136 -9.2210 0.3370
OBS: 55711.3 PS1-i VOID 63.666 8.430 -9.5100 0.1440
OBS: 55714.3 PS1-i VOID 56.952 11.727 -9.3890 0.2240
OBS: 55720.4 PS1-i VOID 103.854 12.467 -10.041 0.1300
OBS: 55723.3 PS1-i VOID 81.168 11.965 -9.7730 0.1600
OBS: 55732.4 PS1-i VOID 43.776 24.115 -9.1030 0.5980
OBS: 55735.3 PS1-i VOID 32.746 10.932 -8.7880 0.3620
OBS: 55738.3 PS1-i VOID 30.271 10.186 -8.7030 0.3650
OBS: 55741.3 PS1-i VOID 37.384 8.469 -8.9320 0.2460
OBS: 55744.3 PS1-i VOID 31.637 9.848 -8.7500 0.3380
OBS: 55747.3 PS1-i VOID 17.283 9.973 -8.0940 0.6270
OBS: 55753.3 PS1-i VOID 14.692 10.627 -7.9180 0.7850
OBS: 55703.3 PS1-z VOID 37.973 24.918 -8.9490 0.7120
OBS: 55718.3 PS1-z VOID 84.504 18.338 -9.8170 0.2360
OBS: 55736.4 PS1-z VOID 72.578 13.297 -9.6520 0.1990
OBS: 55739.3 PS1-z VOID 48.875 22.991 -9.2230 0.5110
OBS: 55742.3 PS1-z VOID 57.601 11.080 -9.4010 0.2090
OBS: 55745.3 PS1-z VOID 28.187 14.446 -8.6250 0.5560
OBS: 55748.3 PS1-z VOID 55.077 12.385 -9.3520 0.2440
OBS: 55751.3 PS1-z VOID 7.394 23.683 -7.1720 3.4780
OBS: 55754.3 PS1-z VOID 19.322 16.124 -8.2150 0.9060
END:
