SURVEY: PS1MD
SNTYPE: 1
SNID: 510266
IAUC:    UNKNOWN
RA:        214.0331625  deg
DEC:       51.7321167  deg
FILTERS: griz
HOSTGAL_LOGMASS: 11.806 +- 0.111
HOSTGAL_SNSEP: 18.470617757522181
SEARCH_PEAKMJD: 56421.0
 
REDSHIFT_HELIO: 0.44000 +- 0.01000
REDSHIFT_CMB: 0.44041 +- 0.01001
VPEC: -54.266
VPEC_ERR: 250.000
#==============================
NOBS: 77
MWEBV: 0.010 # MW E(B-V)
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 56395.5 PS1-g VOID -5.224 9.056 -99 -1.8820
OBS: 56401.5 PS1-g VOID 4.594 7.475 -6.6560 1.7660
OBS: 56416.5 PS1-g VOID 13.489 13.576 -7.8250 1.0930
OBS: 56421.5 PS1-g VOID 96.869 6.926 -9.9650 0.0780
OBS: 56424.5 PS1-g VOID 120.172 8.622 -10.200 0.0780
OBS: 56427.4 PS1-g VOID 116.338 9.380 -10.164 0.0880
OBS: 56443.4 PS1-g VOID 40.890 8.671 -9.0290 0.2300
OBS: 56451.3 PS1-g VOID 33.027 11.136 -8.7970 0.3660
OBS: 56460.3 PS1-g VOID -4.428 9.471 -99 -2.3220
OBS: 56475.3 PS1-g VOID 3.221 4.778 -6.2700 1.6110
OBS: 56478.3 PS1-g VOID -3.506 5.117 -99 -1.5850
OBS: 56480.3 PS1-g VOID -6.246 5.843 -99 -1.0160
OBS: 56486.3 PS1-g VOID 2.203 8.223 -5.8570 4.0530
OBS: 56489.3 PS1-g VOID -25.400 10.786 -99 -0.4610
OBS: 56395.5 PS1-r VOID 9.684 12.714 -7.4650 1.4250
OBS: 56401.5 PS1-r VOID -3.428 10.492 -99 -3.3240
OBS: 56416.5 PS1-r VOID 89.183 10.818 -9.8760 0.1320
OBS: 56420.4 PS1-r VOID 135.230 8.214 -10.328 0.0660
OBS: 56424.5 PS1-r VOID 180.094 11.880 -10.639 0.0720
OBS: 56427.4 PS1-r VOID 196.198 10.094 -10.732 0.0560
OBS: 56443.4 PS1-r VOID 111.522 10.037 -10.118 0.0980
OBS: 56450.4 PS1-r VOID 91.756 13.009 -9.9070 0.1540
OBS: 56460.3 PS1-r VOID 33.615 6.734 -8.8160 0.2180
OBS: 56475.3 PS1-r VOID 1.953 5.257 -5.7270 2.9220
OBS: 56478.3 PS1-r VOID 4.675 7.277 -6.6740 1.6900
OBS: 56486.3 PS1-r VOID 9.489 7.612 -7.4430 0.8710
OBS: 56489.3 PS1-r VOID 3.332 9.845 -6.3070 3.2080
OBS: 56393.6 PS1-i VOID -5.553 13.435 -99 -2.6270
OBS: 56396.5 PS1-i VOID -6.041 12.869 -99 -2.3130
OBS: 56399.4 PS1-i VOID 4.873 10.685 -6.7190 2.3810
OBS: 56403.4 PS1-i VOID -5.870 11.929 -99 -2.2070
OBS: 56411.5 PS1-i VOID 17.075 12.682 -8.0810 0.8060
OBS: 56414.5 PS1-i VOID 40.339 10.886 -9.0140 0.2930
OBS: 56420.4 PS1-i VOID 110.832 8.476 -10.112 0.0830
OBS: 56422.5 PS1-i VOID 108.654 10.784 -10.090 0.1080
OBS: 56432.4 PS1-i VOID 142.155 9.529 -10.382 0.0730
OBS: 56444.4 PS1-i VOID 125.499 10.328 -10.247 0.0890
OBS: 56447.3 PS1-i VOID 105.405 8.468 -10.057 0.0870
OBS: 56450.4 PS1-i VOID 104.969 11.789 -10.053 0.1220
OBS: 56452.3 PS1-i VOID 84.199 8.188 -9.8130 0.1060
OBS: 56455.3 PS1-i VOID 71.037 8.896 -9.6290 0.1360
OBS: 56458.3 PS1-i VOID 61.438 8.850 -9.4710 0.1560
OBS: 56462.3 PS1-i VOID 49.237 11.251 -9.2310 0.2480
OBS: 56470.4 PS1-i VOID 58.445 11.037 -9.4170 0.2050
OBS: 56473.3 PS1-i VOID 33.349 9.191 -8.8080 0.2990
