SURVEY: SDSS
SNID: 15443
IAUC: UNKNOWN
RA: 49.8674167
DEC: -0.3180278
MWEBV: 0.111 # MW E(B-V)
REDSHIFT_HELIO: 0.18191 +- 0.00100
REDSHIFT_CMB: 0.18132 +- 0.00100
VPEC: -34.784
VPEC_ERR: 250.000
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 54041.328
FILTERS: ABCfghijklrtuvLC

#==============================
NOBS: 126
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53975.438 SDSS-g VOID 2.8700 19.0190
OBS: 53994.465 SDSS-g VOID 15.1500 16.5050
OBS: 53996.445 SDSS-g VOID 0.5900 18.7130
OBS: 54005.461 SDSS-g VOID 22.1000 14.6890
OBS: 54008.406 SDSS-g VOID -8.8400 22.0720
OBS: 54009.477 SDSS-g VOID 14.4400 14.2440
OBS: 54010.402 SDSS-g VOID 22.3900 13.5540
OBS: 54012.395 SDSS-g VOID -25.8300 23.5370
OBS: 54020.434 SDSS-g VOID 7.7700 28.5380
OBS: 54024.484 SDSS-g VOID 94.1200 23.0630
OBS: 54028.473 SDSS-g VOID 427.5702 18.6800
OBS: 54030.426 SDSS-g VOID 529.0202 19.1160
OBS: 54035.473 SDSS-g VOID 790.5804 21.3900
OBS: 54037.375 SDSS-g VOID 851.8304 17.9480
OBS: 54040.391 SDSS-g VOID 831.6703 20.9400
OBS: 54041.426 SDSS-g VOID 835.5104 20.3410
OBS: 54047.422 SDSS-g VOID 761.9703 58.6220
OBS: 54049.418 SDSS-g VOID 646.7203 34.0310
OBS: 54050.379 SDSS-g VOID 649.1103 41.5380
OBS: 54053.398 SDSS-g VOID 672.8603 38.2810
OBS: 54056.383 SDSS-g VOID 388.8402 20.4870
OBS: 54059.379 SDSS-g VOID 277.9401 19.6680
OBS: 54061.391 SDSS-g VOID 232.7801 21.4950
OBS: 54062.383 SDSS-g VOID 183.5501 15.2630
OBS: 54064.379 SDSS-g VOID 201.9001 18.7320
OBS: 53975.438 SDSS-r VOID -44.8000 32.6230
OBS: 53994.465 SDSS-r VOID 7.6200 24.4950
OBS: 53996.445 SDSS-r VOID 46.3300 27.5280
OBS: 54005.461 SDSS-r VOID 11.1100 22.5570
OBS: 54008.406 SDSS-r VOID 52.3900 47.2240
OBS: 54009.477 SDSS-r VOID 21.4800 25.4890
OBS: 54010.402 SDSS-r VOID 20.1000 20.1980
OBS: 54012.395 SDSS-r VOID 11.1600 32.2640
OBS: 54020.434 SDSS-r VOID 83.6600 31.7950
OBS: 54024.484 SDSS-r VOID 162.2000 36.5150
OBS: 54028.473 SDSS-r VOID 423.4999 25.9500
OBS: 54030.426 SDSS-r VOID 533.7999 25.7620
OBS: 54035.473 SDSS-r VOID 751.4299 31.5740
OBS: 54037.375 SDSS-r VOID 763.2999 24.1530
OBS: 54040.391 SDSS-r VOID 816.4099 24.6550
OBS: 54041.426 SDSS-r VOID 836.9699 26.3550
OBS: 54047.422 SDSS-r VOID 754.8999 53.1580
OBS: 54049.418 SDSS-r VOID 711.0099 37.9220
OBS: 54050.379 SDSS-r VOID 651.4099 44.1600
OBS: 54053.398 SDSS-r VOID 671.5199 35.5760
OBS: 54056.383 SDSS-r VOID 574.1299 28.0420
OBS: 54059.379 SDSS-r VOID 442.6699 31.0500
OBS: 54061.391 SDSS-r VOID 364.6999 36.0460
OBS: 54062.383 SDSS-r VOID 407.3999 23.4300
OBS: 54064.379 SDSS-r VOID 406.2799 30.0290
OBS: 54068.363 SDSS-r VOID 286.3100 37.0390
OBS: 53975.438 SDSS-i VOID 27.8400 41.7860
OBS: 53994.465 SDSS-i VOID 51.0500 33.6720
OBS: 53996.445 SDSS-i VOID -47.9700 48.5210
OBS: 54005.461 SDSS-i VOID 38.3800 33.8650
OBS: 54008.406 SDSS-i VOID 45.3400 66.7370
OBS: 54009.477 SDSS-i VOID 42.4100 32.9270
OBS: 54010.402 SDSS-i VOID 4.2100 30.4700
OBS: 54012.395 SDSS-i VOID 98.4800 45.0710
OBS: 54020.434 SDSS-i VOID 61.1700 45.2920
OBS: 54024.484 SDSS-i VOID 129.2399 47.6650
OBS: 54028.473 SDSS-i VOID 367.9299 42.8630
OBS: 54030.426 SDSS-i VOID 524.6698 39.2750
OBS: 54035.473 SDSS-i VOID 634.5298 41.7860
OBS: 54037.375 SDSS-i VOID 708.7897 33.8930
OBS: 54040.391 SDSS-i VOID 679.9797 37.8120
OBS: 54041.426 SDSS-i VOID 780.8497 36.8180
OBS: 54047.422 SDSS-i VOID 736.7897 57.1870
OBS: 54049.418 SDSS-i VOID 754.6597 46.7540
OBS: 54050.379 SDSS-i VOID 654.7498 60.0580
OBS: 54056.383 SDSS-i VOID 545.4198 38.6680
OBS: 54059.379 SDSS-i VOID 503.7898 51.0600
OBS: 54061.391 SDSS-i VOID 402.8398 52.1360
OBS: 54062.383 SDSS-i VOID 414.9398 35.9350
OBS: 54064.379 SDSS-i VOID 450.5098 44.0500
OBS: 54068.363 SDSS-i VOID 414.5598 50.6460
OBS: 53975.438 SDSS-z VOID 208.9301 168.4981
OBS: 53994.465 SDSS-z VOID 101.8200 107.9160
OBS: 53996.445 SDSS-z VOID 47.3800 128.1191
OBS: 54005.461 SDSS-z VOID 134.8001 110.8141
OBS: 54008.406 SDSS-z VOID -67.5900 203.8261
OBS: 54009.477 SDSS-z VOID 60.7400 97.5110
OBS: 54010.402 SDSS-z VOID 77.7500 81.7510
OBS: 54012.395 SDSS-z VOID -71.6600 130.9621
OBS: 54020.434 SDSS-z VOID 182.2901 135.9301
OBS: 54024.484 SDSS-z VOID 89.1700 149.1781
OBS: 54028.473 SDSS-z VOID 432.7402 145.6451
