SURVEY: SDSS
SNID: 19953
IAUC: UNKNOWN
RA: 332.9305000
DEC: 0.5790833
MWEBV: 0.066 # MW E(B-V)
REDSHIFT_HELIO: 0.11900 +- 0.00100
REDSHIFT_CMB: 0.11785 +- 0.00099
VPEC: 40.850
VPEC_ERR: 250.000
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 54415.12
FILTERS: ABCfghijklrtuvLC

#==============================
NOBS: 84
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 54348.238 SDSS-g VOID -3.6100 14.8680
OBS: 54357.207 SDSS-g VOID 1.1500 15.8450
OBS: 54365.207 SDSS-g VOID -29.3200 34.4450
OBS: 54379.246 SDSS-g VOID -8.3800 13.9160
OBS: 54385.254 SDSS-g VOID -32.2100 18.1990
OBS: 54387.254 SDSS-g VOID -20.2900 18.4290
OBS: 54392.250 SDSS-g VOID -22.3700 18.0060
OBS: 54394.238 SDSS-g VOID -78.4300 46.2300
OBS: 54402.246 SDSS-g VOID 779.7303 47.0580
OBS: 54404.164 SDSS-g VOID 1064.5604 25.9190
OBS: 54408.160 SDSS-g VOID 1704.4607 22.1710
OBS: 54410.160 SDSS-g VOID 1975.1109 44.1320
OBS: 54411.117 SDSS-g VOID 2054.9009 36.7080
OBS: 54413.160 SDSS-g VOID 2095.0409 30.0560
OBS: 54418.160 SDSS-g VOID 1923.0508 26.1810
OBS: 54422.164 SDSS-g VOID 1677.9807 39.3020
OBS: 54424.152 SDSS-g VOID 1799.6608 82.4410
OBS: 54348.238 SDSS-r VOID -18.1500 22.6350
OBS: 54357.207 SDSS-r VOID 0.1800 21.9700
OBS: 54365.207 SDSS-r VOID -47.3400 40.2130
OBS: 54379.246 SDSS-r VOID -17.1900 21.5390
OBS: 54385.254 SDSS-r VOID 6.0100 25.2480
OBS: 54387.254 SDSS-r VOID -7.7300 27.8480
OBS: 54392.250 SDSS-r VOID -37.6900 29.6150
OBS: 54394.238 SDSS-r VOID -100.3400 52.2470
OBS: 54402.246 SDSS-r VOID 650.2099 46.6990
OBS: 54404.164 SDSS-r VOID 935.6798 27.2940
OBS: 54408.160 SDSS-r VOID 1509.2897 32.5130
OBS: 54410.160 SDSS-r VOID 1731.3297 51.5840
OBS: 54411.117 SDSS-r VOID 1858.5797 29.3940
OBS: 54413.160 SDSS-r VOID 1951.5696 37.0670
OBS: 54418.160 SDSS-r VOID 1978.7196 30.8570
