SURVEY: SDSS
SNID: 2440
IAUC: UNKNOWN
RA: 42.6335870
DEC: 0.8077350
MWEBV: 0.045 # MW E(B-V)
REDSHIFT_HELIO: 0.19300 +- 0.00100
REDSHIFT_CMB: 0.19229 +- 0.00100
VPEC: -49.654
VPEC_ERR: 250.000
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53634.978
FILTERS: ABCfghijklrtuvLC

#==============================
NOBS: 107
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53616.430 SDSS-g VOID 32.9200 15.5550
OBS: 53628.395 SDSS-g VOID 500.5602 26.7030
OBS: 53635.402 SDSS-g VOID 587.6203 34.8590
OBS: 53639.441 SDSS-g VOID 473.6302 19.6540
OBS: 53641.441 SDSS-g VOID 430.7402 19.9710
OBS: 53644.387 SDSS-g VOID 357.8702 15.0010
OBS: 53657.398 SDSS-g VOID 122.1401 32.3470
OBS: 53663.383 SDSS-g VOID -8.3400 33.7820
OBS: 53666.453 SDSS-g VOID 29.5700 24.5940
OBS: 53668.375 SDSS-g VOID 70.8500 23.3880
OBS: 53669.461 SDSS-g VOID 60.2300 22.3970
OBS: 53670.379 SDSS-g VOID 55.9200 18.2160
OBS: 53673.348 SDSS-g VOID 45.9400 13.0960
OBS: 53675.344 SDSS-g VOID 38.5100 14.4290
OBS: 53677.363 SDSS-g VOID 37.1600 13.4410
OBS: 53680.352 SDSS-g VOID 19.0600 14.3050
OBS: 53683.410 SDSS-g VOID -0.5200 21.2020
OBS: 53686.352 SDSS-g VOID 81.2000 36.9290
OBS: 53693.352 SDSS-g VOID -61.2900 43.2770
OBS: 53699.375 SDSS-g VOID 5.1300 18.8260
OBS: 53704.336 SDSS-g VOID -3.4500 22.3150
OBS: 53616.430 SDSS-r VOID 52.9200 24.1110
OBS: 53626.406 SDSS-r VOID 385.4599 28.8420
OBS: 53628.395 SDSS-r VOID 484.5499 31.7950
OBS: 53635.402 SDSS-r VOID 543.2399 30.8290
