SURVEY: SNLS
SNID: 04D4gg
IAUC: UNKNOWN
RA: 334.0385790
DEC: -17.2944110
MWEBV: 0.024 # MW E(B-V)
REDSHIFT_HELIO: 0.42400 +- 0.00100
REDSHIFT_CMB: 0.42291 +- 0.00100
VPEC: 139.196
VPEC_ERR: 250.000
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53246.891
FILTERS: griz

#==============================
NOBS: 65
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53210.560 SNLS-g VOID -0.1630 0.6731
OBS: 53231.530 SNLS-g VOID 35.4124 1.0077
OBS: 53234.540 SNLS-g VOID 50.6160 1.1702
OBS: 53258.430 SNLS-g VOID 31.6806 0.8766
OBS: 53262.360 SNLS-g VOID 27.3483 0.8501
OBS: 53266.350 SNLS-g VOID 15.3895 1.1400
OBS: 53285.360 SNLS-g VOID 4.9802 0.8770
OBS: 53287.340 SNLS-g VOID 3.5047 0.8174
OBS: 53293.300 SNLS-g VOID 3.6355 0.8653
OBS: 53317.260 SNLS-g VOID 1.4781 0.8977
OBS: 53209.540 SNLS-i VOID 2.8595 2.1083
OBS: 53224.550 SNLS-i VOID 15.6937 1.6989
OBS: 53227.460 SNLS-i VOID 28.0564 1.7544
OBS: 53231.480 SNLS-i VOID 56.8266 2.1093
OBS: 53234.480 SNLS-i VOID 70.7080 1.1871
OBS: 53238.390 SNLS-i VOID 95.9255 1.7566
OBS: 53253.400 SNLS-i VOID 118.9832 1.4568
OBS: 53258.390 SNLS-i VOID 107.8613 1.7275
OBS: 53262.320 SNLS-i VOID 93.8889 2.2040
OBS: 53266.310 SNLS-i VOID 79.8066 1.7311
OBS: 53270.300 SNLS-i VOID 64.9703 1.6218
OBS: 53283.250 SNLS-i VOID 35.6099 3.0035
OBS: 53287.290 SNLS-i VOID 42.2530 1.6939
OBS: 53293.240 SNLS-i VOID 33.9771 1.6953
OBS: 53296.220 SNLS-i VOID 33.6710 2.0177
OBS: 53312.240 SNLS-i VOID 18.5326 1.6384
OBS: 53315.270 SNLS-i VOID 25.8357 5.0473
OBS: 53317.210 SNLS-i VOID 20.8683 2.9659
OBS: 53321.230 SNLS-i VOID 16.1419 1.7305
OBS: 53331.220 SNLS-i VOID 14.8282 2.1106
OBS: 53345.230 SNLS-i VOID 13.1119 3.0452
OBS: 53530.550 SNLS-i VOID 4.0184 1.4441
OBS: 53209.570 SNLS-r VOID -0.3543 3.0204
OBS: 53224.590 SNLS-r VOID 16.5835 2.3717
OBS: 53227.510 SNLS-r VOID 29.1079 1.7679
OBS: 53231.510 SNLS-r VOID 56.2738 2.2123
OBS: 53234.510 SNLS-r VOID 79.5520 1.5114
OBS: 53239.460 SNLS-r VOID 112.2663 1.9173
OBS: 53253.430 SNLS-r VOID 103.5483 1.5219
OBS: 53258.450 SNLS-r VOID 90.1761 1.9185
OBS: 53262.340 SNLS-r VOID 70.3124 1.8463
OBS: 53266.330 SNLS-r VOID 57.2750 1.8154
OBS: 53270.340 SNLS-r VOID 47.3882 2.0351
OBS: 53283.300 SNLS-r VOID 21.3843 2.2580
OBS: 53287.320 SNLS-r VOID 16.4106 1.4924
OBS: 53293.280 SNLS-r VOID 13.7898 1.8516
OBS: 53296.250 SNLS-r VOID 9.4389 1.7256
OBS: 53297.220 SNLS-r VOID 11.2177 1.7584
OBS: 53312.270 SNLS-r VOID 10.5259 1.5612
OBS: 53317.240 SNLS-r VOID 9.0239 1.8802
OBS: 53321.270 SNLS-r VOID 8.5403 2.0757
OBS: 53350.220 SNLS-r VOID 4.1282 1.9316
OBS: 53529.590 SNLS-r VOID -1.8930 2.0735
OBS: 53530.580 SNLS-r VOID 0.4078 1.4962
OBS: 53228.480 SNLS-z VOID 31.6810 4.2372
OBS: 53239.410 SNLS-z VOID 106.3117 4.0145
OBS: 53254.380 SNLS-z VOID 121.8177 3.1589
OBS: 53268.310 SNLS-z VOID 71.0646 4.7401
OBS: 53270.380 SNLS-z VOID 66.0074 4.0944
OBS: 53283.370 SNLS-z VOID 50.8706 6.9354
OBS: 53286.230 SNLS-z VOID 48.9338 10.8825
OBS: 53290.240 SNLS-z VOID 65.2943 18.5649
OBS: 53321.300 SNLS-z VOID 27.5677 7.9581
OBS: 53322.220 SNLS-z VOID 15.9262 4.7701
OBS: 53331.270 SNLS-z VOID 31.8944 4.3958
END_PHOTOMETRY:

# =============================================
