# SN x0 x1 c t0 SIM_x0 SIM_x1 SIM_c SIM_t0 SALT2_x0 SALT2_x1 SALT2_c SALT2_t0
2004ef 2.8024617135e-03 -0.4832447353 0.0787189731 53263.7812000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
1997E 1.1851472535e-02 -2.2880249097 0.0255485250 50468.5312000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
2007A 7.7405050293e-03 0.5260083574 0.0962212387 54113.7617000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
1981B 2.1781656028e-01 -0.0543533776 -0.0118255720 44672.6445000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
2009kk 1.5746430346e-02 -0.3324407701 -0.1168644840 55126.8281000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
1994S 1.5420277568e-02 0.4967985806 -0.0484245195 49518.7695000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
2016W 6.8201592766e-03 -0.7376993874 0.0543579988 57417.7891000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
ASASSN-15bc 2.1630429220e-03 0.7072607800 0.0600571122 57047.8047000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
ASASSN-15fs 4.6271909226e-03 0.5223537469 -0.0104179197 57113.3555000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
ASASSN-15go 6.1030500433e-03 2.2055359411 0.0314137895 57122.3910000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
ASASSN-15hg 2.3238204490e-03 -0.7283924607 0.0224994578 57131.4648000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
ASASSN-15jl 3.3555549199e-03 0.4216993395 -0.2781374398 57166.0312000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
