SURVEY: PS1_LOWZ_COMBINED(CSP)   
SNID:   5999404   
IAUC:    NULL 
PHOTOMETRY_VERSION: SALT3TEST_SIMPLE 
SNTYPE:  1 
FILTERS: bcdeghijlmnopqrsuvwxyzACDEFHIJK 
RA:      126.776000  deg 
DEC:     21.646000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0000    MW E(B-V) 
MWEBV_ERR:   0.0000    error on MWEBV 
REDSHIFT_HELIO:   0.163626 +- 0.000010  (Helio, z_best) 
REDSHIFT_FINAL:   0.164561 +- 0.000010  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53733.844 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_RA:       -999.000000    # deg 
HOSTGAL_DEC:      -999.000000    # deg 
HOSTGAL_SNSEP:    -9.000    # arcsec 
HOSTGAL_DDLR:     -9.000    # SNSEP/DLR  
HOSTGAL_CONFUSION:   0.000  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  306  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.16364  
SIM_REDSHIFT_CMB:    0.16457  
SIM_REDSHIFT_HOST:   0.16364  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.4852  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        126.776001 deg  
SIM_DEC:       21.646000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0000   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  0   (MW color-law option) 
SIMOPT_MWEBV:       0   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000  (bcdeghijlmnopqrsuvwxyzACDEFHIJK F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  20.35  -9.00  -9.00  20.03
      20.09  20.05  20.29  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_PEAKMJD:   53733.843750  days 
SIM_SALT2alpha:    0.165   
SIM_SALT2beta:     3.032   
SIM_SALT2x0:   1.8166e-04   
SIM_SALT2x1:    0.8080   
SIM_SALT2c:     0.0000   
SIM_SALT2mB:   19.9869   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     2.11   days 
SIM_TRESTMAX:    33.74   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 83 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53736.300  z NULL   9.5263e+02   1.386e-01    0  40.307   0.85 20.0527 
OBS:  53736.300  A NULL   7.6819e+02   1.878e-01    0  40.400   0.85 20.2863 
OBS:  53736.300  y NULL   8.7271e+02   1.161e-01    0  40.302   0.85 20.1478 
OBS:  53736.300  u NULL   6.7066e+02   1.086e-01    0  40.011   0.85 20.4337 
OBS:  53736.300  x NULL   9.4174e+02   1.678e-01    0  39.677   0.85 20.0652 
OBS:  53737.300  x NULL   9.2150e+02   2.161e-01    0  39.124   0.85 20.0888 
OBS:  53737.300  y NULL   8.4627e+02   1.698e-01    0  39.466   0.85 20.1812 
OBS:  53737.300  z NULL   9.4170e+02   4.087e-01    0  37.974   0.85 20.0652 
OBS:  53737.300  u NULL   6.4322e+02   1.133e-01    0  39.889   0.85 20.4791 
OBS:  53737.300  A NULL   7.6377e+02   3.269e-01    0  39.195   0.85 20.2926 
OBS:  53738.200  A NULL   7.5695e+02   2.222e-01    0  40.032   0.85 20.3023 
OBS:  53738.200  z NULL   9.2724e+02   1.746e-01    0  39.796   0.85 20.0820 
OBS:  53738.200  u NULL   6.1638e+02   1.069e-01    0  39.990   0.85 20.5254 
OBS:  53738.200  y NULL   8.1987e+02   1.219e-01    0  40.164   0.85 20.2156 
OBS:  53738.200  x NULL   8.9972e+02   1.617e-01    0  39.738   0.85 20.1147 
OBS:  53740.300  z NULL   8.8252e+02   2.227e-01    0  39.249   0.85 20.1357 
OBS:  53740.300  x NULL   8.3953e+02   1.837e-01    0  39.427   0.85 20.1899 
OBS:  53740.300  u NULL   5.5231e+02   1.009e-01    0  40.056   0.85 20.6445 
OBS:  53740.300  A NULL   7.2114e+02   2.331e-01    0  39.921   0.85 20.3549 
OBS:  53740.300  y NULL   7.5179e+02   1.208e-01    0  40.141   0.85 20.3098 
OBS:  53741.200  y NULL   7.2034e+02   7.888e-02    0  41.044   0.85 20.3562 
OBS:  53741.200  x NULL   8.1038e+02   1.475e-01    0  39.884   0.85 20.2283 
OBS:  53741.200  A NULL   6.9739e+02   2.084e-01    0  40.159   0.85 20.3913 
OBS:  53741.200  z NULL   8.5955e+02   1.417e-01    0  40.219   0.85 20.1643 
OBS:  53746.200  x NULL   6.2850e+02   1.480e-01    0  39.774   0.85 20.5042 
OBS:  53746.200  u NULL   3.7224e+02   1.352e-01    0  39.229   0.85 21.0729 
OBS:  53746.200  A NULL   5.2894e+02   2.059e-01    0  40.147   0.85 20.6915 
OBS:  53746.200  y NULL   5.3156e+02   1.064e-01    0  40.262   0.85 20.6861 
OBS:  53746.200  z NULL   7.0540e+02   1.799e-01    0  39.634   0.85 20.3789 
OBS:  53747.200  x NULL   5.9137e+02   1.698e-01    0  39.453   0.85 20.5704 
OBS:  53747.200  u NULL   3.4173e+02   1.927e-01    0  38.444   0.85 21.1658 
OBS:  53747.200  z NULL   6.7177e+02   1.861e-01    0  39.545   0.85 20.4320 
OBS:  53747.200  y NULL   4.9286e+02   1.769e-01    0  39.137   0.85 20.7682 
OBS:  53747.200  A NULL   5.0145e+02   3.283e-01    0  39.129   0.85 20.7494 
OBS:  53752.200  z NULL   5.1861e+02   1.726e-01    0  39.629   0.85 20.7129 
OBS:  53752.200  x NULL   4.1899e+02   1.739e-01    0  39.293   0.85 20.9445 
OBS:  53752.200  u NULL   2.0441e+02   2.185e-01    0  38.016   0.85 21.7237 
OBS:  53752.200  y NULL   3.1504e+02   1.612e-01    0  39.196   0.85 21.2541 
OBS:  53752.200  A NULL   4.1723e+02   2.221e-01    0  39.960   0.85 20.9490 
OBS:  53755.200  x NULL   3.4219e+02   1.302e-01    0  39.860   0.85 21.1643 
OBS:  53755.200  u NULL   1.5215e+02   1.492e-01    0  38.724   0.85 22.0443 
OBS:  53755.200  y NULL   2.4256e+02   1.152e-01    0  39.849   0.85 21.5379 
OBS:  53755.200  A NULL   4.1676e+02   1.885e-01    0  40.315   0.85 20.9503 
OBS:  53755.200  z NULL   4.6433e+02   1.355e-01    0  40.127   0.85 20.8329 
OBS:  53760.200  y NULL   1.5857e+02   8.318e-02    0  40.471   0.85 21.9995 
OBS:  53760.200  A NULL   3.9236e+02   2.017e-01    0  40.161   0.85 21.0158 
OBS:  53760.200  z NULL   3.8891e+02   1.268e-01    0  40.231   0.85 21.0254 
OBS:  53760.200  x NULL   2.3291e+02   1.235e-01    0  39.891   0.85 21.5820 
