SURVEY: PS1_LOWZ_COMBINED(CFA2)   
SNID:   5999416   
IAUC:    NULL 
PHOTOMETRY_VERSION: SALT3TEST_SIMPLE 
SNTYPE:  1 
FILTERS: bcdeghijlmnopqrsuvwxyzACDEFHIJK 
RA:      21.189381  deg 
DEC:     9.511770  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0000    MW E(B-V) 
MWEBV_ERR:   0.0000    error on MWEBV 
REDSHIFT_HELIO:   0.193274 +- 0.000010  (Helio, z_best) 
REDSHIFT_FINAL:   0.192036 +- 0.000010  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   51752.422 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_RA:       -999.000000    # deg 
HOSTGAL_DEC:      -999.000000    # deg 
HOSTGAL_SNSEP:    -9.000    # arcsec 
HOSTGAL_DDLR:     -9.000    # SNSEP/DLR  
HOSTGAL_CONFUSION:   0.000  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  428  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.19326  
SIM_REDSHIFT_CMB:    0.19203  
SIM_REDSHIFT_HOST:   0.19326  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.8600  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        21.189381 deg  
SIM_DEC:       9.511770 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0000   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  0   (MW color-law option) 
SIMOPT_MWEBV:       0   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000  (bcdeghijlmnopqrsuvwxyzACDEFHIJK F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  20.90  20.39  20.30
      20.35  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_PEAKMJD:   51752.421875  days 
SIM_SALT2alpha:    0.165   
SIM_SALT2beta:     3.032   
SIM_SALT2x0:   1.2567e-04   
SIM_SALT2x1:    0.6550   
SIM_SALT2c:     0.0000   
SIM_SALT2mB:   20.3869   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -7.08   days 
SIM_TRESTMAX:    37.24   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 358 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  51743.969  H NULL   3.6435e+02   1.641e+00    0  34.706   0.85 21.0962 
OBS:  51743.969  I NULL   5.1632e+02   3.401e+00    0  33.905   0.85 20.7177 
OBS:  51743.969  J NULL   5.4860e+02   2.540e+00    0  34.473   0.85 20.6519 
OBS:  51743.969  K NULL   6.0141e+02   3.581e+00    0  34.579   0.85 20.5521 
OBS:  51744.898  H NULL   3.9511e+02   1.279e+01    0  32.218   0.85 21.0082 
OBS:  51744.898  I NULL   5.5838e+02   8.774e+00    0  32.703   0.85 20.6327 
OBS:  51744.898  J NULL   5.9233e+02   2.317e+01    0  31.595   0.85 20.5686 
OBS:  51744.898  K NULL   6.3973e+02   2.387e+01    0  31.682   0.85 20.4850 
OBS:  51744.922  H NULL   3.9582e+02   1.293e+00    0  35.049   0.85 21.0062 
OBS:  51744.922  I NULL   5.5940e+02   2.686e+00    0  34.235   0.85 20.6307 
OBS:  51744.922  J NULL   5.9339e+02   4.579e+00    0  33.621   0.85 20.5667 
OBS:  51744.922  K NULL   6.4060e+02   1.041e+01    0  32.804   0.85 20.4835 
OBS:  51744.961  H NULL   3.9699e+02   1.075e+00    0  35.346   0.85 21.0031 
OBS:  51744.961  I NULL   5.6105e+02   1.465e+00    0  35.179   0.85 20.6275 
OBS:  51744.961  J NULL   5.9510e+02   2.909e+00    0  34.271   0.85 20.5635 
OBS:  51744.961  K NULL   6.4203e+02   3.903e+00    0  34.425   0.85 20.4811 
OBS:  51745.859  H NULL   4.2063e+02   9.882e-01    0  35.484   0.85 20.9402 
OBS:  51745.859  I NULL   5.9635e+02   2.999e+00    0  34.087   0.85 20.5613 
OBS:  51745.859  J NULL   6.3169e+02   5.747e+00    0  33.292   0.85 20.4987 
OBS:  51745.859  K NULL   6.7035e+02   1.140e+01    0  32.651   0.85 20.4342 
OBS:  51745.879  H NULL   4.2111e+02   9.575e-01    0  35.524   0.85 20.9390 
OBS:  51745.879  I NULL   5.9709e+02   2.922e+00    0  34.118   0.85 20.5599 
OBS:  51745.879  J NULL   6.3245e+02   5.121e+00    0  33.472   0.85 20.4974 
OBS:  51745.930  H NULL   4.2231e+02   1.138e+00    0  35.262   0.85 20.9359 
OBS:  51745.930  I NULL   5.9898e+02   2.940e+00    0  34.111   0.85 20.5565 
OBS:  51745.930  J NULL   6.3441e+02   5.297e+00    0  33.409   0.85 20.4941 
OBS:  51745.930  K NULL   6.7232e+02   1.147e+01    0  32.645   0.85 20.4311 
OBS:  51746.000  H NULL   4.2392e+02   1.247e+00    0  35.126   0.85 20.9318 
OBS:  51746.000  I NULL   6.0152e+02   1.675e+00    0  34.978   0.85 20.5519 
OBS:  51746.000  J NULL   6.3704e+02   1.921e+00    0  34.960   0.85 20.4896 
OBS:  51746.000  K NULL   6.7419e+02   2.749e+00    0  35.079   0.85 20.4280 
OBS:  51746.988  H NULL   4.4167e+02   1.402e+00    0  34.965   0.85 20.8873 
OBS:  51746.988  I NULL   6.3307e+02   1.834e+00    0  34.827   0.85 20.4964 
OBS:  51746.988  J NULL   6.6953e+02   5.568e+00    0  33.355   0.85 20.4356 
OBS:  51746.988  K NULL   6.9340e+02   6.748e+00    0  33.472   0.85 20.3975 
OBS:  51749.840  H NULL   4.5637e+02   1.578e+00    0  34.803   0.85 20.8517 
OBS:  51749.840  I NULL   6.8866e+02   4.312e+00    0  33.605   0.85 20.4050 
OBS:  51749.840  J NULL   7.3031e+02   7.256e+00    0  33.011   0.85 20.3412 
OBS:  51749.840  K NULL   7.0945e+02   1.424e+01    0  32.354   0.85 20.3727 
OBS:  51749.949  H NULL   4.5616e+02   8.660e+00    0  32.665   0.85 20.8522 
OBS:  51749.949  I NULL   6.8986e+02   2.509e+01    0  31.496   0.85 20.4031 
OBS:  51749.949  J NULL   7.3199e+02   3.106e+01    0  31.262   0.85 20.3387 
OBS:  51750.859  H NULL   4.5246e+02   1.365e+00    0  35.002   0.85 20.8610 
OBS:  51750.859  I NULL   6.9731e+02   4.217e+00    0  33.632   0.85 20.3914 
OBS:  51750.859  J NULL   7.4442e+02   1.794e+01    0  31.897   0.85 20.3205 
OBS:  51750.879  H NULL   4.5234e+02   1.550e+00    0  34.823   0.85 20.8613 
OBS:  51750.879  I NULL   6.9742e+02   4.671e+00    0  33.513   0.85 20.3913 
OBS:  51750.879  J NULL   7.4465e+02   7.607e+00    0  32.936   0.85 20.3201 
