Parameter Name                 Value
m0                             9.480713e-05
m0                             9.196344e-05
m0                             9.736426e-05
m0                             9.936908e-05
m0                             1.066088e-04
m0                             3.607305e-05
m0                             6.871887e-05
m0                             8.854935e-05
m0                             6.949711e-05
m0                             9.708971e-05
m0                             2.458202e-05
m0                             2.928845e-05
m0                             1.064089e-04
m0                             1.012615e-04
m0                             4.099338e-04
m0                             1.124073e-04
m0                             4.389476e-04
m0                             6.274248e-04
m0                             1.194420e-04
m0                             2.598202e-04
m0                             6.577555e-05
m0                             9.057736e-05
m0                             1.131789e-04
m0                             8.654743e-05
m0                             9.659382e-05
m0                             1.135909e-03
m0                             4.260267e-04
m0                             4.474809e-04
m0                             1.005569e-04
m0                             9.928675e-05
m0                             3.043789e-04
m0                             9.759512e-05
m0                             1.134364e-04
m0                             3.408193e-06
m0                             4.028839e-05
m0                             9.183449e-05
m0                             1.044105e-04
m0                             9.880138e-05
m0                             1.005717e-04
m0                             6.714337e-05
m0                             1.312241e-04
m0                             6.759007e-05
m0                             9.965144e-05
m0                             4.019433e-05
m0                             9.271935e-05
m0                             6.768505e-05
m0                             2.457662e-05
m0                             9.307675e-05
m0                             4.670130e-05
m0                             9.297461e-05
m0                             8.212710e-05
m0                             2.069489e-06
m0                             1.022226e-04
m0                             9.545758e-05
m0                             2.641148e-05
m0                             6.298550e-05
m0                             2.314986e-05
m0                             1.048715e-04
m0                             1.305660e-04
m0                             3.379239e-05
m0                             4.776324e-05
m0                             8.056674e-05
m0                             9.981148e-05
m0                             9.378414e-05
m0                             9.840654e-05
m0                             1.011010e-05
m0                             9.908140e-06
m0                             2.292083e-05
m0                             2.201287e-06
m0                             7.930549e-06
m0                             9.349533e-05
m0                             8.979219e-05
m0                             1.038330e-04
m0                             1.012775e-04
m0                             1.143025e-04
m0                             9.159225e-05
m0                             1.807399e-05
m0                             1.058332e-04
m0                             1.005906e-04
m0                             9.853090e-05
m0                             9.568652e-05
m0                             9.599584e-05
m0                             9.957684e-05
m0                             9.579132e-05
m0                             2.201862e-05
m0                             7.947674e-05
m0                             1.000292e-04
m0                             9.295880e-05
m0                             4.806220e-05
m0                             2.562082e-05
m0                             1.129062e-04
m0                             1.046630e-04
m0                             9.015227e-05
m0                             1.045494e-04
m0                             8.542155e-05
m0                             1.068460e-04
m0                             9.093668e-05
m0                             1.105104e-04
m0                             1.066719e-04
m0                             9.847625e-05
m0                             1.055307e-04
m0                             1.014613e-04
m0                             3.976238e-06
m0                             9.898434e-05
m0                             1.062465e-04
m0                             3.028818e-06
m0                             3.256865e-04
m0                             4.071076e-04
m0                             7.061769e-04
m0                             5.022089e-04
m0                             1.481836e-04
m0                             8.957717e-05
m0                             1.071207e-04
m0                             9.688408e-05
m0                             9.881895e-05
m0                             9.617513e-05
m0                             1.026006e-04
m0                             9.209078e-05
m0                             6.618294e-04
m0                             1.038412e-04
m0                             9.774595e-05
m0                             1.021529e-04
m0                             9.766110e-05
m0                             1.031497e-04
m0                             9.222498e-05
m0                             9.857993e-05
m0                             8.933724e-05
m0                             8.515947e-05
m0                             5.773166e-03
m0                             6.168309e-03
m0                             3.085617e-03
m0                             9.758944e-05
m0                             9.385608e-05
m0                             9.643954e-05
m0                             1.524648e-03
m0                             4.267042e-03
m0                             1.084863e-04
m0                             1.035299e-04
m0                             2.368108e-03
m0                             9.497109e-05
m0                             9.046602e-05
m0                             9.316704e-05
m0                             9.432923e-04
m0                             1.696668e-03
m0                             7.630093e-04
m0                             1.070618e-04
m0                             1.033463e-04
m0                             9.952496e-05
m0                             1.025906e-04
m0                             9.653533e-05
m0                             1.090701e-03
m0                             1.267875e-04
m0                             9.783829e-05
m0                             9.815527e-05
m0                             8.798355e-05
m0                             1.003331e-04
m0                             1.055952e-04
m0                             9.838568e-05
m0                             9.844401e-05
m0                             9.787304e-05
m0                             9.274169e-05
m0                             1.019638e-04
m0                             1.074176e-04
m0                             1.060880e-04
m0                             1.129521e-04
m0                             9.586524e-05
m0                             8.452642e-05
m0                             1.077541e-04
m0                             1.240492e-04
m0                             8.386614e-05
m0                             8.622171e-05
m0                             8.996265e-05
m0                             9.995493e-05
m0                             1.024359e-04
m0                             1.059154e-04
m0                             7.897629e-05
m0                             1.006926e-04
m0                             1.027726e-04
m0                             1.049431e-04
m0                             1.042161e-04
m0                             1.329649e-04
m0                             1.086402e-04
m0                             1.011016e-04
m0                             1.021785e-04
m0                             9.405610e-05
m0                             6.049653e-05
m0                             8.869002e-05
m0                             4.378359e-05
m0                             9.946209e-05
m0                             1.036625e-04
m0                             9.879740e-05
m0                             1.008529e-04
m0                             8.865061e-05
m0                             9.756211e-05
m0                             1.121527e-04
m0                             1.002435e-04
m0                             1.132750e-04
m0                             1.040928e-04
m0                             3.926132e-05
m0                             9.580018e-05
m0                             8.491272e-05
m0                             9.504469e-05
m0                             9.021094e-05
m0                             1.008558e-04
m0                             8.983153e-05
m0                             9.882809e-05
m0                             1.280013e-04
m0                             1.005971e-04
m0                             1.045430e-04
m0                             9.513043e-05
m0                             5.635747e-05
m0                             1.107841e-04
m0                             8.929257e-05
m0                             1.025832e-04
m0                             8.987913e-05
m0                             1.033832e-04
m0                             9.627422e-05
m0                             1.118280e-03
m0                             2.396510e-03
m0                             1.965852e-03
m0                             2.285853e-03
m0                             2.100808e-03
m0                             8.012370e-04
m0                             1.261756e-03
m0                             9.546921e-05
m0                             3.522388e-03
m0                             1.240185e-02
m0                             9.502979e-03
m0                             1.118645e-02
m0                             2.450350e-02
m0                             1.079362e-02
m0                             1.114347e-02
m0                             3.598330e-03
m0                             2.126059e-03
m0                             9.758124e-05
m0                             1.064764e-04
m0                             4.380480e-04
m0                             2.359299e-02
m0                             1.083236e-02
m0                             1.656723e-02
m0                             2.644136e-03
m0                             1.029857e-04
m0                             1.590478e-02
m0                             7.537062e-03
m0                             1.118591e-03
m0                             6.026553e-03
m0                             4.284829e-03
m0                             7.683354e-03
m0                             1.441253e-03
m0                             9.998919e-05
m0                             1.338036e-03
m0                             5.357619e-03
m0                             6.108250e-03
m0                             5.174095e-03
m0                             4.597777e-03
m0                             3.564534e-03
m0                             9.426394e-05
m0                             4.373752e-03
m0                             4.406507e-03
m0                             3.181197e-03
m0                             3.925020e-03
m0                             2.927175e-03
m0                             4.084332e-03
m0                             3.298019e-03
m0                             1.807620e-03
m0                             2.928961e-03
m0                             3.115479e-03
m0                             4.453718e-03
m0                             3.693646e-03
m0                             2.987528e-03
m0                             5.495048e-03
m0                             2.713433e-03
m0                             2.565423e-03
m0                             1.766357e-03
m0                             1.516027e-03
m0                             1.421659e-03
m0                             2.034324e-03
m0                             2.163047e-03
m0                             2.060590e-03
m0                             2.230369e-03
m0                             2.118781e-03
m0                             1.761680e-03
m0                             1.389576e-03
m0                             1.113249e-03
m0                             1.104955e-03
m0                             1.223188e-03
m0                             7.419277e-04
m0                             1.094845e-03
m0                             1.725613e-03
m0                             1.020041e-03
m0                             9.540968e-04
m0                             6.184775e-04
m0                             7.724068e-04
m0                             6.704464e-04
m0                             8.818552e-04
m0                             8.697129e-04
m0                             1.176048e-03
m0                             1.862441e-03
m0                             2.821310e-03
m0                             2.150064e-03
m0                             1.727734e-03
m0                             1.521509e-03
m0                             7.603352e-04
m0                             6.383671e-04
m0                             6.561574e-04
m0                             7.839043e-04
m0                             7.706213e-04
m0                             7.815193e-04
m0                             7.736890e-04
m0                             5.885523e-04
m0                             8.023398e-04
m0                             5.521787e-04
m0                             5.884461e-04
m0                             7.119486e-04
m0                             1.021688e-03
m0                             1.856168e-04
m0                             2.101974e-04
m0                             5.496660e-04
m0                             1.480089e-03
m0                             2.342140e-03
m0                             2.072262e-03
m0                             2.431961e-03
m0                             3.897439e-03
m0                             4.404002e-03
m0                             2.973772e-03
m0                             2.850511e-03
m0                             2.202499e-03
m0                             2.736695e-03
m0                             3.566768e-03
m0                             5.268326e-03
m0                             5.887464e-03
m0                             1.271477e-02
m0                             1.716800e-02
m0                             5.010651e-02
m0                             1.825762e-02
m0                             7.508905e-02
m0                             7.347843e-02
m0                             5.355453e-02
m0                             2.230660e-02
m0                             3.642533e-02
m0                             5.745787e-02
m0                             1.186846e-01
m0                             1.035783e-01
m0                             1.088298e-02
m0                             2.817905e-02
m0                             3.174278e-02
m0                             7.022811e-02
m0                             9.898708e-02
m0                             9.400721e-02
m0                             9.644520e-02
m0                             7.010107e-02
m0                             5.765857e-02
m0                             3.575889e-02
m0                             4.259734e-02
m0                             4.012063e-02
m0                             4.732511e-02
m0                             4.237845e-02
m0                             2.913480e-02
m0                             2.928346e-02
m0                             3.015334e-02
m0                             2.769595e-02
m0                             2.456174e-02
m0                             3.380967e-02
m0                             3.459100e-02
m0                             3.535122e-02
m0                             3.152899e-02
m0                             2.303064e-02
m0                             3.013444e-02
m0                             2.218996e-02
m0                             2.506988e-02
m0                             2.869408e-02
m0                             2.248522e-02
m0                             3.086689e-02
m0                             2.459556e-02
m0                             2.524876e-02
m0                             2.372986e-02
m0                             1.579086e-02
m0                             1.400310e-02
m0                             1.138957e-02
m0                             1.823956e-02
m0                             2.107700e-02
m0                             1.998780e-02
m0                             1.985993e-02
m0                             2.184848e-02
m0                             1.947530e-02
m0                             1.886825e-02
m0                             1.616163e-02
m0                             1.579149e-02
m0                             1.395890e-02
m0                             1.589856e-02
m0                             1.411730e-02
m0                             1.425482e-02
m0                             1.359390e-02
m0                             1.416960e-02
m0                             9.342056e-03
m0                             1.102448e-02
m0                             1.082166e-02
m0                             1.094422e-02
m0                             1.121251e-02
m0                             1.038912e-02
m0                             1.040880e-02
m0                             9.277684e-03
m0                             8.186077e-03
m0                             4.598430e-03
m0                             3.184161e-03
m0                             4.792490e-03
m0                             5.934086e-03
m0                             5.723312e-03
m0                             8.654048e-03
m0                             9.469234e-03
m0                             1.010793e-02
m0                             9.657152e-03
m0                             8.972615e-03
m0                             7.718912e-03
m0                             9.700233e-03
m0                             9.651483e-03
m0                             8.185251e-03
m0                             7.168908e-03
m0                             6.624878e-03
m0                             6.644296e-03
m0                             8.145715e-03
m0                             5.337762e-03
m0                             5.424415e-03
m0                             3.841664e-03
m0                             9.984294e-03
m0                             1.134257e-02
m0                             1.235539e-02
m0                             1.445220e-02
m0                             1.863647e-02
m0                             2.043000e-02
m0                             2.463327e-02
m0                             2.671431e-02
m0                             2.534913e-02
m0                             2.524012e-02
m0                             2.253254e-02
m0                             2.601009e-02
m0                             2.509453e-02
m0                             5.807075e-02
m0                             6.394693e-02
m0                             1.511323e-01
m0                             1.083947e-01
m0                             1.589090e-01
m0                             2.083833e-01
m0                             1.685441e-01
m0                             8.632234e-02
m0                             9.589785e-02
m0                             1.404147e-01
m0                             1.773069e-01
m0                             2.485519e-01
m0                             1.320575e-01
m0                             7.316360e-02
m0                             7.713562e-02
m0                             1.606584e-01
m0                             1.540750e-01
m0                             1.839517e-01
m0                             1.421726e-01
m0                             1.736877e-01
m0                             1.429081e-01
m0                             1.051105e-01
m0                             8.053257e-02
m0                             9.315682e-02
m0                             9.801405e-02
m0                             1.039121e-01
m0                             1.070861e-01
m0                             9.443121e-02
m0                             6.946091e-02
m0                             7.185859e-02
m0                             5.481961e-02
m0                             8.603317e-02
m0                             6.906483e-02
m0                             8.015301e-02
m0                             8.689470e-02
m0                             7.227832e-02
m0                             6.038441e-02
m0                             5.503526e-02
m0                             5.686348e-02
m0                             7.882186e-02
m0                             5.603714e-02
m0                             6.111388e-02
m0                             4.361332e-02
m0                             6.344712e-02
m0                             5.699831e-02
m0                             4.688998e-02
m0                             4.619527e-02
m0                             3.312111e-02
m0                             3.641819e-02
m0                             5.146471e-02
m0                             5.127003e-02
m0                             4.446774e-02
m0                             4.536445e-02
m0                             4.443264e-02
m0                             3.884684e-02
m0                             4.325806e-02
m0                             4.077796e-02
m0                             3.369279e-02
m0                             3.668106e-02
m0                             3.249259e-02
m0                             3.033890e-02
m0                             3.252257e-02
m0                             2.913433e-02
m0                             2.599705e-02
m0                             2.549832e-02
m0                             2.516487e-02
m0                             2.407529e-02
m0                             2.114800e-02
m0                             2.300961e-02
m0                             2.543385e-02
m0                             2.374068e-02
m0                             2.171346e-02
m0                             1.817950e-02
m0                             1.353143e-02
m0                             1.761528e-02
m0                             2.044799e-02
m0                             1.703996e-02
m0                             1.791447e-02
m0                             1.987456e-02
m0                             2.106681e-02
m0                             2.457810e-02
m0                             2.256071e-02
m0                             2.428525e-02
m0                             2.263418e-02
m0                             2.023065e-02
m0                             1.685782e-02
m0                             1.905077e-02
m0                             1.808732e-02
m0                             1.641986e-02
m0                             1.591030e-02
m0                             1.348754e-02
m0                             1.379290e-02
m0                             1.146984e-02
m0                             2.270154e-02
m0                             1.801287e-02
m0                             2.581831e-02
m0                             3.483455e-02
m0                             3.515224e-02
m0                             3.337112e-02
m0                             2.188740e-02
m0                             1.638711e-02
m0                             1.949299e-02
m0                             1.686183e-02
m0                             1.749172e-02
m0                             3.035068e-02
m0                             2.698983e-02
m0                             5.366047e-02
m0                             8.393841e-02
m0                             1.952293e-01
m0                             1.196768e-01
m0                             2.898526e-01
m0                             3.095364e-01
m0                             1.205707e-01
m0                             9.492388e-02
m0                             1.644130e-01
m0                             1.895879e-01
m0                             3.614766e-01
m0                             4.097404e-01
m0                             3.470765e-01
m0                             6.359648e-02
m0                             2.517409e-01
m0                             2.923639e-01
m0                             4.390444e-01
m0                             3.723171e-01
m0                             3.321910e-01
m0                             4.019124e-01
m0                             2.594327e-01
m0                             1.800363e-01
m0                             1.944650e-01
m0                             1.946888e-01
m0                             2.157301e-01
m0                             2.057392e-01
m0                             1.973781e-01
m0                             1.548458e-01
m0                             1.710409e-01
m0                             1.429819e-01
m0                             1.283048e-01
m0                             1.274308e-01
m0                             1.398799e-01
m0                             1.714653e-01
m0                             1.842515e-01
m0                             1.302406e-01
m0                             1.416255e-01
m0                             1.057106e-01
m0                             1.009659e-01
m0                             1.198214e-01
m0                             1.258355e-01
m0                             1.224651e-01
m0                             1.157189e-01
m0                             1.128619e-01
m0                             1.042402e-01
m0                             1.010647e-01
m0                             8.698388e-02
m0                             4.287055e-02
m0                             8.068525e-02
m0                             7.942367e-02
m0                             8.559438e-02
m0                             9.718954e-02
m0                             7.438563e-02
m0                             8.733773e-02
m0                             7.621350e-02
m0                             7.367662e-02
m0                             5.702736e-02
m0                             6.001014e-02
m0                             5.894527e-02
m0                             6.216432e-02
m0                             5.840852e-02
m0                             5.801828e-02
m0                             6.053777e-02
m0                             5.742775e-02
m0                             4.519342e-02
m0                             5.037237e-02
m0                             4.766492e-02
m0                             4.159971e-02
m0                             4.820761e-02
m0                             4.605477e-02
m0                             4.262095e-02
m0                             3.847650e-02
m0                             2.805491e-02
m0                             3.137061e-02
m0                             2.596666e-02
m0                             3.377499e-02
m0                             3.715475e-02
m0                             3.849864e-02
m0                             3.318747e-02
m0                             3.462630e-02
m0                             3.238640e-02
m0                             3.752323e-02
m0                             3.363316e-02
m0                             3.545443e-02
m0                             3.369333e-02
m0                             3.071313e-02
m0                             2.989795e-02
m0                             2.815342e-02
m0                             2.176154e-02
m0                             2.618138e-02
m0                             2.075346e-02
m0                             2.441457e-02
