SURVEY: PS1_LOWZ_COMBINED(CFA3K)   
SNID:   5999478   
IAUC:    NULL 
PHOTOMETRY_VERSION: MD_BYOSEDTEST 
SNTYPE:  1 
FILTERS: bcdeghijlmnopqrsuvwxyzACDEFHIJK 
RA:      279.995590  deg 
DEC:     39.982320  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0000    MW E(B-V) 
MWEBV_ERR:   0.0000    error on MWEBV 
REDSHIFT_HELIO:   0.312787 +- 0.000010  (Helio, z_best) 
REDSHIFT_FINAL:   0.312198 +- 0.000010  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53848.293 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_RA:       -999.000000    # deg 
HOSTGAL_DEC:      -999.000000    # deg 
HOSTGAL_SNSEP:    -9.000    # arcsec 
HOSTGAL_DDLR:     -9.000    # SNSEP/DLR  
HOSTGAL_CONFUSION:   0.000  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  103  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.31278  
SIM_REDSHIFT_CMB:    0.31219  
SIM_REDSHIFT_HOST:   0.31278  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      41.0564  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        279.995575 deg  
SIM_DEC:       39.982319 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0000   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  0   (MW color-law option) 
SIMOPT_MWEBV:       0   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_SNMAGSHIFT_HOSTCOR:  0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000  (bcdeghijlmnopqrsuvwxyzACDEFHIJK F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  22.64  21.58  21.58  21.55  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_PEAKMJD:   53848.292969  days 
SIM_SALT2alpha:    0.165   
SIM_SALT2beta:     3.032   
SIM_SALT2x0:   3.8084e-05   
SIM_SALT2x1:    1.1387   
SIM_SALT2c:     0.0592   
SIM_SALT2mB:   21.6831   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     1.65   days 
SIM_TRESTMAX:    38.90   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 77 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53850.461  h NULL   2.2460e+02   2.658e-01    0  38.258   0.85  21.6209 
OBS:  53850.465  i NULL   2.3000e+02   3.265e-01    0  38.120   0.85  21.5963 
OBS:  53850.469  j NULL   2.4145e+02   5.197e-01    0  38.073   0.85  21.5449 
OBS:  53850.469  g NULL   7.8053e+01   1.814e-01    0  38.172   0.85  22.7625 
OBS:  53851.457  h NULL   2.1950e+02   2.445e-01    0  38.436   0.85  21.6450 
OBS:  53851.461  i NULL   2.2665e+02   3.162e-01    0  38.182   0.85  21.6106 
OBS:  53851.461  j NULL   2.4026e+02   4.693e-01    0  38.292   0.85  21.5490 
OBS:  53851.465  g NULL   7.4291e+01   1.497e-01    0  38.541   0.85  22.8238 
OBS:  53852.426  h NULL   2.1393e+02   2.434e-01    0  38.439   0.85  21.6729 
OBS:  53852.430  i NULL   2.2356e+02   2.807e-01    0  38.440   0.85  21.6283 
OBS:  53852.434  j NULL   2.3798e+02   4.277e-01    0  38.496   0.85  21.5570 
OBS:  53852.434  g NULL   6.9822e+01   1.351e-01    0  38.753   0.85  22.8876 
OBS:  53854.457  h NULL   2.0079e+02   2.512e-01    0  38.370   0.85  21.7435 
OBS:  53854.461  i NULL   2.1337e+02   3.003e-01    0  38.288   0.85  21.6762 
OBS:  53854.461  j NULL   2.3107e+02   4.850e-01    0  38.222   0.85  21.5862 
OBS:  53854.465  g NULL   6.1300e+01   1.788e-01    0  38.158   0.85  23.0319 
OBS:  53855.438  h NULL   1.9388e+02   2.406e-01    0  38.444   0.85  21.7817 
OBS:  53855.441  i NULL   2.0784e+02   3.059e-01    0  38.240   0.85  21.7038 
OBS:  53855.445  j NULL   2.2740e+02   5.150e-01    0  38.093   0.85  21.6073 
OBS:  53855.445  g NULL   5.7559e+01   1.496e-01    0  38.525   0.85  23.1043 
OBS:  53856.469  h NULL   1.8586e+02   2.691e-01    0  38.208   0.85  21.8249 
OBS:  53856.473  i NULL   2.0224e+02   2.746e-01    0  38.474   0.85  21.7362 
OBS:  53856.473  j NULL   2.2279e+02   4.326e-01    0  38.467   0.85  21.6341 
OBS:  53856.477  g NULL   5.3488e+01   1.485e-01    0  38.517   0.85  23.1823 
OBS:  53857.469  h NULL   1.7826e+02   2.214e-01    0  38.611   0.85  21.8699 
OBS:  53857.473  i NULL   1.9541e+02   3.032e-01    0  38.263   0.85  21.7709 
OBS:  53857.473  j NULL   2.1561e+02   4.326e-01    0  38.461   0.85  21.6649 
OBS:  53857.477  g NULL   4.9742e+01   1.323e-01    0  38.757   0.85  23.2602 
OBS:  53858.441  i NULL   1.8932e+02   2.712e-01    0  38.492   0.85  21.8078 
OBS:  53858.445  j NULL   2.1006e+02   4.602e-01    0  38.331   0.85  21.6999 
OBS:  53858.445  h NULL   1.7098e+02   2.333e-01    0  38.505   0.85  21.9173 
OBS:  53858.457  g NULL   4.6243e+01   1.498e-01    0  38.486   0.85  23.3394 
OBS:  53859.410  i NULL   1.8261e+02   2.615e-01    0  38.561   0.85  21.8473 
OBS:  53859.410  j NULL   2.0126e+02   4.542e-01    0  38.355   0.85  21.7371 
OBS:  53859.414  h NULL   1.6339e+02   2.223e-01    0  38.592   0.85  21.9674 
OBS:  53859.426  g NULL   4.2819e+01   1.224e-01    0  38.907   0.85  23.4199 
OBS:  53861.418  h NULL   1.4675e+02   2.233e-01    0  38.571   0.85  22.0825 
OBS:  53861.422  i NULL   1.6736e+02   2.735e-01    0  38.460   0.85  21.9373 
OBS:  53861.422  j NULL   1.8688e+02   4.455e-01    0  38.390   0.85  21.8202 
OBS:  53861.426  g NULL   3.6552e+01   1.333e-01    0  38.711   0.85  23.5932 
OBS:  53862.438  i NULL   1.6042e+02   2.484e-01    0  38.656   0.85  21.9873 
OBS:  53862.438  j NULL   1.7997e+02   4.838e-01    0  38.213   0.85  21.8645 
OBS:  53862.441  h NULL   1.3823e+02   2.316e-01    0  38.491   0.85  22.1485 
OBS:  53862.453  g NULL   3.3611e+01   1.169e-01    0  38.983   0.85  23.6867 
OBS:  53866.418  i NULL   1.2930e+02   2.609e-01    0  38.532   0.85  22.2204 
OBS:  53866.422  j NULL   1.5079e+02   4.547e-01    0  38.337   0.85  22.0546 
OBS:  53866.426  h NULL   1.0289e+02   2.156e-01    0  38.609   0.85  22.4692 
OBS:  53866.434  g NULL   2.3260e+01   1.557e-01    0  38.378   0.85  24.0887 
OBS:  53867.379  i NULL   1.2260e+02   2.586e-01    0  38.555   0.85  22.2798 
