SURVEY: PS1_LOWZ_COMBINED(CFA3K)   
SNID:   5999531   
IAUC:    NULL 
PHOTOMETRY_VERSION: MD_BYOSEDTEST 
SNTYPE:  1 
FILTERS: bcdeghijlmnopqrsuvwxyzACDEFHIJK 
RA:      171.259620  deg 
DEC:     -9.798320  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0000    MW E(B-V) 
MWEBV_ERR:   0.0000    error on MWEBV 
REDSHIFT_HELIO:   0.235607 +- 0.000010  (Helio, z_best) 
REDSHIFT_FINAL:   0.237134 +- 0.000010  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54224.605 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_RA:       -999.000000    # deg 
HOSTGAL_DEC:      -999.000000    # deg 
HOSTGAL_SNSEP:    -9.000    # arcsec 
HOSTGAL_DDLR:     -9.000    # SNSEP/DLR  
HOSTGAL_CONFUSION:   0.000  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  167  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.23559  
SIM_REDSHIFT_CMB:    0.23712  
SIM_REDSHIFT_HOST:   0.23559  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      40.3692  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        171.259613 deg  
SIM_DEC:       -9.798320 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0000   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  0   (MW color-law option) 
SIMOPT_MWEBV:       0   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_SNMAGSHIFT_HOSTCOR:  0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000  (bcdeghijlmnopqrsuvwxyzACDEFHIJK F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  21.32  20.68  20.80  20.91  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_PEAKMJD:   54224.605469  days 
SIM_SALT2alpha:    0.165   
SIM_SALT2beta:     3.032   
SIM_SALT2x0:   8.8003e-05   
SIM_SALT2x1:    0.3720   
SIM_SALT2c:    -0.0558   
SIM_SALT2mB:   20.7738   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -8.42   days 
SIM_TRESTMAX:    33.65   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 70 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54214.207  j NULL   2.5292e+02   8.793e-01    0  36.956   0.85  21.4884 
OBS:  54214.207  i NULL   2.8249e+02   4.996e-01    0  37.268   0.85  21.3718 
OBS:  54214.211  h NULL   3.2095e+02   3.668e-01    0  37.660   0.85  21.2342 
OBS:  54214.215  g NULL   2.0277e+02   3.015e-01    0  37.347   0.85  21.7299 
OBS:  54215.156  j NULL   2.8444e+02   9.932e-01    0  36.703   0.85  21.3688 
OBS:  54215.156  i NULL   3.1543e+02   5.196e-01    0  37.194   0.85  21.2523 
OBS:  54215.160  h NULL   3.5917e+02   3.779e-01    0  37.615   0.85  21.1105 
OBS:  54215.164  g NULL   2.3085e+02   3.310e-01    0  37.198   0.85  21.5892 
OBS:  54216.117  j NULL   3.1225e+02   1.180e+00    0  36.354   0.85  21.2655 
OBS:  54216.121  i NULL   3.4742e+02   9.783e-01    0  35.974   0.85  21.1484 
OBS:  54216.121  h NULL   3.9615e+02   5.176e-01    0  37.006   0.85  21.0038 
OBS:  54226.168  j NULL   4.3614e+02   1.001e+00    0  36.722   0.85  20.8995 
OBS:  54226.172  i NULL   4.7484e+02   8.249e-01    0  36.336   0.85  20.8084 
OBS:  54226.176  h NULL   5.2515e+02   6.349e-01    0  36.674   0.85  20.6999 
OBS:  54226.176  g NULL   2.7705e+02   4.137e-01    0  36.835   0.85  21.3936 
OBS:  54227.137  j NULL   4.3438e+02   1.158e+00    0  36.413   0.85  20.9019 
OBS:  54227.137  i NULL   4.7168e+02   9.922e-01    0  35.988   0.85  20.8174 
OBS:  54227.141  h NULL   5.1391e+02   6.330e-01    0  36.674   0.85  20.7215 
OBS:  54227.145  g NULL   2.6326e+02   3.649e-01    0  37.043   0.85  21.4473 
OBS:  54230.137  j NULL   4.1651e+02   1.097e+00    0  36.530   0.85  20.9467 
OBS:  54230.137  i NULL   4.4751e+02   9.412e-01    0  36.064   0.85  20.8739 
OBS:  54230.141  h NULL   4.6862e+02   6.691e-01    0  36.540   0.85  20.8259 
OBS:  54230.145  g NULL   2.1850e+02   3.623e-01    0  37.019   0.85  21.6461 
OBS:  54232.152  j NULL   3.9166e+02   9.418e-01    0  36.837   0.85  21.0141 
OBS:  54232.156  i NULL   4.2349e+02   6.679e-01    0  36.749   0.85  20.9337 
OBS:  54232.156  h NULL   4.2836e+02   5.044e-01    0  37.064   0.85  20.9205 
OBS:  54232.160  g NULL   1.9198e+02   2.936e-01    0  37.389   0.85  21.7954 
OBS:  54233.219  j NULL   3.7435e+02   9.042e-01    0  36.920   0.85  21.0630 
OBS:  54233.219  i NULL   4.0922e+02   7.082e-01    0  36.615   0.85  20.9718 
OBS:  54233.223  h NULL   4.0626e+02   5.499e-01    0  36.890   0.85  20.9782 
OBS:  54233.227  g NULL   1.7733e+02   3.059e-01    0  37.291   0.85  21.8785 
OBS:  54234.172  j NULL   3.5663e+02   1.028e+00    0  36.652   0.85  21.1160 
OBS:  54234.172  i NULL   3.9549e+02   8.925e-01    0  36.151   0.85  21.0105 
OBS:  54234.176  h NULL   3.8500e+02   6.559e-01    0  36.536   0.85  21.0353 
OBS:  54234.180  g NULL   1.6509e+02   3.165e-01    0  37.202   0.85  21.9561 
OBS:  54237.152  j NULL   3.0424e+02   8.956e-01    0  36.932   0.85  21.2886 
OBS:  54237.156  i NULL   3.4717e+02   6.778e-01    0  36.681   0.85  21.1474 
OBS:  54237.156  h NULL   3.2098e+02   4.722e-01    0  37.148   0.85  21.2347 
OBS:  54237.160  g NULL   1.2966e+02   2.367e-01    0  37.719   0.85  22.2175 
OBS:  54239.203  j NULL   2.7560e+02   8.996e-01    0  36.914   0.85  21.3977 
OBS:  54239.203  i NULL   3.1498e+02   6.482e-01    0  36.755   0.85  21.2556 
OBS:  54239.207  h NULL   2.7739e+02   5.276e-01    0  36.893   0.85  21.3929 
OBS:  54239.211  g NULL   1.0788e+02   2.049e-01    0  37.967   0.85  22.4203 
OBS:  54240.156  j NULL   2.6416e+02   8.363e-01    0  37.060   0.85  21.4452 
OBS:  54240.160  i NULL   2.9964e+02   6.338e-01    0  36.777   0.85  21.3121 
OBS:  54240.160  h NULL   2.5647e+02   4.616e-01    0  37.136   0.85  21.4755 
OBS:  54240.164  g NULL   9.7725e+01   2.055e-01    0  37.939   0.85  22.5246 
OBS:  54247.234  i NULL   2.0836e+02   7.783e-01    0  36.333   0.85  21.7070 
OBS:  54247.238  h NULL   1.4540e+02   5.111e-01    0  36.863   0.85  22.0982 
