SURVEY: PS1_LOWZ_COMBINED(CFA3K)   
SNID:   5999448   
IAUC:    NULL 
PHOTOMETRY_VERSION: MD_BYOSEDTEST 
SNTYPE:  1 
FILTERS: bcdeghijlmnopqrsuvwxyzACDEFHIJK 
RA:      230.384270  deg 
DEC:     -7.413240  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0000    MW E(B-V) 
MWEBV_ERR:   0.0000    error on MWEBV 
REDSHIFT_HELIO:   0.343368 +- 0.000010  (Helio, z_best) 
REDSHIFT_FINAL:   0.344153 +- 0.000010  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53534.188 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_RA:       -999.000000    # deg 
HOSTGAL_DEC:      -999.000000    # deg 
HOSTGAL_SNSEP:    -9.000    # arcsec 
HOSTGAL_DDLR:     -9.000    # SNSEP/DLR  
HOSTGAL_CONFUSION:   0.000  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  68  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.34339  
SIM_REDSHIFT_CMB:    0.34417  
SIM_REDSHIFT_HOST:   0.34339  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      41.3002  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        230.384277 deg  
SIM_DEC:       -7.413240 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0000   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  0   (MW color-law option) 
SIMOPT_MWEBV:       0   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_SNMAGSHIFT_HOSTCOR:  0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000  (bcdeghijlmnopqrsuvwxyzACDEFHIJK F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  22.73  21.78  21.77  21.93  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_PEAKMJD:   53534.187500  days 
SIM_SALT2alpha:    0.165   
SIM_SALT2beta:     3.032   
SIM_SALT2x0:   3.1929e-05   
SIM_SALT2x1:   -1.6198   
SIM_SALT2c:    -0.1081   
SIM_SALT2mB:   21.8745   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -9.64   days 
SIM_TRESTMAX:    17.11   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 74 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53521.238  h NULL   6.1306e+01   4.022e-01    0  37.290   0.85  23.0261 
OBS:  53521.242  i NULL   6.0326e+01   4.927e-01    0  37.165   0.85  23.0578 
OBS:  53521.242  j NULL   5.3469e+01   4.863e-01    0  38.175   0.85  23.1794 
OBS:  53521.242  g NULL   2.4041e+01   2.731e-01    0  37.273   0.85  24.0436 
OBS:  53522.234  h NULL   7.6394e+01   5.183e-01    0  36.785   0.85  22.7800 
OBS:  53522.238  h NULL   7.6458e+01   4.822e-01    0  36.952   0.85  22.7791 
OBS:  53522.238  i NULL   7.3775e+01   5.852e-01    0  36.817   0.85  22.8241 
OBS:  53522.238  j NULL   6.5847e+01   7.499e-01    0  37.245   0.85  22.9646 
OBS:  53522.242  g NULL   3.5142e+01   3.874e-01    0  36.669   0.85  23.6449 
OBS:  53523.262  j NULL   7.9249e+01   2.424e+00    0  34.910   0.85  22.7588 
OBS:  53523.266  h NULL   9.6272e+01   7.676e-01    0  36.075   0.85  22.5472 
OBS:  53523.273  g NULL   4.7417e+01   6.651e-01    0  35.821   0.85  23.2933 
OBS:  53524.176  i NULL   1.0634e+02   6.600e-01    0  36.595   0.85  22.4393 
OBS:  53524.176  j NULL   8.9151e+01   7.764e-01    0  37.175   0.85  22.6046 
OBS:  53524.176  h NULL   1.1181e+02   6.352e-01    0  36.439   0.85  22.3792 
OBS:  53524.184  g NULL   5.9878e+01   4.415e-01    0  36.493   0.85  23.0643 
OBS:  53525.180  i NULL   1.2183e+02   1.132e+00    0  35.626   0.85  22.2904 
OBS:  53525.184  j NULL   1.0495e+02   1.291e+00    0  36.127   0.85  22.4642 
OBS:  53525.184  h NULL   1.2774e+02   8.440e-01    0  35.912   0.85  22.2290 
OBS:  53525.191  g NULL   7.0852e+01   7.563e-01    0  35.664   0.85  22.8802 
OBS:  53526.176  i NULL   1.3684e+02   8.232e-01    0  36.213   0.85  22.1691 
OBS:  53526.176  j NULL   1.1576e+02   1.035e+00    0  36.594   0.85  22.3512 
OBS:  53526.180  h NULL   1.4430e+02   8.633e-01    0  35.892   0.85  22.1107 
OBS:  53526.188  g NULL   8.0016e+01   8.524e-01    0  35.482   0.85  22.7510 
OBS:  53527.184  i NULL   1.4722e+02   1.354e+00    0  35.316   0.85  22.0671 
OBS:  53527.184  j NULL   1.2427e+02   1.504e+00    0  35.831   0.85  22.2564 
OBS:  53527.188  h NULL   1.5727e+02   1.122e+00    0  35.457   0.85  22.0146 
OBS:  53527.195  g NULL   8.6793e+01   1.219e+00    0  34.981   0.85  22.6609 
OBS:  53528.129  j NULL   1.3403e+02   1.057e+00    0  36.550   0.85  22.1835 
OBS:  53528.324  h NULL   1.6892e+02   1.113e+00    0  35.470   0.85  21.9305 
OBS:  53528.324  i NULL   1.6312e+02   1.235e+00    0  35.470   0.85  21.9723 
OBS:  53528.328  g NULL   9.1013e+01   8.520e-01    0  35.488   0.85  22.6026 
OBS:  53530.172  i NULL   1.8245e+02   1.585e+00    0  35.074   0.85  21.8590 
OBS:  53530.172  j NULL   1.5205e+02   1.743e+00    0  35.543   0.85  22.0651 
OBS:  53530.176  h NULL   1.8433e+02   1.698e+00    0  34.818   0.85  21.8371 
OBS:  53530.184  g NULL   9.0162e+01   1.792e+00    0  34.505   0.85  22.5796 
OBS:  53531.164  i NULL   1.8559e+02   1.380e+00    0  35.303   0.85  21.8175 
OBS:  53531.168  j NULL   1.5320e+02   1.617e+00    0  35.676   0.85  22.0205 
OBS:  53531.168  h NULL   1.9083e+02   1.513e+00    0  35.002   0.85  21.8048 
OBS:  53531.176  g NULL   9.2869e+01   1.208e+00    0  35.019   0.85  22.5909 
OBS:  53534.230  h NULL   1.9194e+02   2.018e+00    0  34.573   0.85  21.7798 
OBS:  53534.230  i NULL   1.9379e+02   1.678e+00    0  34.962   0.85  21.7705 
OBS:  53534.230  j NULL   1.6935e+02   1.578e+00    0  35.737   0.85  21.9294 
OBS:  53534.234  g NULL   8.0946e+01   1.483e+00    0  34.736   0.85  22.7368 
OBS:  53535.238  h NULL   1.9182e+02   1.089e+00    0  35.502   0.85  21.7950 
OBS:  53535.242  i NULL   1.9470e+02   1.195e+00    0  35.538   0.85  21.7784 
OBS:  53535.242  j NULL   1.7201e+02   1.346e+00    0  36.061   0.85  21.9151 
OBS:  53535.242  g NULL   7.5302e+01   9.865e-01    0  35.264   0.85  22.8190 
OBS:  53536.188  h NULL   1.8635e+02   7.877e-01    0  36.077   0.85  21.8186 
