SURVEY: PS1_LOWZ_COMBINED(CFA3K)   
SNID:   5999473   
IAUC:    NULL 
PHOTOMETRY_VERSION: MD_BYOSEDTEST 
SNTYPE:  1 
FILTERS: bcdeghijlmnopqrsuvwxyzACDEFHIJK 
RA:      171.014300  deg 
DEC:     -12.291530  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0000    MW E(B-V) 
MWEBV_ERR:   0.0000    error on MWEBV 
REDSHIFT_HELIO:   0.314703 +- 0.000010  (Helio, z_best) 
REDSHIFT_FINAL:   0.316322 +- 0.000010  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53827.512 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_RA:       -999.000000    # deg 
HOSTGAL_DEC:      -999.000000    # deg 
HOSTGAL_SNSEP:    -9.000    # arcsec 
HOSTGAL_DDLR:     -9.000    # SNSEP/DLR  
HOSTGAL_CONFUSION:   0.000  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  97  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.31470  
SIM_REDSHIFT_CMB:    0.31632  
SIM_REDSHIFT_HOST:   0.31470  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      41.0857  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        171.014297 deg  
SIM_DEC:       -12.291530 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0000   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  0   (MW color-law option) 
SIMOPT_MWEBV:       0   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_SNMAGSHIFT_HOSTCOR:  0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000  (bcdeghijlmnopqrsuvwxyzACDEFHIJK F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  23.10  21.91  21.86  21.77  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_PEAKMJD:   53827.511719  days 
SIM_SALT2alpha:    0.165   
SIM_SALT2beta:     3.032   
SIM_SALT2x0:   2.8762e-05   
SIM_SALT2x1:    0.6689   
SIM_SALT2c:     0.1245   
SIM_SALT2mB:   21.9879   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -7.76   days 
SIM_TRESTMAX:    39.32   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 89 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53817.316  i NULL   1.2330e+02   3.834e-01    0  37.730   0.85  22.2728 
OBS:  53817.320  j NULL   1.2610e+02   6.084e-01    0  37.713   0.85  22.2432 
OBS:  53817.320  h NULL   1.2290e+02   3.366e-01    0  37.693   0.85  22.2752 
OBS:  53817.332  g NULL   4.6641e+01   2.644e-01    0  37.371   0.85  23.3228 
OBS:  53818.367  h NULL   1.3500e+02   3.532e-01    0  37.605   0.85  22.1731 
OBS:  53818.371  i NULL   1.3556e+02   4.272e-01    0  37.500   0.85  22.1704 
OBS:  53818.371  j NULL   1.3944e+02   6.099e-01    0  37.712   0.85  22.1387 
OBS:  53818.375  g NULL   5.2296e+01   3.252e-01    0  37.017   0.85  23.2027 
OBS:  53819.262  i NULL   1.4432e+02   4.886e-01    0  37.227   0.85  22.0992 
OBS:  53819.262  j NULL   1.4974e+02   6.875e-01    0  37.449   0.85  22.0650 
OBS:  53819.262  g NULL   5.5995e+01   3.340e-01    0  36.968   0.85  23.1258 
OBS:  53820.277  h NULL   1.5282e+02   4.165e-01    0  37.288   0.85  22.0375 
OBS:  53820.281  i NULL   1.5447e+02   4.942e-01    0  37.204   0.85  22.0318 
OBS:  53820.281  j NULL   1.5858e+02   6.963e-01    0  37.436   0.85  21.9946 
OBS:  53820.285  g NULL   5.9021e+01   3.389e-01    0  36.954   0.85  23.0606 
OBS:  53825.293  h NULL   1.7365e+02   5.124e-01    0  36.888   0.85  21.8997 
OBS:  53825.297  i NULL   1.7897e+02   5.577e-01    0  36.992   0.85  21.8674 
OBS:  53825.297  j NULL   1.9038e+02   7.098e-01    0  37.403   0.85  21.8053 
OBS:  53825.301  g NULL   6.2570e+01   4.136e-01    0  36.593   0.85  23.0192 
OBS:  53827.270  i NULL   1.8084e+02   6.449e-01    0  36.692   0.85  21.8560 
OBS:  53827.273  j NULL   1.9457e+02   7.303e-01    0  37.340   0.85  21.7744 
OBS:  53827.273  h NULL   1.7349e+02   5.233e-01    0  36.847   0.85  21.9038 
OBS:  53827.281  g NULL   5.7539e+01   4.240e-01    0  36.561   0.85  23.0913 
OBS:  53828.234  j NULL   1.9540e+02   1.134e+00    0  36.409   0.85  21.7672 
OBS:  53828.246  g NULL   5.5873e+01   5.196e-01    0  36.232   0.85  23.1415 
OBS:  53829.242  i NULL   1.7812e+02   8.849e-01    0  36.085   0.85  21.8686 
OBS:  53829.242  j NULL   1.9718e+02   9.653e-01    0  36.756   0.85  21.7645 
OBS:  53829.246  h NULL   1.6773e+02   5.195e-01    0  36.853   0.85  21.9347 
OBS:  53829.254  g NULL   5.3016e+01   4.474e-01    0  36.473   0.85  23.1996 
OBS:  53832.227  h NULL   1.5543e+02   5.707e-01    0  36.671   0.85  22.0215 
OBS:  53832.230  i NULL   1.6950e+02   6.156e-01    0  36.773   0.85  21.9229 
OBS:  53832.230  j NULL   1.9309e+02   6.621e-01    0  37.549   0.85  21.7841 
OBS:  53832.230  g NULL   4.3161e+01   3.762e-01    0  36.732   0.85  23.4002 
OBS:  53833.188  i NULL   1.6452e+02   7.975e-01    0  36.275   0.85  21.9480 
OBS:  53833.188  j NULL   1.9058e+02   7.878e-01    0  37.180   0.85  21.7992 
OBS:  53833.191  h NULL   1.5070e+02   5.238e-01    0  36.837   0.85  22.0584 
OBS:  53833.199  g NULL   4.1070e+01   3.627e-01    0  36.818   0.85  23.4730 
OBS:  53834.195  i NULL   1.6144e+02   6.675e-01    0  36.615   0.85  21.9778 
OBS:  53834.195  j NULL   1.8749e+02   7.013e-01    0  37.416   0.85  21.8201 
OBS:  53834.199  h NULL   1.4420e+02   5.482e-01    0  36.748   0.85  22.1007 
OBS:  53839.172  h NULL   1.1362e+02   4.550e-01    0  37.081   0.85  22.3635 
OBS:  53839.172  i NULL   1.3545e+02   5.509e-01    0  36.993   0.85  22.1732 
OBS:  53840.207  i NULL   1.2884e+02   4.976e-01    0  37.175   0.85  22.2228 
OBS:  53840.211  j NULL   1.5177e+02   7.764e-01    0  37.200   0.85  22.0431 
OBS:  53840.211  h NULL   1.0586e+02   5.650e-01    0  36.645   0.85  22.4298 
OBS:  53840.223  g NULL   2.3223e+01   4.816e-01    0  36.294   0.85  24.0574 
OBS:  53843.211  i NULL   1.1028e+02   4.519e-01    0  37.381   0.85  22.3864 
OBS:  53843.211  j NULL   1.3499e+02   4.727e-01    0  38.255   0.85  22.1784 
OBS:  53843.215  h NULL   8.6336e+01   3.863e-01    0  37.389   0.85  22.6509 
