SURVEY: PS1_LOWZ_COMBINED(CFA3K)   
SNID:   5999477   
IAUC:    NULL 
PHOTOMETRY_VERSION: MD_BYOSEDTEST 
SNTYPE:  1 
FILTERS: bcdeghijlmnopqrsuvwxyzACDEFHIJK 
RA:      226.140030  deg 
DEC:     35.964040  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0000    MW E(B-V) 
MWEBV_ERR:   0.0000    error on MWEBV 
REDSHIFT_HELIO:   0.273528 +- 0.000010  (Helio, z_best) 
REDSHIFT_FINAL:   0.274084 +- 0.000010  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53824.684 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_RA:       -999.000000    # deg 
HOSTGAL_DEC:      -999.000000    # deg 
HOSTGAL_SNSEP:    -9.000    # arcsec 
HOSTGAL_DDLR:     -9.000    # SNSEP/DLR  
HOSTGAL_CONFUSION:   0.000  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  102  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.27354  
SIM_REDSHIFT_CMB:    0.27409  
SIM_REDSHIFT_HOST:   0.27354  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      40.7291  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        226.140030 deg  
SIM_DEC:       35.964039 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0000   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  0   (MW color-law option) 
SIMOPT_MWEBV:       0   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_SNMAGSHIFT_HOSTCOR:  0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000  (bcdeghijlmnopqrsuvwxyzACDEFHIJK F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  21.65  20.92  21.07  21.16  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_PEAKMJD:   53824.683594  days 
SIM_SALT2alpha:    0.165   
SIM_SALT2beta:     3.032   
SIM_SALT2x0:   6.7804e-05   
SIM_SALT2x1:    0.1137   
SIM_SALT2c:    -0.0952   
SIM_SALT2mB:   21.0569   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     9.16   days 
SIM_TRESTMAX:    33.46   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 73 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53836.348  i NULL   2.7651e+02   3.783e-01    0  37.833   0.85  21.3962 
OBS:  53836.352  j NULL   2.5703e+02   6.127e-01    0  37.728   0.85  21.4746 
OBS:  53836.352  h NULL   2.6602e+02   4.239e-01    0  37.326   0.85  21.4370 
OBS:  53836.363  g NULL   9.4026e+01   3.513e-01    0  36.919   0.85  22.5719 
OBS:  53838.262  j NULL   2.3482e+02   5.356e-01    0  38.009   0.85  21.5770 
OBS:  53838.262  h NULL   2.3313e+02   4.857e-01    0  37.037   0.85  21.5816 
OBS:  53838.391  i NULL   2.5105e+02   2.757e-01    0  38.492   0.85  21.5000 
OBS:  53838.391  j NULL   2.3189e+02   5.148e-01    0  38.094   0.85  21.5836 
OBS:  53838.395  h NULL   2.3031e+02   2.356e-01    0  38.527   0.85  21.5923 
OBS:  53840.313  i NULL   2.2776e+02   4.492e-01    0  37.459   0.85  21.6098 
OBS:  53840.313  j NULL   2.1239e+02   7.200e-01    0  37.374   0.85  21.6785 
OBS:  53840.316  h NULL   1.9892e+02   5.105e-01    0  36.902   0.85  21.7572 
OBS:  53840.316  g NULL   6.4363e+01   4.148e-01    0  36.591   0.85  22.9771 
OBS:  53841.281  i NULL   2.1491e+02   2.344e-01    0  38.821   0.85  21.6704 
OBS:  53841.281  j NULL   2.0470e+02   4.788e-01    0  38.244   0.85  21.7227 
OBS:  53841.281  h NULL   1.8231e+02   2.302e-01    0  38.534   0.85  21.8487 
OBS:  53841.285  g NULL   5.8054e+01   1.911e-01    0  38.017   0.85  23.0871 
OBS:  53842.469  i NULL   2.0052e+02   2.381e-01    0  38.772   0.85  21.7454 
OBS:  53842.473  j NULL   1.9623e+02   4.432e-01    0  38.407   0.85  21.7720 
OBS:  53842.473  h NULL   1.6387e+02   2.260e-01    0  38.556   0.85  21.9636 
OBS:  53842.477  g NULL   5.1122e+01   1.777e-01    0  38.155   0.85  23.2228 
OBS:  53843.289  i NULL   1.9086e+02   2.409e-01    0  38.749   0.85  21.7975 
OBS:  53843.293  j NULL   1.9031e+02   5.177e-01    0  38.071   0.85  21.8020 
OBS:  53843.293  h NULL   1.5217e+02   2.605e-01    0  38.251   0.85  22.0434 
OBS:  53843.297  g NULL   4.6625e+01   1.952e-01    0  37.966   0.85  23.3147 
OBS:  53844.469  i NULL   1.7802e+02   2.308e-01    0  38.827   0.85  21.8722 
OBS:  53844.473  j NULL   1.8358e+02   4.657e-01    0  38.299   0.85  21.8382 
OBS:  53844.473  h NULL   1.3678e+02   2.219e-01    0  38.574   0.85  22.1576 
OBS:  53844.477  g NULL   4.1767e+01   1.878e-01    0  38.037   0.85  23.4408 
OBS:  53845.293  i NULL   1.6980e+02   2.240e-01    0  38.891   0.85  21.9239 
OBS:  53845.297  j NULL   1.8051e+02   4.400e-01    0  38.418   0.85  21.8579 
OBS:  53845.297  h NULL   1.2790e+02   2.082e-01    0  38.709   0.85  22.2355 
OBS:  53845.301  g NULL   3.9145e+01   1.377e-01    0  38.664   0.85  23.5215 
OBS:  53846.250  i NULL   1.6093e+02   2.228e-01    0  38.894   0.85  21.9827 
OBS:  53846.254  j NULL   1.7855e+02   4.689e-01    0  38.280   0.85  21.8740 
OBS:  53846.254  h NULL   1.1767e+02   2.006e-01    0  38.771   0.85  22.3220 
OBS:  53846.258  g NULL   3.6052e+01   1.399e-01    0  38.618   0.85  23.6026 
OBS:  53848.297  i NULL   1.4252e+02   1.899e-01    0  39.229   0.85  22.1113 
OBS:  53848.297  j NULL   1.7319e+02   4.480e-01    0  38.377   0.85  21.9033 
OBS:  53848.297  h NULL   9.9614e+01   2.092e-01    0  38.667   0.85  22.5056 
OBS:  53848.301  g NULL   3.0880e+01   1.698e-01    0  38.216   0.85  23.7757 
OBS:  53849.305  i NULL   1.3445e+02   2.070e-01    0  39.031   0.85  22.1769 
OBS:  53849.309  j NULL   1.7106e+02   4.629e-01    0  38.304   0.85  21.9186 
OBS:  53849.309  h NULL   9.1379e+01   2.178e-01    0  38.584   0.85  22.5966 
OBS:  53849.313  g NULL   2.8303e+01   1.481e-01    0  38.494   0.85  23.8707 
OBS:  53858.367  i NULL   8.0429e+01   1.970e-01    0  39.105   0.85  22.7383 
OBS:  53858.371  h NULL   4.8427e+01   2.235e-01    0  38.492   0.85  23.2837 
OBS:  53858.375  g NULL   1.3977e+01   1.549e-01    0  38.360   0.85  24.6467 
OBS:  53859.352  i NULL   7.5909e+01   2.012e-01    0  39.062   0.85  22.7922 
