SURVEY: PS1_LOWZ_COMBINED(CFA3K)   
SNID:   5999523   
IAUC:    NULL 
PHOTOMETRY_VERSION: MD_BYOSEDTEST 
SNTYPE:  1 
FILTERS: bcdeghijlmnopqrsuvwxyzACDEFHIJK 
RA:      215.587770  deg 
DEC:     -0.393870  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0000    MW E(B-V) 
MWEBV_ERR:   0.0000    error on MWEBV 
REDSHIFT_HELIO:   0.312877 +- 0.000010  (Helio, z_best) 
REDSHIFT_FINAL:   0.313967 +- 0.000010  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54174.504 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_RA:       -999.000000    # deg 
HOSTGAL_DEC:      -999.000000    # deg 
HOSTGAL_SNSEP:    -9.000    # arcsec 
HOSTGAL_DDLR:     -9.000    # SNSEP/DLR  
HOSTGAL_CONFUSION:   0.000  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  157  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.31288  
SIM_REDSHIFT_CMB:    0.31397  
SIM_REDSHIFT_HOST:   0.31288  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      41.0678  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        215.587769 deg  
SIM_DEC:       -0.393870 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0000   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  0   (MW color-law option) 
SIMOPT_MWEBV:       0   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_SNMAGSHIFT_HOSTCOR:  0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000  (bcdeghijlmnopqrsuvwxyzACDEFHIJK F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  23.58  22.33  22.31  22.31  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_PEAKMJD:   54174.503906  days 
SIM_SALT2alpha:    0.165   
SIM_SALT2beta:     3.032   
SIM_SALT2x0:   1.9457e-05   
SIM_SALT2x1:   -3.5142   
SIM_SALT2c:     0.0428   
SIM_SALT2mB:   22.4123   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -9.25   days 
SIM_TRESTMAX:    39.53   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 151 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54162.359  j NULL   2.9104e+01   8.435e-01    0  36.994   0.85  23.8755 
OBS:  54162.363  i NULL   1.9059e+01   5.641e-01    0  36.872   0.85  24.2830 
OBS:  54162.367  h NULL   2.5111e+01   3.846e-01    0  37.339   0.85  23.9990 
OBS:  54162.367  g NULL   2.7108e+00   7.450e-01    0  35.644   0.85  26.3884 
OBS:  54163.457  i NULL   2.9289e+01   6.155e-01    0  36.716   0.85  23.7702 
OBS:  54163.461  h NULL   3.9365e+01   4.116e-01    0  37.225   0.85  23.5204 
OBS:  54163.477  i NULL   3.2075e+01   5.506e-01    0  36.918   0.85  23.7616 
OBS:  54163.480  h NULL   4.0232e+01   4.666e-01    0  36.974   0.85  23.5127 
OBS:  54164.426  j NULL   5.0144e+01   1.053e+00    0  36.533   0.85  23.2365 
OBS:  54164.430  i NULL   4.1924e+01   6.977e-01    0  36.480   0.85  23.4392 
OBS:  54164.434  h NULL   5.2218e+01   5.263e-01    0  36.740   0.85  23.2123 
OBS:  54165.453  j NULL   5.9943e+01   1.066e+00    0  36.509   0.85  23.0186 
OBS:  54165.453  i NULL   5.3187e+01   7.056e-01    0  36.453   0.85  23.1709 
OBS:  54165.457  h NULL   6.4617e+01   5.273e-01    0  36.743   0.85  22.9659 
OBS:  54165.461  g NULL   2.1488e+01   1.926e+00    0  34.384   0.85  24.1188 
OBS:  54168.449  j NULL   8.8034e+01   2.674e+00    0  34.717   0.85  22.6249 
OBS:  54168.453  i NULL   8.3495e+01   1.916e+00    0  34.741   0.85  22.6737 
OBS:  54168.453  h NULL   9.4956e+01   1.192e+00    0  35.321   0.85  22.5482 
OBS:  54168.457  g NULL   3.9897e+01   2.639e+00    0  34.001   0.85  23.6088 
OBS:  54169.457  j NULL   9.4140e+01   2.180e+00    0  35.089   0.85  22.5420 
OBS:  54169.461  i NULL   9.2001e+01   1.294e+00    0  35.354   0.85  22.5606 
OBS:  54169.461  h NULL   1.0270e+02   1.694e+00    0  34.802   0.85  22.4676 
OBS:  54169.465  g NULL   3.8471e+01   1.222e+00    0  34.960   0.85  23.5338 
OBS:  54170.367  j NULL   1.0295e+02   1.636e+00    0  35.641   0.85  22.4813 
OBS:  54170.367  i NULL   1.0047e+02   2.232e+00    0  34.496   0.85  22.4768 
OBS:  54170.371  h NULL   1.0749e+02   7.532e-01    0  36.122   0.85  22.4128 
OBS:  54170.375  g NULL   4.1281e+01   1.052e+00    0  35.178   0.85  23.4938 
OBS:  54170.379  g NULL   4.1163e+01   9.241e-01    0  35.347   0.85  23.4937 
OBS:  54170.379  g NULL   4.2224e+01   9.295e-01    0  35.341   0.85  23.4937 
OBS:  54171.336  j NULL   1.0598e+02   1.797e+00    0  35.470   0.85  22.4262 
OBS:  54171.340  i NULL   1.1044e+02   1.259e+00    0  35.436   0.85  22.4079 
OBS:  54171.340  h NULL   1.1276e+02   8.854e-01    0  35.830   0.85  22.3689 
OBS:  54171.344  g NULL   4.2398e+01   9.806e-01    0  35.282   0.85  23.4730 
OBS:  54171.348  g NULL   4.1014e+01   7.612e-01    0  35.641   0.85  23.4730 
OBS:  54171.352  g NULL   4.1261e+01   8.622e-01    0  35.450   0.85  23.4729 
OBS:  54172.340  j NULL   1.1065e+02   2.219e+00    0  35.071   0.85  22.3796 
OBS:  54172.344  i NULL   1.1360e+02   1.550e+00    0  35.059   0.85  22.3577 
OBS:  54172.348  h NULL   1.1671e+02   1.039e+00    0  35.580   0.85  22.3391 
OBS:  54172.348  g NULL   4.1362e+01   1.235e+00    0  34.950   0.85  23.4772 
OBS:  54174.410  j NULL   1.1834e+02   1.328e+00    0  36.083   0.85  22.3143 
OBS:  54174.410  i NULL   1.1837e+02   1.156e+00    0  35.556   0.85  22.3137 
OBS:  54174.414  h NULL   1.1737e+02   8.248e-01    0  35.957   0.85  22.3264 
OBS:  54174.414  g NULL   3.7672e+01   1.010e+00    0  35.221   0.85  23.5745 
OBS:  54175.465  j NULL   1.1990e+02   2.375e+00    0  34.957   0.85  22.2969 
OBS:  54175.465  i NULL   1.1740e+02   1.734e+00    0  34.884   0.85  22.3167 
OBS:  54175.465  h NULL   1.1423e+02   1.346e+00    0  35.139   0.85  22.3432 
OBS:  54175.469  g NULL   3.2291e+01   2.089e+00    0  34.276   0.85  23.6632 
OBS:  54176.422  j NULL   1.2630e+02   2.432e+00    0  34.890   0.85  22.2904 
OBS:  54176.422  i NULL   1.1700e+02   1.466e+00    0  35.172   0.85  22.3296 
