# SN x0 x1 c t0 tpkoff SIM_x0 SIM_x1 SIM_c SIM_t0
5999387 1.6699614093e-05 -0.1688145048 0.0010418161 52006.6170000000 0.0000000000 2.6389000000e-05 -3.7069000000 -0.1362000000 52006.62
5999392 1.7912393861e-05 -0.0644598612 -0.0538639031 52088.6880000000 0.0000000000 2.4895000000e-05 -0.8997000000 -0.0380000000 52088.69
5999396 2.6483902871e-05 -0.1736995788 0.0009765259 52200.2270000000 0.0000000000 4.0706000000e-05 -3.0025000000 -0.0449000000 52200.23
5999398 6.7395451697e-06 -0.2542140037 0.0441428503 52224.4060000000 0.0000000000 1.1659000000e-05 -3.3174000000 0.0400000000 52224.41
5999403 1.6497257197e-05 0.1820073414 -0.0158705750 51973.8750000000 0.0000000000 2.0984000000e-05 -0.1693000000 0.1098000000 51973.88
5999406 3.5842266790e-05 0.7184341234 -0.0496213015 52357.2340000000 0.0000000000 4.5900000000e-05 0.1330000000 -0.0286000000 52357.23
5999408 1.5142633203e-05 -0.0323761001 0.0953600377 52384.1480000000 0.0000000000 3.3048000000e-05 -2.8484000000 0.1115000000 52384.15
5999410 3.1453990305e-05 -0.0985336030 0.0178201831 52408.8590000000 0.0000000000 5.3131000000e-05 -1.8565000000 0.1077000000 52408.86
5999412 3.8651910535e-05 -0.0645721006 -0.0436941634 52451.2300000000 0.0000000000 4.9939000000e-05 0.3606000000 0.0066000000 52451.23
5999417 2.1477720500e-05 -0.0437715719 -0.0349279106 52300.0780000000 0.0000000000 2.9141000000e-05 0.0760000000 0.0028000000 52300.08
