NVAR: 2
VARNAMES:   g  SPECEFF
SPECEFF: 14.2352941176 1.0
SPECEFF: 14.7058823529 1.0
SPECEFF: 15.1764705882 0.999682276316
SPECEFF: 15.6470588235 0.894000681893
SPECEFF: 16.1176470588 0.654002328227
SPECEFF: 16.5882352941 0.391368912487
SPECEFF: 17.0588235294 0.191583870671
SPECEFF: 17.5294117647 0.0767179779838
SPECEFF: 18.0 0.0251304889853
SPECEFF: 18.4705882353 0.00673395666296
SPECEFF: 18.9411764706 0.00147606431804
SPECEFF: 19.4117647059 0.000264670680084
SPECEFF: 19.8823529412 3.8821469581e-05
SPECEFF: 20.3529411765 4.65804517843e-06
SPECEFF: 20.8235294118 4.5719451144e-07
SPECEFF: 21.2941176471 3.67082690779e-08
SPECEFF: 21.7647058824 2.41097324865e-09
