SURVEY: DES3YR_LOWZ_COMBINED(CFA3S)
SNID: 2002bz
IAUC: 2002bz
RA: 216.16885  deg
DECL: 26.62647  deg
MWEBV: 0.019 (SFD98)
REDSHIFT_HELIO: 0.0369550873515 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0376183390617 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0376183390617 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.9840 +- 0.118
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 52366.812
FILTERS: abcdefghijklmnopqrstuvwxyzA  # UBVRI -> abcde
VPEC: 114.726681765
VPEC_ERR: 250.0
SPECTRA: {}

NOBS: 17
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 52373.457  a  NULL 11720.0000000 855.3000000
OBS: 52373.461  b  NULL 11550.0000000 415.6000000
OBS: 52373.461  c  NULL 13420.0000000 281.7000000
OBS: 52373.465  d  NULL 13840.0000000 429.1000000
OBS: 52373.465  e  NULL 10480.0000000 461.2000000
OBS: 52385.230  b  NULL 3192.0000000 201.1000000
OBS: 52385.230  c  NULL 6391.0000000 217.3000000
OBS: 52385.234  d  NULL 7827.0000000 320.9000000
OBS: 52385.234  e  NULL 6534.0000000 470.5000000
OBS: 52402.355  b  NULL 959.4000000 146.8000000
OBS: 52402.355  c  NULL 2299.0000000 193.1000000
OBS: 52402.359  d  NULL 3171.0000000 269.5000000
OBS: 52402.359  e  NULL 4234.0000000 402.3000000
OBS: 52435.281  b  NULL 500.3000000 135.6000000
OBS: 52435.285  c  NULL 1197.0000000 179.5000000
OBS: 52435.285  d  NULL 1294.0000000 302.8000000
OBS: 52435.289  e  NULL 2099.0000000 1178.0000000
END_PHOTOMETRY:

# =============================================
