SURVEY: DES3YR_LOWZ_COMBINED(CFA4p1)
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID: 2008hj
IAUC: UNKNOWN
RA: 1.0079708  deg
DECL: -11.168986  deg
MWEBV: 0.036100000 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.0378510235166 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0367044582963 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0367044582963 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.3990 +- 0.155
PRIVATE(COSMO): 1
FILTERS: abcdefghijklmnopqrstuvwxyzA  # UBVri -> klmno
VPEC: 124.421313147
VPEC_ERR: 250.0
SEARCH_PEAKMJD: 54803.379
SPECTRA: {}

NOBS: 16
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 54803.100  l  NULL 17338.0000000 325.9550000
OBS: 54811.100  l  NULL 15538.2000000 755.1550000
OBS: 54825.100  l  NULL 2800.2700000 199.0990000
OBS: 54831.100  l  NULL 1674.9400000 152.9220000
OBS: 54803.100  m  NULL 17147.5000000 358.3820000
OBS: 54811.100  m  NULL 13842.1000000 563.3720000
OBS: 54825.100  m  NULL 6531.3100000 213.5740000
OBS: 54831.100  m  NULL 4369.1800000 235.9360000
OBS: 54803.100  n  NULL 17092.3000000 376.0310000
OBS: 54811.100  n  NULL 12882.5000000 685.3490000
OBS: 54825.100  n  NULL 7932.3200000 253.8340000
OBS: 54831.100  n  NULL 6698.8500000 227.0910000
OBS: 54803.100  o  NULL 9444.9600000 296.5720000
OBS: 54811.100  o  NULL 6848.5800000 584.8690000
OBS: 54825.100  o  NULL 5152.2900000 216.9110000
OBS: 54831.100  o  NULL 5475.2000000 288.5430000
END_PHOTOMETRY:

# =============================================
