SURVEY: SNLS
SNID: 03D4cx
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 333.64064 deg
DECL: -17.587511 deg
MWEBV: 0.0244 MW E(B-V)
REDSHIFT_HELIO: 0.949 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.949 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 52882.713
FILTERS: griz
SNR: [ 0.559 -9.     0.758 -9.     0.548  0.054  0.108 -9.     1.391  0.017
 -9.     1.276  0.739  0.466 -9.     1.513 -9.     1.148  1.62  -9.
  0.181  0.588 -9.    -9.    -9.    11.833 15.253 11.327  7.73  14.983
  7.241  5.444  3.602  0.022 -9.     1.388 -9.     1.231 -9.    -9.
 -9.     0.721  2.005  1.324 -9.     0.241  1.434  0.66  -9.     0.975
  3.074  1.721  0.182 -9.     1.889  5.262 11.408  4.891  4.751  3.355
  1.273  2.698  0.662  1.076  0.645  0.577 -9.     0.84  -9.     1.166
  0.774  0.078 -9.     0.771  0.196 -9.     0.128  0.688 -9.     0.094
  0.937  1.97   1.02  -9.     2.358  1.88  -9.     4.25   7.438  9.513
  1.068  2.496  1.813  1.775  1.55  -9.     0.931 -9.     1.436  0.322
 -9.    -9.     1.142]
Zpt: [27.042 27.042 27.042 27.042 27.042 27.042 27.042 27.042 27.042 27.042
 27.042 27.042 27.042 27.042 27.042 27.042 27.042 27.042 27.042 27.042
 27.042 27.042 26.335 26.335 26.335 26.335 26.335 26.335 26.335 26.335
 26.335 26.335 26.335 26.335 26.335 26.335 26.335 26.335 26.335 26.335
 26.335 26.335 26.335 26.335 26.335 26.335 26.335 26.335 26.335 26.335
 26.335 26.335 26.493 26.493 26.493 26.493 26.493 26.493 26.493 26.493
 26.493 26.493 26.493 26.493 26.493 26.493 26.493 26.493 26.493 26.493
 26.493 26.493 26.493 26.493 26.493 26.493 26.493 26.493 26.493 26.493
 26.493 26.493 26.493 26.493 26.493 26.493 26.493 25.3   25.3   25.3
 25.3   25.3   25.3   25.3   25.3   25.3   25.3   25.3   25.3   25.3
 25.3   25.3   25.3  ]
SPECTRA: {}

NOBS: 103
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 52824.590  g  NULL 0.7080000 1.2670000
OBS: 52851.530  g  NULL -4.2220000 1.7260000
OBS: 52873.400  g  NULL 0.6360000 0.8390000
OBS: 52876.420  g  NULL -0.2070000 0.9700000
OBS: 52880.430  g  NULL 0.5130000 0.9360000
OBS: 52900.350  g  NULL 0.0610000 1.1310000
OBS: 52904.400  g  NULL 0.1190000 1.1010000
OBS: 52908.350  g  NULL -0.0580000 1.1770000
OBS: 52934.380  g  NULL 1.7140000 1.2320000
OBS: 52938.300  g  NULL 0.0240000 1.3540000
OBS: 52942.260  g  NULL -0.4540000 1.0890000
OBS: 53173.590  g  NULL 1.0410000 0.8160000
OBS: 53176.600  g  NULL 0.7100000 0.9600000
OBS: 53180.600  g  NULL 0.4620000 0.9930000
OBS: 53203.570  g  NULL -1.5510000 0.7710000
OBS: 53209.590  g  NULL 1.5250000 1.0080000
OBS: 53210.560  g  NULL -0.3980000 0.6780000
OBS: 53231.530  g  NULL 1.2590000 1.0970000
OBS: 53234.540  g  NULL 1.5980000 0.9860000
OBS: 53258.430  g  NULL -0.2830000 0.9320000
OBS: 53262.360  g  NULL 0.1670000 0.9230000
OBS: 53266.350  g  NULL 0.6290000 1.0700000
OBS: 52824.550  i  NULL -3.7230000 2.6950000
OBS: 52842.510  i  NULL -2.3170000 3.0810000
OBS: 52851.490  i  NULL -0.2840000 2.4180000
OBS: 52872.460  i  NULL 24.4410000 2.0660000
OBS: 52876.480  i  NULL 29.4800000 1.9330000
OBS: 52880.380  i  NULL 30.7940000 2.7190000
OBS: 52881.390  i  NULL 28.5510000 3.6940000
OBS: 52885.460  i  NULL 27.8180000 1.8570000
OBS: 52900.380  i  NULL 18.3870000 2.5390000
OBS: 52908.270  i  NULL 14.2130000 2.6100000
OBS: 52913.280  i  NULL 9.2530000 2.5690000
OBS: 52929.340  i  NULL 0.0620000 2.7870000
OBS: 52934.320  i  NULL -2.7720000 2.3830000
OBS: 52938.260  i  NULL 2.3550000 1.6960000
OBS: 52942.230  i  NULL -5.9790000 6.3320000
OBS: 52962.270  i  NULL 2.7710000 2.2500000
OBS: 53173.530  i  NULL -0.1520000 2.0320000
OBS: 53176.520  i  NULL -3.1450000 3.1060000
