SURVEY: SNLS
SNID: 04D3co
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 214.458245 deg
DECL: 52.963611 deg
MWEBV: 0.0098 MW E(B-V)
REDSHIFT_HELIO: 0.62 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.62 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53101.473
FILTERS: griz
SNR: [ 1.9000e-02  1.7330e+00  2.6910e+00  1.6180e+00 -9.0000e+00  6.7000e-01
  7.5000e-02  6.2900e-01  1.0030e+00 -9.0000e+00 -9.0000e+00 -9.0000e+00
 -9.0000e+00 -9.0000e+00  4.9050e+00  5.9900e+00  3.0483e+01  2.5132e+01
  1.5360e+01  1.5400e+01  1.1861e+01  1.4434e+01  1.4449e+01  8.1380e+00
  4.0180e+00  2.5660e+00  1.1660e+00  1.9900e-01  2.9750e+00  1.7170e+00
  2.3770e+00  7.9400e-01  2.7030e+00  2.4700e+00  2.6860e+00  1.3170e+00
  1.3520e+00 -9.0000e+00  1.7440e+00 -9.0000e+00 -9.0000e+00  8.9600e-01
 -9.0000e+00 -9.0000e+00  7.2750e+00  1.0440e+01  3.1284e+01  2.6132e+01
  1.7167e+01  1.5669e+01  8.5030e+00  6.4910e+00  4.7190e+00  2.9120e+00
  3.0350e+00  2.2740e+00  2.8960e+00  1.7800e+00  5.7000e-01  9.2400e-01
  1.0580e+00  2.4780e+00  2.5600e+00  8.9500e-01  2.6700e+00  1.2990e+00
 -9.0000e+00  6.9000e-02  1.2930e+00  4.3000e-02  5.5500e-01  1.9940e+00
  6.5790e+00  8.4170e+00  4.9920e+00  2.8530e+00 -9.0000e+00  1.3800e+00
  3.0080e+00  5.8400e-01 -9.0000e+00]
Zpt: [27.049 27.049 27.049 27.049 27.049 27.049 27.049 27.049 27.049 27.049
 27.049 27.049 27.049 27.049 26.347 26.347 26.347 26.347 26.347 26.347
 26.347 26.347 26.347 26.347 26.347 26.347 26.347 26.347 26.347 26.347
 26.347 26.347 26.347 26.347 26.347 26.347 26.347 26.347 26.347 26.347
 26.347 26.347 26.347 26.347 26.499 26.499 26.499 26.499 26.499 26.499
 26.499 26.499 26.499 26.499 26.499 26.499 26.499 26.499 26.499 26.499
 26.499 26.499 26.499 26.499 26.499 26.499 26.499 26.499 26.499 26.499
 26.499 25.322 25.322 25.322 25.322 25.322 25.322 25.322 25.322 25.322
 25.322]
SPECTRA: {}

NOBS: 81
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 53083.600  g  NULL 0.0220000 1.1270000
OBS: 53109.580  g  NULL 2.9010000 1.6740000
OBS: 53117.480  g  NULL 2.5510000 0.9480000
OBS: 53121.510  g  NULL 1.6240000 1.0040000
OBS: 53138.460  g  NULL -0.3320000 1.1460000
OBS: 53146.490  g  NULL 0.7130000 1.0640000
OBS: 53165.410  g  NULL 0.0640000 0.8590000
OBS: 53175.380  g  NULL 0.7490000 1.1910000
OBS: 53178.370  g  NULL 1.0310000 1.0290000
OBS: 53195.340  g  NULL -0.0060000 1.0330000
OBS: 53198.300  g  NULL -14.6270000 9.3760000
OBS: 53200.260  g  NULL -0.3190000 1.0400000
OBS: 53390.640  g  NULL -0.2100000 1.1040000
OBS: 53411.620  g  NULL -0.1210000 0.9250000
OBS: 53080.590  i  NULL 8.1530000 1.6620000
OBS: 53083.530  i  NULL 11.6470000 1.9440000
OBS: 53094.540  i  NULL 43.3340000 1.4220000
OBS: 53109.490  i  NULL 44.7300000 1.7800000
OBS: 53112.530  i  NULL 37.1050000 2.4160000
OBS: 53116.500  i  NULL 34.4540000 2.2370000
OBS: 53117.440  i  NULL 32.9160000 2.7750000
OBS: 53121.490  i  NULL 28.4510000 1.9710000
OBS: 53123.420  i  NULL 22.4360000 1.5530000
OBS: 53134.290  i  NULL 12.7360000 1.5650000
OBS: 53138.410  i  NULL 10.2740000 2.5570000
OBS: 53146.420  i  NULL 6.3670000 2.4810000
OBS: 53149.260  i  NULL 3.7070000 3.1800000
OBS: 53151.380  i  NULL 0.6250000 3.1410000
OBS: 53165.330  i  NULL 5.6180000 1.8880000
OBS: 53169.350  i  NULL 3.4040000 1.9830000
OBS: 53175.330  i  NULL 4.4610000 1.8770000
OBS: 53178.300  i  NULL 1.7360000 2.1870000
OBS: 53182.280  i  NULL 4.2000000 1.5530000
OBS: 53193.340  i  NULL 3.8850000 1.5730000
OBS: 53197.280  i  NULL 5.7070000 2.1250000
OBS: 53198.260  i  NULL 21.5610000 16.3730000
OBS: 53202.290  i  NULL 2.2420000 1.6580000
OBS: 53226.270  i  NULL -0.5520000 1.9880000
OBS: 53227.260  i  NULL 4.7440000 2.7190000
OBS: 53386.610  i  NULL -0.3300000 1.2560000
OBS: 53390.600  i  NULL -0.1400000 2.5260000
OBS: 53409.630  i  NULL 1.2230000 1.3650000
OBS: 53415.540  i  NULL -1.1390000 1.8720000
OBS: 53419.600  i  NULL -0.6160000 1.5960000
OBS: 53081.600  r  NULL 9.6680000 1.3290000
OBS: 53083.580  r  NULL 13.7520000 1.3170000
OBS: 53094.590  r  NULL 47.2230000 1.5090000
OBS: 53109.540  r  NULL 39.4940000 1.5110000
OBS: 53117.460  r  NULL 21.4130000 1.2470000
OBS: 53121.410  r  NULL 17.8520000 1.1390000
OBS: 53123.450  r  NULL 13.6970000 1.6110000
OBS: 53134.330  r  NULL 6.8470000 1.0550000
OBS: 53138.430  r  NULL 6.1190000 1.2970000
OBS: 53146.460  r  NULL 4.2140000 1.4470000
OBS: 53149.310  r  NULL 3.3350000 1.0990000
OBS: 53151.450  r  NULL 4.2170000 1.8540000
OBS: 53165.380  r  NULL 2.6320000 0.9090000
OBS: 53169.380  r  NULL 2.6660000 1.4980000
OBS: 53175.360  r  NULL 0.7120000 1.2490000
OBS: 53178.350  r  NULL 0.9280000 1.0050000
OBS: 53182.320  r  NULL 1.6120000 1.5230000
OBS: 53193.380  r  NULL 4.6730000 1.8860000
OBS: 53197.330  r  NULL 3.1580000 1.2340000
OBS: 53198.300  r  NULL 1.5560000 1.7390000
OBS: 53204.350  r  NULL 3.2270000 1.2090000
OBS: 53228.250  r  NULL 2.1940000 1.6890000
OBS: 53386.640  r  NULL -0.0650000 1.2590000
OBS: 53390.620  r  NULL 0.1120000 1.6300000
OBS: 53411.600  r  NULL 1.2180000 0.9420000
OBS: 53415.580  r  NULL 0.0670000 1.5340000
OBS: 53419.640  r  NULL 1.1230000 2.0250000
OBS: 53083.630  z  NULL 17.3100000 8.6810000
OBS: 53094.610  z  NULL 39.1560000 5.9510000
OBS: 53123.490  z  NULL 34.9150000 4.1480000
OBS: 53134.380  z  NULL 20.4430000 4.0950000
OBS: 53151.330  z  NULL 11.4880000 4.0270000
OBS: 53169.430  z  NULL -3.6320000 5.3480000
OBS: 53177.370  z  NULL 4.6780000 3.3910000
OBS: 53182.360  z  NULL 10.4270000 3.4670000
OBS: 53204.300  z  NULL 1.6700000 2.8610000
OBS: 53415.620  z  NULL -0.2050000 4.5080000
END_PHOTOMETRY:

# =============================================
