SURVEY: SNLS
SNID: 04D4ii
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 333.9818 deg
DECL: -17.657478 deg
MWEBV: 0.0251 MW E(B-V)
REDSHIFT_HELIO: 0.866 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.866 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53274.817
FILTERS: griz
SNR: [-9.0000e+00  1.4420e+00  1.7370e+00  9.8200e-01  3.4000e-02  6.6900e-01
  8.1300e-01  1.6020e+00  2.3120e+00  4.7600e-01 -9.0000e+00 -9.0000e+00
 -9.0000e+00 -9.0000e+00  2.2990e+00 -9.0000e+00 -9.0000e+00  1.0080e+00
 -9.0000e+00  1.1770e+00 -9.0000e+00  8.0800e-01  6.6700e-01  4.3000e-02
 -9.0000e+00  6.8500e-01  1.4040e+00 -9.0000e+00  1.1750e+00  1.5600e-01
  1.5362e+01  1.5996e+01  1.3373e+01  2.3286e+01  1.1892e+01  1.1651e+01
  1.4633e+01  9.2110e+00  8.0880e+00  2.4080e+00  2.0790e+00  3.4510e+00
  1.2160e+00  1.1940e+00 -9.0000e+00 -9.0000e+00 -9.0000e+00  4.8700e-01
 -9.0000e+00 -9.0000e+00 -9.0000e+00  2.3000e-02 -9.0000e+00 -9.0000e+00
  1.2300e-01  1.2120e+00  3.4600e-01  7.8200e-01 -9.0000e+00  1.6000e-01
 -9.0000e+00 -9.0000e+00  4.0300e-01 -9.0000e+00 -9.0000e+00 -9.0000e+00
 -9.0000e+00  2.9200e-01 -9.0000e+00  1.3520e+00  5.7160e+00  1.1355e+01
  1.0344e+01  1.6474e+01  1.2335e+01  6.1390e+00  4.9660e+00  4.3710e+00
  2.3070e+00  3.8130e+00  1.1800e-01  9.2600e-01  4.0000e-03 -9.0000e+00
  8.1900e-01  1.4000e+00  6.0400e-01 -9.0000e+00  6.1700e-01  2.1900e-01
  1.2600e-01 -9.0000e+00 -9.0000e+00  4.8300e-01 -9.0000e+00  6.3700e-01
 -9.0000e+00  1.3080e+00  1.5020e+00 -9.0000e+00 -9.0000e+00  1.9000e-02
  5.1500e-01  8.5700e-01  1.1520e+00 -9.0000e+00  1.5240e+00  2.8000e-02
  7.7500e-01  3.5700e-01  5.4470e+00  6.2850e+00  1.0375e+01  4.5710e+00
  3.4400e+00  4.4170e+00  3.0090e+00  7.4900e-01  2.7410e+00  1.6960e+00
  7.0000e-01 -9.0000e+00  4.5000e-01  9.4900e-01 -9.0000e+00  8.0500e-01
  5.2100e-01  3.2000e-01  1.3700e+00  4.9800e-01 -9.0000e+00 -9.0000e+00]
Zpt: [27.007 27.007 27.007 27.007 27.007 27.007 27.007 27.007 27.007 27.007
 27.007 27.007 27.007 27.007 27.007 27.007 27.007 27.007 27.007 27.007
 27.007 27.007 27.007 27.007 27.007 27.007 26.321 26.321 26.321 26.321
 26.321 26.321 26.321 26.321 26.321 26.321 26.321 26.321 26.321 26.321
 26.321 26.321 26.321 26.321 26.321 26.321 26.321 26.321 26.321 26.321
 26.321 26.321 26.321 26.321 26.321 26.321 26.321 26.321 26.321 26.321
 26.321 26.321 26.321 26.321 26.321 26.489 26.489 26.489 26.489 26.489
 26.489 26.489 26.489 26.489 26.489 26.489 26.489 26.489 26.489 26.489
