SURVEY: SNLS
SNID: 05D3mh
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 214.749304 deg
DECL: 52.66756 deg
MWEBV: 0.0092 MW E(B-V)
REDSHIFT_HELIO: 0.67 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.67 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53558.798
FILTERS: griz
SNR: [ 6.7200e-01  1.1310e+00 -9.0000e+00 -9.0000e+00  1.4560e+00  1.9683e+01
  1.1818e+01  2.3770e+00  2.1030e+00  2.3410e+00  6.8000e-01 -9.0000e+00
 -9.0000e+00 -9.0000e+00  1.2610e+00 -9.0000e+00  1.4370e+00  5.0600e-01
  3.0400e-01 -9.0000e+00  2.1500e-01 -9.0000e+00 -9.0000e+00  2.3300e-01
 -9.0000e+00  1.3050e+00  1.6190e+00 -9.0000e+00 -9.0000e+00  1.5050e+00
  2.4860e+00  2.0427e+01  8.6240e+00  5.8000e+00  8.7270e+00 -9.0000e+00
  8.9100e-01  1.5700e-01 -9.0000e+00  1.6700e-01 -9.0000e+00  1.6260e+00
 -9.0000e+00 -9.0000e+00  5.0000e-03  2.0600e-01  2.5840e+00 -9.0000e+00
  1.3940e+00  1.5600e-01  9.2200e-01 -9.0000e+00 -9.0000e+00  5.6600e-01
  1.5420e+00  3.7523e+01  3.1548e+01  3.2703e+01  2.2106e+01  5.4420e+00
  8.5400e+00  3.4770e+00  3.0700e-01  3.5730e+00 -9.0000e+00 -9.0000e+00
  1.7120e+00 -9.0000e+00  6.7000e-01  1.4900e+00 -9.0000e+00  2.7550e+00
  1.5680e+00  4.4600e-01 -9.0000e+00  4.9300e-01  1.3360e+00  1.9850e+00
  1.2950e+00  4.3700e-01 -9.0000e+00  1.2099e+01  8.3440e+00  1.4770e+01
  5.2700e-01  8.4500e+00 -9.0000e+00 -9.0000e+00  9.6000e-02 -9.0000e+00
  1.7600e-01 -9.0000e+00  2.1500e-01]
Zpt: [26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98
 26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98
 26.98  26.98  26.98  26.98  26.98  26.98  26.32  26.32  26.32  26.32
 26.32  26.32  26.32  26.32  26.32  26.32  26.32  26.32  26.32  26.32
 26.32  26.32  26.32  26.32  26.32  26.32  26.32  26.32  26.32  26.32
 26.485 26.485 26.485 26.485 26.485 26.485 26.485 26.485 26.485 26.485
 26.485 26.485 26.485 26.485 26.485 26.485 26.485 26.485 26.485 26.485
 26.485 26.485 26.485 26.485 26.485 26.485 26.485 26.485 25.234 25.234
 25.234 25.234 25.234 25.234 25.234 25.234 25.234 25.234 25.234 25.234
 25.234 25.234 25.234]
SPECTRA: {}

NOBS: 93
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 53518.450  g  NULL 1.5430000 2.2970000
OBS: 53523.410  g  NULL 2.0860000 1.8440000
OBS: 53524.300  g  NULL -0.4110000 0.8580000
OBS: 53527.350  g  NULL -1.0150000 0.7220000
OBS: 53531.360  g  NULL 1.3100000 0.9000000
OBS: 53551.320  g  NULL 13.1020000 0.6660000
OBS: 53553.410  g  NULL 11.2920000 0.9550000
OBS: 53563.330  g  NULL 7.8230000 3.2910000
OBS: 53578.340  g  NULL 5.1140000 2.4320000
OBS: 53583.300  g  NULL 2.3680000 1.0110000
OBS: 53586.290  g  NULL 0.7070000 1.0410000
OBS: 53743.630  g  NULL -0.6490000 0.6840000
OBS: 53766.610  g  NULL -1.6380000 0.8070000
OBS: 53769.610  g  NULL -0.1460000 0.9130000
OBS: 53772.620  g  NULL 1.4490000 1.1490000
OBS: 53799.480  g  NULL -1.3610000 0.9600000
OBS: 53847.570  g  NULL 2.7630000 1.9220000
OBS: 53851.420  g  NULL 0.5230000 1.0340000
OBS: 53853.430  g  NULL 0.2780000 0.9170000
OBS: 53855.410  g  NULL -1.5870000 0.7520000
OBS: 53859.360  g  NULL 0.2270000 1.0560000
OBS: 53875.350  g  NULL -0.5970000 0.7600000
OBS: 53879.310  g  NULL -0.6530000 0.9360000
OBS: 53883.380  g  NULL 0.2310000 0.9920000
OBS: 53888.410  g  NULL -0.0360000 0.9010000
OBS: 53892.380  g  NULL 1.8710000 1.4340000
OBS: 53518.390  i  NULL 3.6230000 2.2380000
OBS: 53522.310  i  NULL -2.2410000 2.3640000
OBS: 53523.310  i  NULL -2.7540000 2.2650000
OBS: 53531.290  i  NULL 3.2290000 2.1460000
OBS: 53534.310  i  NULL 4.1330000 1.6620000
OBS: 53553.320  i  NULL 39.5130000 1.9340000
OBS: 53563.310  i  NULL 29.2870000 3.3960000
OBS: 53578.310  i  NULL 18.1020000 3.1210000
OBS: 53583.260  i  NULL 18.1850000 2.0840000
OBS: 53737.610  i  NULL -0.2270000 2.1820000
OBS: 53742.630  i  NULL 1.4960000 1.6790000
OBS: 53766.590  i  NULL 0.4090000 2.6150000
OBS: 53769.580  i  NULL -5.0660000 2.7010000
OBS: 53772.580  i  NULL 0.4250000 2.5430000
OBS: 53791.570  i  NULL -1.8390000 1.6160000
OBS: 53798.570  i  NULL 2.5870000 1.5910000
OBS: 53847.440  i  NULL -2.6360000 1.9510000
