SURVEY: SDSS
SNID: 128
IAUC: 2004ih
PHOTOMETRY_VERSION: SMPv8+BOSS_2004
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 33.976257  deg
DECL: 1.069443  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 10
FAKE: 0   (=> data)
MWEBV: 0.0355    MW E(B-V)
MWEBV_ERR: 0.0059    error on MWEBV
NEPOCH_PRESN: 8   14   14   12   13   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.152660 +- 0.000010  (Helio, z_best)
REDSHIFT_FINAL: 0.151674 +- 0.000010  (CMB)
REDSHIFT_STATUS: OK
PEAKMJD: 53304.375  (SNANA-FIT)
HOSTGAL_OBJID: 1237656238472888902
HOSTGAL_PHOTOZ: 0.1753  +- 0.0310
HOSTGAL_SNSEP: 2.464    # arcsec
HOSTGAL_LOGMASS: 10.082 +-  0.068   # log10(Mgal/Msolar)
HOSTGAL_MAG: 19.60  18.83  18.33  18.04  17.89 999.00 999.00 999.00 999.00 999.00
# ugrizUGRIZ: # ugrizUGRIZ
EPOCH: 10
TELESCOPE: sdss    SEARCH_RUN: 4933  QMASK: 1
IDCCD: 6   FIELD: 82N
CLOUDCAM_AVG: 1829.00     CLOUDCAM_SIG:  4.14
MOONDIST: 999.00 deg     MOONPHASE:   0.49
AIRMASS: 1.216
PASSBAND: g        r        i        z        u
SEARCH_FIELD: 590      590      590      590      590
PHOTOMETRYFLAG: 0        0        0       32        0
GAIN: 4.035    4.895    4.760    4.690    2.170  e/ADU
RDNOISE: 5.447    4.650   10.710    5.159    5.750  e-
SKY_AVG: 148.75   208.00   270.25   156.25    30.00  ADU/pix
SKY_SIG: 6.36     6.82     8.07     5.87     4.52  ADU/pix
PSF_SIG1: 1.451    1.538    1.522    1.419    1.570  pixels
PSF_SIG2: 3.192    3.533    3.660    3.598    3.366  pixels
PSF_RATIO: 0.069    0.058    0.053    0.041    0.093  (at origin)
FLUX: 23.18    26.81    20.11     2.29     0.61  uJy
FLUX_ERRTOT: 0.783    1.139    1.634    4.790    1.883  uJy
FLUXCAL_ERRTOT: 21.575   31.454   45.759  138.246   54.886
MAG_ERRPLUS: 0.0360   0.0460   0.0880   0.8450   1.4240
MAG_ERRMINUS: 0.0360   0.0460   0.0880   0.8450   1.4240
ZEROPT: 28.5660  28.2340  27.9480  26.2610  27.2160
ZEROPT_ERR: 0.0010   0.0020   0.0010   0.0040   0.0100
SKYSUB_ERR: 8.630   13.212   20.340   29.618    4.950  (fluxcal)
GALSUB_ERR: 20.469   33.396   53.902  143.176  109.024  (fluxcal)
END_OF_EPOCH: 10
END_OF_SN: 128
PHOTFLAG: [  0   0   0   0   8  32   0   0   0   8  32  32  32  32   8   0   0   0
   0 128   0   0 128   0   0   0   0   0   0   0   0   0   0   0   0   1
   1   1   0   9   1   0   0   0   1   0   0   0  32   0]
SPECTRA: {}

NOBS: 50
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 53270.375  g  NULL -20.9200000 15.9500000
OBS: 53270.375  r  NULL -37.3200000 23.3600000
OBS: 53270.375  i  NULL -22.4400000 38.2700000
