SURVEY: SDSS
SNID: 2440
IAUC: 2005fu
PHOTOMETRY_VERSION: SMPv8+BOSS_2005
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 42.633732  deg
DECL: 0.807796  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 23
FAKE: 0   (=> data)
MWEBV: 0.0526    MW E(B-V)
MWEBV_ERR: 0.0088    error on MWEBV
NEPOCH_PRESN: 14   18   18   22   21   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.191139 +- 0.000006  (Helio, z_best)
REDSHIFT_FINAL: 0.190290 +- 0.000006  (CMB)
REDSHIFT_STATUS: OK
PEAKMJD: 53634.969  (SNANA-FIT)
HOSTGAL_OBJID: 1237678617436487971
HOSTGAL_PHOTOZ: 0.1628  +- 0.0325
HOSTGAL_SNSEP: 1.774   # arcSec
HOSTGAL_LOGMASS: 10.325 +-  0.071   # log10(Mgal/Msolar)
HOSTGAL_MAG: 20.20  19.32  18.76  18.40  18.27 999.00 999.00 999.00 999.00 999.00
# ugrizUGRIZ: # ugrizUGRIZ
EPOCH: 23
TELESCOPE: sdss    SEARCH_RUN: 5918  QMASK: 0
IDCCD: 5   FIELD: 82N
CLOUDCAM_AVG: 1790.00     CLOUDCAM_SIG:  5.11
MOONDIST: 999.00 deg     MOONPHASE:   0.02
AIRMASS: 1.535
PASSBAND: g        r        i        z        u
SEARCH_FIELD: 706      706      706      706      706
PHOTOMETRYFLAG: 10       32      160      128       32
GAIN: 4.050    4.725    4.640    3.480    1.470  e/ADU
RDNOISE: 4.253    4.252   12.992    4.698    4.483  e-
SKY_AVG: 53.50   124.75   193.25   174.75    17.00  ADU/pix
SKY_SIG: 3.96     5.23     7.12     7.34     4.43  ADU/pix
PSF_SIG1: 1.961    1.742    1.506    1.706    1.717  pixels
PSF_SIG2: 3.793    3.564    3.587    3.854    3.269  pixels
PSF_RATIO: 0.319    0.135    0.069    0.148    0.147  (at origin)
FLUX: -0.12     2.45     1.41    -5.88     0.83  uJy
FLUX_ERRTOT: 0.808    1.025    1.532    5.579    1.746  uJy
FLUXCAL_ERRTOT: 23.033   30.590   49.754  176.706   53.811
MAG_ERRPLUS: 1.1420   0.4480   0.9030   0.7920   1.3180
MAG_ERRMINUS: 1.1420   0.4480   0.9030   0.7920   1.3180
ZEROPT: 28.4020  28.2190  27.9010  26.6230  27.5310
ZEROPT_ERR: 0.0020   0.0010   0.0020   0.0030   0.0020
SKYSUB_ERR: 36.156   11.546   28.099   89.893    5.039  (fluxcal)
GALSUB_ERR: 37.343   27.848   28.743  146.170   52.731  (fluxcal)
END_OF_EPOCH: 23
XPIXEL: 1700.030 1698.400 1700.550   -9.000   -9.000  (pixels)
YPIXEL: 1085.990 1075.480 1078.940   -9.000   -9.000  (pixels)
EDGEDIST: 347.970  349.600  347.450   -9.000   -9.000  (pixels)
SEARCH_MAG: 23.1040  22.1170  21.7370  -9.0000  -9.0000
SEARCH_MAGERR: 0.2220   0.1530   0.1670  -9.0000  -9.0000
END_OF_SN: 2440
PHOTFLAG: [  32   40   32    0    8 1164    0 1184 1194  162    1    0    8    0
    9    1    1    1    0  129    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0   33    1    0   32    3    1    1
    1    0    1   33    1    0    0   33   33   32  128    0  128   33
    0    0    0    1   32   32   32   32  160    0    0    0    0    0
   32    0    0    0 1160    0    0    0    0    8   32   32    0    0
    8   12    0    0    5 1156    1   33   32   32    1 1187  131  131
   34    1    1   32  160 1185   32   32   32    0  128   10   32  160
  128   32]
SPECTRA: {}

NOBS: 114
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 53616.431  g  NULL 32.9200000 17.1700000
OBS: 53616.431  r  NULL 52.9200000 26.0600000
OBS: 53616.431  i  NULL 77.3000000 43.3800000
OBS: 53616.431  z  NULL -104.2000000 117.1000000
OBS: 53616.431  u  NULL 81.8500000 50.4600000
OBS: 53626.408  g  NULL 383.1000000 59.2300000
OBS: 53626.408  r  NULL 385.5000000 29.2000000
OBS: 53626.408  i  NULL 326.2000000 50.3700000
OBS: 53626.408  z  NULL 362.2000000 229.1000000
OBS: 53626.408  u  NULL 192.9000000 70.9600000
OBS: 53628.393  g  NULL 500.6000000 27.6900000
OBS: 53628.393  r  NULL 484.5000000 32.1900000
OBS: 53628.393  i  NULL 396.6000000 48.5300000
OBS: 53628.393  z  NULL 179.1000000 134.3000000
OBS: 53628.393  u  NULL 153.2000000 57.1500000
