SURVEY: SDSS
SNID: 12930
IAUC: 2006ex
PHOTOMETRY_VERSION: SMPv8+BOSS_2006
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 309.682777  deg
DECL: -0.474529  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 22
FAKE: 0   (=> data)
MWEBV: 0.0746    MW E(B-V)
MWEBV_ERR: 0.0124    error on MWEBV
REDSHIFT_HELIO: 0.147168 +- 0.000015  (Helio, z_best)
REDSHIFT_FINAL: 0.146065 +- 0.000015  (CMB)
REDSHIFT_STATUS: OK
PEAKMJD: 53979.738  (SNANA-FIT)
HOSTGAL_OBJID: 1237663542600205560
HOSTGAL_PHOTOZ: 0.1281  +- 0.0283
HOSTGAL_SNSEP: 6.732   # arcSec
HOSTGAL_LOGMASS: 10.896 +-  0.055   # log10(Mgal/Msolar)
HOSTGAL_MAG: 18.95  17.80  17.13  16.81  16.52 999.00 999.00 999.00 999.00 999.00
# ugrizUGRIZ: # ugrizUGRIZ
EPOCH: 22
TELESCOPE: sdss    SEARCH_RUN: 6600  QMASK: 0
IDCCD: 2   FIELD: 82N
CLOUDCAM_AVG: 2680.00     CLOUDCAM_SIG:  7.26
MOONDIST: 40.26 deg     MOONPHASE:   0.10
AIRMASS: 1.504
PASSBAND: g        r        i        z
SEARCH_FIELD: 100      100      100      100
PHOTOMETRYFLAG: 32        0       32       40
GAIN: 3.855    4.600    6.565    5.155  e/ADU
RDNOISE: 4.626    4.600   15.756    5.155  e-
XPIXEL: 1492.180 1490.530 1489.890   -9.000  (pixels)
YPIXEL: 373.130  361.880  365.050   -9.000  (pixels)
EDGEDIST: 373.130  361.880  365.050   -9.000  (pixels)
SKY_AVG: 79.50   199.50   345.50   251.50  ADU/pix
SKY_SIG: 5.01     6.94     9.32     8.03  ADU/pix
PSF_SIG1: 1.665    1.578    1.473    1.547  pixels
PSF_SIG2: 3.491    3.676    3.597    3.770  pixels
PSF_RATIO: 0.099    0.073    0.066    0.063  (at origin)
FLUX: 2.42     3.00     3.54     1.53  uJy
FLUX_ERRTOT: 0.677    1.062    1.547    5.761  uJy
FLUXCAL_ERRTOT: 19.787   31.291   47.026  164.200
MAG_ERRPLUS: 0.3020   0.3850   0.4700   1.0080
MAG_ERRMINUS: 0.3020   0.3850   0.4700   1.0080
ZEROPT: 28.4560  28.1940  27.8590  26.2360
ZEROPT_ERR: 0.0020   0.0010   0.0010   0.0040
SEARCH_MAG: 22.8840  22.0130  21.9280  -9.0000
SEARCH_MAGERR: 0.1580   0.1080   0.1380  -9.0000
SKYSUB_ERR: 15.308   21.071   36.907  258.539  (fluxcal)
GALSUB_ERR: 27.420   24.971   25.135  103.438  (fluxcal)
END_OF_EPOCH: 22
END_OF_SN: 12930
PHOTFLAG: [   0    0    0    0    1    0    0    0    0    0  128    0  128    0
  128   32    0    0    0    0    0    0    0    0    1    0    0    0
   33    1 1153    0 1186 1152  128   32    0  128    0    0   32    0
    0   32   32    0    0    0   32  160   32    0  129    1    0    0
   41  161    1    0    0    0    0   32   36    4  132  132   32    0
    0    0 1186  162 1154  130   32    0    0   32   32    0    0    0
   32    0   32   40]
SPECTRA: {}

NOBS: 88
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 53974.167  g  NULL 853.4000000 21.2300000
OBS: 53974.167  r  NULL 872.4000000 30.5500000
OBS: 53974.167  i  NULL 698.4000000 38.0200000
OBS: 53974.167  z  NULL 452.5000000 117.4000000
OBS: 53989.155  g  NULL 622.2000000 24.6600000
OBS: 53989.155  r  NULL 840.8000000 28.6700000
OBS: 53989.155  i  NULL 642.2000000 34.9700000
OBS: 53989.155  z  NULL 361.5000000 96.2800000
OBS: 53995.163  g  NULL 421.3000000 18.6500000
OBS: 53995.163  r  NULL 641.3000000 26.0100000
OBS: 53995.163  i  NULL 473.6000000 34.1500000
OBS: 53995.163  z  NULL 418.6000000 99.7900000
OBS: 53997.141  g  NULL 387.8000000 21.8200000
OBS: 53997.141  r  NULL 596.2000000 30.2400000
OBS: 53997.141  i  NULL 529.0000000 42.0500000
OBS: 53997.141  z  NULL 27.9600000 138.1000000
OBS: 54005.113  g  NULL 193.1000000 15.2000000
OBS: 54005.113  r  NULL 487.2000000 22.4700000
OBS: 54005.113  i  NULL 439.8000000 30.9200000
OBS: 54005.113  z  NULL 265.5000000 95.8600000
OBS: 54007.125  g  NULL 158.1000000 18.6600000
OBS: 54007.125  r  NULL 424.7000000 24.6900000
OBS: 54007.125  i  NULL 380.0000000 34.8600000
OBS: 54007.125  z  NULL 229.4000000 116.7000000
OBS: 54009.122  g  NULL 161.4000000 22.2000000
OBS: 54009.122  r  NULL 418.1000000 25.8600000
OBS: 54009.122  i  NULL 451.8000000 34.6800000
OBS: 54009.122  z  NULL 226.9000000 103.9000000
OBS: 54011.186  g  NULL 62.7100000 39.5900000
OBS: 54011.186  r  NULL 401.8000000 33.0300000
OBS: 54011.186  i  NULL 439.8000000 44.7800000
OBS: 54011.186  z  NULL 313.6000000 112.7000000
OBS: 54019.136  g  NULL 98.1700000 26.2200000
OBS: 54019.136  r  NULL 218.1000000 37.7800000
OBS: 54019.136  i  NULL 299.0000000 42.8600000
OBS: 54019.136  z  NULL 149.2000000 177.8000000
OBS: 54025.184  g  NULL 99.0000000 16.1000000
OBS: 54025.184  r  NULL 197.1000000 24.2000000
OBS: 54025.184  i  NULL 200.9000000 40.2900000
OBS: 54025.184  z  NULL 261.3000000 131.7000000
OBS: 54029.114  g  NULL 66.9800000 14.8000000
OBS: 54029.114  r  NULL 181.4000000 24.1600000
OBS: 54029.114  i  NULL 185.0000000 33.6800000
OBS: 54029.114  z  NULL 101.2000000 114.4000000
OBS: 54031.101  g  NULL 74.5800000 14.2800000
OBS: 54031.101  r  NULL 167.9000000 21.4600000
OBS: 54031.101  i  NULL 179.9000000 30.7200000
OBS: 54031.101  z  NULL 234.2000000 105.8000000
OBS: 54036.105  g  NULL 71.3900000 25.7200000
OBS: 54036.105  r  NULL 95.4300000 33.2300000
OBS: 54036.105  i  NULL 95.2500000 43.9300000
OBS: 54036.105  z  NULL 364.0000000 149.6000000
OBS: 54039.103  g  NULL 67.5600000 41.0800000
OBS: 54039.103  r  NULL 117.7000000 36.8400000
OBS: 54039.103  i  NULL 137.1000000 39.8100000
OBS: 54039.103  z  NULL 249.1000000 128.2000000
OBS: 54041.104  g  NULL 144.8000000 62.2200000
OBS: 54041.104  r  NULL 38.9900000 82.1300000
OBS: 54041.104  i  NULL 175.0000000 68.2100000
OBS: 54041.104  z  NULL 318.5000000 232.7000000
OBS: 54048.097  g  NULL 60.3500000 15.1600000
OBS: 54048.097  r  NULL 111.8000000 25.3600000
OBS: 54048.097  i  NULL 129.6000000 35.4600000
OBS: 54048.097  z  NULL 123.1000000 126.5000000
OBS: 54051.089  g  NULL 16.7200000 52.8100000
OBS: 54051.089  r  NULL 88.3500000 106.3000000
OBS: 54051.089  i  NULL -5.7300000 95.2400000
OBS: 54051.089  z  NULL -522.4000000 804.4000000
OBS: 54052.101  g  NULL 25.3700000 17.2900000
OBS: 54052.101  r  NULL 126.3000000 28.4000000
OBS: 54052.101  i  NULL 93.9400000 39.9900000
OBS: 54052.101  z  NULL 193.1000000 165.5000000
OBS: 54054.119  g  NULL 86.5700000 37.9700000
OBS: 54054.119  r  NULL 104.2000000 41.6700000
OBS: 54054.119  i  NULL -21.0100000 86.4600000
OBS: 54054.119  z  NULL -47.9800000 273.5000000
OBS: 54055.096  g  NULL 36.2600000 17.7900000
OBS: 54055.096  r  NULL 87.8400000 27.9300000
OBS: 54055.096  i  NULL 131.7000000 37.4300000
OBS: 54055.096  z  NULL 8.4500000 128.8000000
OBS: 54058.095  g  NULL 51.7900000 16.1800000
OBS: 54058.095  r  NULL 137.1000000 25.5300000
OBS: 54058.095  i  NULL 94.7800000 38.3000000
OBS: 54058.095  z  NULL -226.2000000 161.7000000
OBS: 54063.085  g  NULL 67.8800000 19.7900000
OBS: 54063.085  r  NULL 83.0200000 31.2900000
OBS: 54063.085  i  NULL 98.9700000 47.0300000
OBS: 54063.085  z  NULL 41.8300000 164.2000000
END_PHOTOMETRY:

# =============================================
